table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_hispanic_or_latinoa_median_salary,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_median_salary,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_median_salary,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_median_salary,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_median_salary,field_not_hispanic_or_latinob_other_racec_se
3753,r001,All sectors,All sectors,,,,1,119000,1000,102000,2000,99000,4500,125000,1500,100000,2000,117000,1500,109000,3500
3753,r002,All sectors -> Science occupations&#160;,All sectors,Science occupations&#160;,,,2,106000,1500,97000,3000,91000,8000,117000,3000,92000,2500,105000,500,102000,5000
3753,r003,"All sectors -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Science occupations&#160;,"Biological, agricultural, and other life scientist",,3,100000,500,90000,3000,94000,31000,100000,1000,100000,2000,102000,2000,95000,8500
3753,r004,All sectors -> Science occupations&#160; -> Computer and information scientist,All sectors,Science occupations&#160;,Computer and information scientist,,3,149000,2000,139000,5000,,,150000,2500,114000,8500,144000,4000,135000,17500
3753,r005,All sectors -> Science occupations&#160; -> Mathematical scientist,All sectors,Science occupations&#160;,Mathematical scientist,,3,114000,2500,109000,7000,,,130000,2000,101000,8500,105000,2000,120000,9500
3753,r006,All sectors -> Science occupations&#160; -> Physical scientist,All sectors,Science occupations&#160;,Physical scientist,,3,102000,2500,96000,4500,93000,8500,99000,1500,86000,4500,105000,2000,101000,12500
3753,r007,All sectors -> Science occupations&#160; -> Psychologist,All sectors,Science occupations&#160;,Psychologist,,3,100000,500,96000,4500,101000,13000,91000,3500,89000,2000,100000,500,95000,8000
3753,r008,All sectors -> Science occupations&#160; -> Social scientist,All sectors,Science occupations&#160;,Social scientist,,3,99000,1500,90000,4500,70000,7500,105000,4000,89000,2000,100000,1500,95000,5000
3753,r009,All sectors -> Engineering occupations&#160;,All sectors,Engineering occupations&#160;,,,2,130000,500,118000,4000,145000,15000,130000,500,111000,4500,132000,3000,130000,10000
3753,r010,All sectors -> S&E-related occupations&#160;,All sectors,S&E-related occupations&#160;,,,2,130000,500,113000,7000,104000,20500,140000,5000,101000,5500,130000,1500,127000,14000
3753,r011,All sectors -> Non-S&E occupations&#160;,All sectors,Non-S&E occupations&#160;,,,2,138000,3500,115000,7000,94000,5500,149000,500,109000,6500,139000,3500,110000,8500
3753,r012,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160;,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,,,2,95000,500,88000,1500,89000,4000,90000,500,89000,1500,98000,1000,88000,2000
3753,r013,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> Science occupations&#160;,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,Science occupations&#160;,,3,89000,1000,84000,1500,70000,9500,83000,2000,83000,2500,90000,500,83000,3500
3753,r014,"All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,82000,1500,75000,4500,,,70000,2500,81000,4000,87000,2000,78000,6000
3753,r015,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,104000,2500,97000,15500,,,100000,4500,89000,7000,106000,4000,101000,8500
3753,r016,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,89000,1000,96000,7000,,,89000,2000,81000,4500,89000,1000,77000,6000
3753,r017,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,85000,1500,80000,2000,0.05,0.05,78000,3000,75000,3500,88000,2500,78000,4000
3753,r018,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,88000,1500,85000,3500,,,84000,3000,82000,5500,89000,1500,88000,5000
