table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_hierarchy_depth,field_total_r_d,field_intramurala,field_extramural_united_states_and_u_s_territories_total,field_extramural_united_states_and_u_s_territories_all_ffrdcs,field_extramural_united_states_and_u_s_territories_industry,field_extramural_united_states_and_u_s_territories_universities_and_colleges,field_extramural_united_states_and_u_s_territories_other_nonprofits,field_extramural_united_states_and_u_s_territories_state_local_governments,field_extramural_foreign
3776,r001,All agencies,All agencies,,,1,142424,39313,109189,14691,44446,34001,8450,587,937
3776,r002,All agencies -> Selected departments,All agencies,Selected departments,,2,,,,,,,,,
3776,r003,All agencies -> Selected departments -> Department of Agriculture,All agencies,Selected departments,Department of Agriculture,3,2637,1644,993,na,32,911,40,7,3
3776,r004,All agencies -> Selected departments -> Department of Commerce,All agencies,Selected departments,Department of Commerce,3,1535,1102,433,29,39,336,25,3,1
3776,r005,All agencies -> Selected departments -> Department of Defense,All agencies,Selected departments,Department of Defense,3,58780,20315,38845,1551,32233,3286,820,32,544
3776,r006,All agencies -> Selected departments -> Department of Energy,All agencies,Selected departments,Department of Energy,3,14376,1052,18495,9632,2126,1459,89,16,2
3776,r007,All agencies -> Selected departments -> Department of Health and Human Services,All agencies,Selected departments,Department of Health and Human Services,3,39191,7753,31934,549,2719,21595,6037,275,265
3776,r008,All agencies -> Selected departments -> Department of Homeland Security,All agencies,Selected departments,Department of Homeland Security,3,647,180,481,69,361,23,4,0,10
3776,r009,All agencies -> Selected departments -> Department of the Interior,All agencies,Selected departments,Department of the Interior,3,827,695,132,1,20,63,3,43,3
3776,r010,All agencies -> Selected departments -> Department of Transportation,All agencies,Selected departments,Department of Transportation,3,1013,190,823,82,342,157,57,184,1
3776,r011,All agencies -> Selected departments -> Department of Veterans Affairs,All agencies,Selected departments,Department of Veterans Affairs,3,1508,1437,71,71,na,na,na,na,0
3776,r012,All agencies -> Selected other agencies,All agencies,Selected other agencies,,2,,,,,,,,,
3776,r013,All agencies -> Selected other agencies -> Agency for International Development,All agencies,Selected other agencies,Agency for International Development,3,221,21,200,na,22,58,73,na,47
3776,r014,All agencies -> Selected other agencies -> Environmental Protection Agency,All agencies,Selected other agencies,Environmental Protection Agency,3,485,249,236,1,183,52,na,na,na
3776,r015,All agencies -> Selected other agencies -> Federal Communications Commission,All agencies,Selected other agencies,Federal Communications Commission,3,2,2,na,na,na,na,na,na,na
3776,r016,All agencies -> Selected other agencies -> National Aeronautics and Space Administration,All agencies,Selected other agencies,National Aeronautics and Space Administration,3,13570,4145,9430,2359,5773,917,337,6,33
3776,r017,All agencies -> Selected other agencies -> National Science Foundation,All agencies,Selected other agencies,National Science Foundation,3,5996,37,5960,309,403,4919,290,14,25
3776,r018,All agencies -> Selected other agencies -> Nuclear Regulatory Commission,All agencies,Selected other agencies,Nuclear Regulatory Commission,3,75,30,57,31,9,1,1,na,3
3776,r019,All agencies -> Selected other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Selected other agencies,Patient-Centered Outcomes Research Trust Fund,3,578,na,578,na,na,na,578,na,na
3776,r020,All agencies -> Selected other agencies -> Smithsonian Institution,All agencies,Selected other agencies,Smithsonian Institution,3,236,236,na,na,na,na,na,na,na
3776,r021,All agencies -> All other departments and agencies,All agencies,All other departments and agencies,,2,747,225,522,6,186,225,98,7,na
