table_id,row_id,type_of_r_d_performer_and_field_full_path,type_of_r_d_performer_and_field_level_1,type_of_r_d_performer_and_field_level_2,type_of_r_d_performer_and_field_level_3,type_of_r_d_performer_and_field_level_4,type_of_r_d_performer_and_field_level_5,type_of_r_d_performer_and_field_hierarchy_depth,field_2016,field_2017,field_2018,field_2019,field_preliminary_2020,field__change_2016_17,field__change_2017_18,field__change_2018_19,field_preliminary_change_2019_20
3777,r001,Obligations for R&D and R&D plant,Obligations for R&D and R&D plant,,,,,1,118274,121627,133278,146801,155644,2.8,9.6,10.1,6.0
3777,r002,Obligations for R&D and R&D plant -> R&D,Obligations for R&D and R&D plant,R&D,,,,2,115833,118975,129425,142424,150885,2.7,8.8,10.0,5.9
3777,r003,Obligations for R&D and R&D plant -> R&D -> Research,Obligations for R&D and R&D plant,R&D,Research,,,3,67105,69871,74588,81118,85262,4.1,6.7,8.8,5.1
3777,r004,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,,4,,,,,,,,,
3777,r005,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Computer sciences and mathematics,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Computer sciences and mathematics,5,4223,3894,4207,4330,4740,-7.8,8.0,2.9,9.5
3777,r006,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Engineering,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Engineering,5,12972,13207,13759,15279,16417,1.8,4.2,11.1,7.4
3777,r007,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Environmental sciences,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Environmental sciences,5,4450,4470,4568,5075,4778,0.4,2.2,11.1,-5.8
3777,r008,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Life sciences,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Life sciences,5,32045,34090,36994,38304,40665,6.4,8.5,3.5,6.2
3777,r009,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Physical sciences,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Physical sciences,5,6706,6582,7881,9816,9608,-1.9,19.8,24.5,-2.1
3777,r010,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Psychology,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Psychology,5,2021,2081,2327,2754,2933,3.0,11.8,18.3,6.5
3777,r011,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Social sciences,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Social sciences,5,1227,1027,1039,1156,1018,-16.3,1.2,11.2,-11.9
3777,r012,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Other sciences nec,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Other sciences nec,5,3461,4521,3812,4405,5102,30.6,-15.7,15.5,15.8
3777,r013,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research,Obligations for R&D and R&D plant,R&D,Research,Basic research,,4,32293,33272,36195,40017,41755,3.0,8.8,10.6,4.3
3777,r014,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research,Obligations for R&D and R&D plant,R&D,Research,Applied research,,4,34812,36600,38392,41101,43507,5.1,4.9,7.1,5.9
3777,r015,Obligations for R&D and R&D plant -> R&D -> Experimental development,Obligations for R&D and R&D plant,R&D,Experimental development,,,3,48728,49104,54837,61306,65622,0.8,11.7,11.8,7.0
3777,r016,Obligations for R&D and R&D plant -> R&D -> Performer,Obligations for R&D and R&D plant,R&D,Performer,,,3,,,,,,,,,
3777,r017,Obligations for R&D and R&D plant -> R&D -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Performer,Intramural<sup>a</sup>,,4,32351,30990,35953,39313,42405,-4.2,16.0,9.3,7.9
3777,r018,Obligations for R&D and R&D plant -> R&D -> Performer -> Industry,Obligations for R&D and R&D plant,R&D,Performer,Industry,,4,35811,37875,39754,44446,46498,5.8,5.0,11.8,4.6
3777,r019,Obligations for R&D and R&D plant -> R&D -> Performer -> FFRDCs,Obligations for R&D and R&D plant,R&D,Performer,FFRDCs,,4,11423,11694,12456,14691,15354,2.4,6.5,17.9,4.5
3777,r020,Obligations for R&D and R&D plant -> R&D -> Performer -> Universities and colleges,Obligations for R&D and R&D plant,R&D,Performer,Universities and colleges,,4,28199,28963,31534,34001,36092,2.7,8.9,7.8,6.2
3777,r021,Obligations for R&D and R&D plant -> R&D -> Performer -> Other nonprofit institutions,Obligations for R&D and R&D plant,R&D,Performer,Other nonprofit institutions,,4,6682,8141,8451,8450,8951,21.8,3.8,0.0,5.9
3777,r022,Obligations for R&D and R&D plant -> R&D -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Performer,State and local governments,,4,543,553,562,587,564,2.0,1.5,4.4,-3.8
3777,r023,Obligations for R&D and R&D plant -> R&D -> Performer -> Foreign,Obligations for R&D and R&D plant,R&D,Performer,Foreign,,4,824,758,715,937,1020,-8.1,-5.6,31.0,8.9
3777,r024,Obligations for R&D and R&D plant -> R&D plant,Obligations for R&D and R&D plant,R&D plant,,,,2,2441,2652,3853,4376,4759,8.6,45.3,13.6,8.7
