table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_did_not_have_any_mentors,field_had_a_mentor,field_position_of_mentor_direct_supervisor,field_position_of_mentor_senior_colleague,field_position_of_mentor_peer_or_colleague,field_position_of_mentor_doctoral_degree_advisor,field_position_of_mentor_someone_else
3805,r001,All early career doctorates,All early career doctorates,,,,,1,186700,25.6,74.4,72.8,79.3,59.5,70.9,26.5
3805,r002,All early career doctorates -> Position type<sup>a</sup>,All early career doctorates,Position type<sup>a</sup>,,,,2,,,,,,,,
3805,r003,All early career doctorates -> Position type<sup>a</sup> -> Faculty,All early career doctorates,Position type<sup>a</sup>,Faculty,,,3,125600,26.9,73.1,64.4,87.9,65.1,71.9,28.0
3805,r004,All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Tenured faculty,All early career doctorates,Position type<sup>a</sup>,Faculty,Tenured faculty,,4,27300,30.1,69.9,57.9,88.9,66.7,72.3,26.5
3805,r005,All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Tenure-track faculty,All early career doctorates,Position type<sup>a</sup>,Faculty,Tenure-track faculty,,4,58500,19.6,80.4,63.6,91.2,65.9,74.8,25.2
3805,r006,All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Non-tenure track faculty with rank,All early career doctorates,Position type<sup>a</sup>,Faculty,Non-tenure track faculty with rank,,4,13000,30.4,69.6,76.1,84.1,64.3,61.5,34.0
3805,r007,"All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Other faculty, no rank or tenure",All early career doctorates,Position type<sup>a</sup>,Faculty,"Other faculty, no rank or tenure",,4,26800,38.0,62.0,67.9,79.5,61.4,68.9,34.4
3805,r008,All early career doctorates -> Position type<sup>a</sup> -> Postdoctoral scholar,All early career doctorates,Position type<sup>a</sup>,Postdoctoral scholar,,,3,36400,18.3,81.7,91.6,56.1,42.3,71.5,21.2
3805,r009,All early career doctorates -> Position type<sup>a</sup> -> Research scientist or nonfaculty researcher,All early career doctorates,Position type<sup>a</sup>,Research scientist or nonfaculty researcher,,,3,10900,31.4,68.6,88.9,67.8,48.4,67.8,18.1
3805,r010,All early career doctorates -> Position type<sup>a</sup> -> Other positions,All early career doctorates,Position type<sup>a</sup>,Other positions,,,3,13800,28.0,72.0,81.7,77.9,67.7,61.9,35.4
3805,r011,All early career doctorates -> Employment setting,All early career doctorates,Employment setting,,,,2,,,,,,,,
3805,r012,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup>,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,,,3,178900,25.4,74.6,72.2,79.3,59.8,71.3,26.9
3805,r013,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup> -> Very high research activity university,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,Very high research activity university,,4,83000,21.9,78.1,78.3,74.0,55.8,71.4,22.8
3805,r014,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup> -> High research activity university,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,High research activity university,,4,27500,26.6,73.4,65.6,83.9,62.9,70.2,28.3
3805,r015,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup> -> Other college or university,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,Other college or university,,4,68500,29.2,70.8,66.8,84.4,63.9,71.7,31.9
3805,r016,All early career doctorates -> Employment setting -> FFRDC,All early career doctorates,Employment setting,FFRDC,,,3,7800,29.7,70.3,86.8,80.1,51.9,60.7,17.5
3805,r017,All early career doctorates -> Doctoral degree type,All early career doctorates,Doctoral degree type,,,,2,,,,,,,,
