table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_provided_appropriate_recognition_for_work_disagree,field_provided_appropriate_recognition_for_work_neither_agree_nor_disagree,field_provided_appropriate_recognition_for_work_agree,field_encouraged_collaboration_with_others_disagree,field_encouraged_collaboration_with_others_neither_agree_nor_disagree,field_encouraged_collaboration_with_others_agree,field_encouraged_increasing_independence_in_research_or_work_disagree,field_encouraged_increasing_independence_in_research_or_work_neither_agree_nor_disagree,field_encouraged_increasing_independence_in_research_or_work_agree,field_provided_opportunities_to_work_on_grant_proposals_disagree,field_provided_opportunities_to_work_on_grant_proposals_neither_agree_nor_disagree,field_provided_opportunities_to_work_on_grant_proposals_agree,field_supported_publishing_papers_or_presenting_work_disagree,field_supported_publishing_papers_or_presenting_work_neither_agree_nor_disagree,field_supported_publishing_papers_or_presenting_work_agree,field_provided_career_guidance_disagree,field_provided_career_guidance_neither_agree_nor_disagree,field_provided_career_guidance_agree,field_encouraged_work_life_balance_disagree,field_encouraged_work_life_balance_neither_agree_nor_disagree,field_encouraged_work_life_balance_agree
3812,r001,Early career doctorates with supervisors,Early career doctorates with supervisors,,,,,1,155800,15.1,8.9,76.0,14.0,19.1,66.9,12.7,21.3,66.0,21.5,26.9,51.6,9.6,11.5,79.0,20.7,20.4,59.0,17.9,23.0,59.0
3812,r002,Early career doctorates with supervisors -> Position type<sup>a</sup>,Early career doctorates with supervisors,Position type<sup>a</sup>,,,,2,,,,,,,,,,,,,,,,,,,,,,
3812,r003,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty,Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,,,3,96300,17.0,10.1,72.9,16.0,23.4,60.6,14.6,26.4,59.0,23.3,30.9,45.8,10.8,13.4,75.8,22.9,23.7,53.4,19.3,26.3,54.5
3812,r004,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty -> Tenured faculty,Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,Tenured faculty,,4,19800,17.8,8.0,74.2,13.4,19.2,67.5,14.6,23.2,62.1,19.2,24.1,56.7,6.8,8.9,84.3,21.4,22.4,56.2,19.7,22.9,57.4
3812,r005,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty -> Tenure-track faculty,Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,Tenure-track faculty,,4,40900,16.2,9.2,74.5,14.6,18.7,66.7,12.3,23.5,64.2,19.7,27.3,53.1,8.1,7.0,84.9,20.3,19.1,60.6,19.1,23.6,57.3
3812,r006,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty -> Non-tenure track faculty with rank,Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,Non-tenure track faculty with rank,,4,12000,18.4,7.6,74.0,16.3,24.4,59.2,16.2,24.2,59.6,22.5,31.0,46.4,10.6,11.1,78.3,25.0,24.2,50.8,17.5,26.7,55.8
3812,r007,"Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty -> Other faculty, no rank or tenure",Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,"Other faculty, no rank or tenure",,4,23500,16.9,14.6,68.4,20.6,34.6,44.8,17.8,35.2,47.0,33.5,42.7,23.8,19.0,29.4,51.6,27.8,32.3,39.9,20.1,33.5,46.4
3812,r008,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Postdoctoral scholar,Early career doctorates with supervisors,Position type<sup>a</sup>,Postdoctoral scholar,,,3,35900,11.7,5.7,82.5,10.9,8.5,80.5,8.9,9.6,81.4,18.2,17.0,64.8,6.1,3.8,90.1,16.2,12.9,70.9,17.4,18.3,64.3
3812,r009,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Research scientist or nonfaculty researcher,Early career doctorates with supervisors,Position type<sup>a</sup>,Research scientist or nonfaculty researcher,,,3,10300,9.4,8.8,81.8,7.6,9.3,83.2,8.4,13.2,78.4,15.2,17.5,67.3,6.2,9.3,84.5,14.7,16.4,68.9,11.8,18.0,70.3
3812,r010,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Other positions,Early career doctorates with supervisors,Position type<sup>a</sup>,Other positions,,,3,13300,14.8,8.4,76.8,12.2,24.1,63.7,12.4,22.7,64.9,22.6,32.2,45.2,12.7,20.0,67.4,20.9,19.8,59.3,14.6,16.4,69.0
3812,r011,Early career doctorates with supervisors -> Employment setting,Early career doctorates with supervisors,Employment setting,,,,2,,,,,,,,,,,,,,,,,,,,,,
