table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramurala,field_extramural_united_states_and_u_s_territories_industry,field_extramural_united_states_and_u_s_territories_industry_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_universities_and_colleges,field_extramural_united_states_and_u_s_territories_university_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_other_nonprofits,field_extramural_united_states_and_u_s_territories_nonprofit_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_state_local_governments,field_extramural_foreign
3852,r001,Department of Defense,Department of Defense,,,,,1,,,,,,,,,,
3852,r002,Department of Defense -> RDT&E,Department of Defense,RDT&E,,,,2,99764.3,30038.7,62678.7,550.6,3433.2,480.2,1103.8,840.3,12.5,626.3
3852,r003,Department of Defense -> RDT&E -> Total research,Department of Defense,RDT&E,Total research,,,3,8464.9,2584.9,2957.6,67.8,2214.0,93.1,353.4,75.3,4.0,114.9
3852,r004,Department of Defense -> RDT&E -> Total research -> Basic research,Department of Defense,RDT&E,Total research,Basic research,,4,2564.7,575.5,380.8,14.1,1381.2,7.9,95.3,27.4,2.7,79.8
3852,r005,Department of Defense -> RDT&E -> Total research -> Applied research,Department of Defense,RDT&E,Total research,Applied research,,4,5900.2,2009.4,2576.8,53.7,832.8,85.1,258.0,47.9,1.3,35.2
3852,r006,Department of Defense -> RDT&E -> Total experimental development<sup>b</sup>,Department of Defense,RDT&E,Total experimental development<sup>b</sup>,,,3,53996.4,19241.5,31235.7,336.5,1106.4,352.7,657.1,613.0,8.0,445.5
3852,r007,Department of Defense -> RDT&E -> Total experimental development<sup>b</sup> -> Advanced technology,Department of Defense,RDT&E,Total experimental development<sup>b</sup>,Advanced technology,,4,7301.8,2746.7,3543.5,71.4,314.7,79.0,446.0,50.1,1.0,49.5
3852,r008,Department of Defense -> RDT&E -> Total experimental development<sup>b</sup> -> Major systems,Department of Defense,RDT&E,Total experimental development<sup>b</sup>,Major systems,,4,46694.6,16494.8,27692.2,265.1,791.7,273.8,211.1,562.9,7.0,396.0
3852,r009,Department of Defense -> RDT&E -> Total operational systems development<sup>c</sup>,Department of Defense,RDT&E,Total operational systems development<sup>c</sup>,,,3,37303.0,8212.3,28485.4,146.3,112.8,34.4,93.4,152.1,0.5,65.8
3852,r010,Department of Defense -> Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency,,,,2,,,,,,,,,,
3852,r011,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,,,3,3667.2,395.5,2268.5,42.7,667.7,62.3,145.7,31.0,0.8,53.1
3852,r012,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,,4,1994.8,94.3,1027.4,28.7,621.2,30.7,128.9,22.8,0.8,40.1
3852,r013,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research -> Basic research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,Basic research,5,481.6,15.0,139.3,8.8,244.4,6.0,41.4,7.8,0.0,18.9
3852,r014,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research -> Applied research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,Applied research,5,1513.2,79.3,888.0,19.9,376.8,24.7,87.5,15.0,0.8,21.1
3852,r015,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>b</sup>,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>b</sup>,,4,1672.4,301.2,1241.1,14.0,46.5,31.6,16.8,8.2,0.0,13.0
3852,r016,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>b</sup> -> Advanced technology,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>b</sup>,Advanced technology,5,1536.9,219.9,1186.9,14.0,46.5,31.6,16.8,8.2,0.0,13.0
3852,r017,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>b</sup> -> Major systems,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>b</sup>,Major systems,5,135.5,81.3,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3852,r018,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total operational systems development<sup>c</sup>,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total operational systems development<sup>c</sup>,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3852,r019,Department of Defense -> Department of the Air Force,Department of Defense,Department of the Air Force,,,,2,,,,,,,,,,
3852,r020,Department of Defense -> Department of the Air Force -> RDT&E,Department of Defense,Department of the Air Force,RDT&E,,,3,42703.4,6210.5,35083.2,183.1,540.3,80.4,71.1,356.3,7.2,171.4
3852,r021,Department of Defense -> Department of the Air Force -> RDT&E -> Total research,Department of Defense,Department of the Air Force,RDT&E,Total research,,4,2164.8,957.4,686.2,2.4,444.5,2.3,35.2,6.0,0.5,30.3
3852,r022,Department of Defense -> Department of the Air Force -> RDT&E -> Total research -> Basic research,Department of Defense,Department of the Air Force,RDT&E,Total research,Basic research,5,503.4,88.3,54.6,0.1,326.7,0.2,3.1,1.0,0.0,29.5
3852,r023,Department of Defense -> Department of the Air Force -> RDT&E -> Total research -> Applied research,Department of Defense,Department of the Air Force,RDT&E,Total research,Applied research,5,1661.3,869.1,631.6,2.2,117.8,2.2,32.1,5.0,0.5,0.9
3852,r024,Department of Defense -> Department of the Air Force -> RDT&E -> Total experimental development<sup>b</sup>,Department of Defense,Department of the Air Force,RDT&E,Total experimental development<sup>b</sup>,,4,13457.0,3632.9,9202.0,122.7,77.4,48.3,15.5,232.0,6.2,120.0
3852,r025,Department of Defense -> Department of the Air Force -> RDT&E -> Total experimental development<sup>b</sup> -> Advanced technology,Department of Defense,Department of the Air Force,RDT&E,Total experimental development<sup>b</sup>,Advanced technology,5,942.3,410.1,498.5,0.7,17.1,0.2,7.0,8.6,0.1,0.0
3852,r026,Department of Defense -> Department of the Air Force -> RDT&E -> Total experimental development<sup>b</sup> -> Major systems,Department of Defense,Department of the Air Force,RDT&E,Total experimental development<sup>b</sup>,Major systems,5,12514.7,3222.8,8703.5,121.9,60.3,48.1,8.6,223.4,6.1,120.0
3852,r027,Department of Defense -> Department of the Air Force -> RDT&E -> Total operational systems development<sup>c</sup>,Department of Defense,Department of the Air Force,RDT&E,Total operational systems development<sup>c</sup>,,4,27081.6,1620.1,25195.0,58.1,18.4,29.7,20.4,118.3,0.5,21.1
3852,r028,Department of Defense -> Department of the Army,Department of Defense,Department of the Army,,,,2,,,,,,,,,,
3852,r029,Department of Defense -> Department of the Army -> RDT&E,Department of Defense,Department of the Army,RDT&E,,,3,12559.2,4840.4,6729.0,9.8,523.6,28.8,294.9,70.0,2.1,60.4
3852,r030,Department of Defense -> Department of the Army -> RDT&E -> Total research,Department of Defense,Department of the Army,RDT&E,Total research,,4,1812.8,650.9,693.7,0.5,364.7,2.4,73.5,14.0,2.1,10.8
3852,r031,Department of Defense -> Department of the Army -> RDT&E -> Total research -> Basic research,Department of Defense,Department of the Army,RDT&E,Total research,Basic research,5,550.9,177.3,73.1,0.0,265.0,0.2,13.5,10.9,2.1,8.8
3852,r032,Department of Defense -> Department of the Army -> RDT&E -> Total research -> Applied research,Department of Defense,Department of the Army,RDT&E,Total research,Applied research,5,1262.0,473.6,620.6,0.5,99.7,2.2,60.0,3.2,0.0,2.0
3852,r033,Department of Defense -> Department of the Army -> RDT&E -> Total experimental development<sup>b</sup>,Department of Defense,Department of the Army,RDT&E,Total experimental development<sup>b</sup>,,4,8941.9,3409.8,5067.2,9.3,147.9,25.1,182.7,53.1,0.05,46.9
3852,r034,Department of Defense -> Department of the Army -> RDT&E -> Total experimental development<sup>b</sup> -> Advanced technology,Department of Defense,Department of the Army,RDT&E,Total experimental development<sup>b</sup>,Advanced technology,5,1498.1,629.1,742.2,0.05,63.2,4.0,51.3,2.2,0.0,6.1
3852,r035,Department of Defense -> Department of the Army -> RDT&E -> Total experimental development<sup>b</sup> -> Major systems,Department of Defense,Department of the Army,RDT&E,Total experimental development<sup>b</sup>,Major systems,5,7443.8,2780.8,4324.9,9.3,84.7,21.0,131.4,50.9,0.05,40.8
3852,r036,Department of Defense -> Department of the Army -> RDT&E -> Total operational systems development<sup>c</sup>,Department of Defense,Department of the Army,RDT&E,Total operational systems development<sup>c</sup>,,4,1804.4,779.6,968.2,0.0,11.1,1.3,38.7,2.9,0.0,2.7
3852,r037,Department of Defense -> Department of the Navy,Department of Defense,Department of the Navy,,,,2,,,,,,,,,,
3852,r038,Department of Defense -> Department of the Navy -> RDT&E,Department of Defense,Department of the Navy,RDT&E,,,3,19950.7,8049.0,10235.7,163.4,1040.8,48.4,256.6,101.0,1.0,54.7
3852,r039,Department of Defense -> Department of the Navy -> RDT&E -> Total research,Department of Defense,Department of the Navy,RDT&E,Total research,,4,1546.8,523.6,294.9,6.5,587.6,1.7,92.9,9.0,0.6,30.0
3852,r040,Department of Defense -> Department of the Navy -> RDT&E -> Total research -> Basic research,Department of Defense,Department of the Navy,RDT&E,Total research,Basic research,5,637.1,177.7,21.4,0.1,380.6,0.3,33.9,0.9,0.6,21.5
3852,r041,Department of Defense -> Department of the Navy -> RDT&E -> Total research -> Applied research,Department of Defense,Department of the Navy,RDT&E,Total research,Applied research,5,909.7,345.9,273.5,6.4,207.0,1.3,59.0,8.1,0.0,8.5
3852,r042,Department of Defense -> Department of the Navy -> RDT&E -> Total experimental development<sup>b</sup>,Department of Defense,Department of the Navy,RDT&E,Total experimental development<sup>b</sup>,,4,15240.2,6189.6,8303.0,83.4,389.3,43.4,133.5,75.7,0.4,21.7
3852,r043,Department of Defense -> Department of the Navy -> RDT&E -> Total experimental development<sup>b</sup> -> Advanced technology,Department of Defense,Department of the Navy,RDT&E,Total experimental development<sup>b</sup>,Advanced technology,5,982.0,404.3,407.7,1.1,66.8,0.2,94.6,6.1,0.3,0.8
3852,r044,Department of Defense -> Department of the Navy -> RDT&E -> Total experimental development<sup>b</sup> -> Major systems,Department of Defense,Department of the Navy,RDT&E,Total experimental development<sup>b</sup>,Major systems,5,14258.2,5785.3,7895.3,82.4,322.5,43.2,39.0,69.6,0.1,20.8
3852,r045,Department of Defense -> Department of the Navy -> RDT&E -> Total operational systems development<sup>c</sup>,Department of Defense,Department of the Navy,RDT&E,Total operational systems development<sup>c</sup>,,4,3163.6,1335.9,1637.7,73.5,63.8,3.3,30.1,16.3,0.0,3.0
3852,r046,Department of Defense -> Other defense agencies,Department of Defense,Other defense agencies,,,,2,,,,,,,,,,
3852,r047,Department of Defense -> Other defense agencies -> RDT&E,Department of Defense,Other defense agencies,RDT&E,,,3,20883.9,10543.4,8362.3,151.6,660.8,260.2,335.6,282.1,1.3,286.6
3852,r048,Department of Defense -> Other defense agencies -> RDT&E -> Total research,Department of Defense,Other defense agencies,RDT&E,Total research,,4,945.8,358.7,255.4,29.7,196.0,55.9,22.8,23.5,0.0,3.7
3852,r049,Department of Defense -> Other defense agencies -> RDT&E -> Total research -> Basic research,Department of Defense,Other defense agencies,RDT&E,Total research,Basic research,5,391.8,117.2,92.4,5.1,164.6,1.2,3.4,6.9,0.0,1.1
3852,r050,Department of Defense -> Other defense agencies -> RDT&E -> Total research -> Applied research,Department of Defense,Other defense agencies,RDT&E,Total research,Applied research,5,554.0,241.5,163.0,24.6,31.4,54.7,19.5,16.6,0.0,2.6
3852,r051,Department of Defense -> Other defense agencies -> RDT&E -> Total experimental development<sup>b</sup>,Department of Defense,Other defense agencies,RDT&E,Total experimental development<sup>b</sup>,,4,14684.8,5707.9,7422.4,107.1,445.3,204.3,308.6,244.0,1.3,243.9
3852,r052,Department of Defense -> Other defense agencies -> RDT&E -> Total experimental development<sup>b</sup> -> Advanced technology,Department of Defense,Other defense agencies,RDT&E,Total experimental development<sup>b</sup>,Advanced technology,5,2342.5,1083.3,708.1,55.5,121.1,42.9,276.4,25.1,0.5,29.6
3852,r053,Department of Defense -> Other defense agencies -> RDT&E -> Total experimental development<sup>b</sup> -> Major systems,Department of Defense,Other defense agencies,RDT&E,Total experimental development<sup>b</sup>,Major systems,5,12342.3,4624.7,6714.2,51.6,324.2,161.4,32.2,218.9,0.8,214.3
3852,r054,Department of Defense -> Other defense agencies -> RDT&E -> Total operational systems development<sup>c</sup>,Department of Defense,Other defense agencies,RDT&E,Total operational systems development<sup>c</sup>,,4,5253.3,4476.7,684.5,14.8,19.5,0.0,4.2,14.6,0.0,38.9
