table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_astronomy,field_chemistry,field_physics,field_other_physical_sciences
3898,r001,All agencies,All agencies,,,,,1,7906958.5,1577197.0,691292.9,2570637.8,3067830.8
3898,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,
3898,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,49382.2,0.0,47831.3,1550.8,0.0
3898,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,41485.2,0.0,39934.4,1550.8,0.0
3898,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,3074.3,0.0,3074.3,0.0,0.0
3898,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,4822.7,0.0,4822.7,0.0,0.0
3898,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,187421.5,0.0,23008.9,163612.5,800.1
3898,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,187421.5,0.0,23008.9,163612.5,800.1
3898,r009,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,383510.3,147.8,73464.4,265011.3,44886.8
3898,r010,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,61480.2,0.0,14946.5,46533.7,0.0
3898,r011,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,191705.0,147.8,16409.0,166378.3,8769.9
3898,r012,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,37744.0,0.0,16106.1,18146.5,3491.5
3898,r013,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,43291.9,0.0,5768.9,6325.3,31197.8
3898,r014,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,49289.2,0.0,20233.9,27627.6,1427.7
3898,r015,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,2203554.5,0.0,260896.1,1885050.6,57607.8
3898,r016,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,33000.0,0.0,33000.0,0.0,0.0
3898,r017,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,94696.7,0.0,7345.3,29743.6,57607.8
3898,r018,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,94696.7,0.0,7345.3,29743.6,57607.8
3898,r019,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,2075857.8,0.0,220550.9,1855307.0,0.0
3898,r020,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,45600.3,0.0,45031.2,0.0,569.1
3898,r021,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,45600.3,0.0,45031.2,0.0,569.1
3898,r022,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,804.9,0.0,699.4,0.0,105.5
3898,r023,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,804.9,0.0,699.4,0.0,105.5
3898,r024,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,10285.0,0.0,0.0,0.0,10285.0
3898,r025,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,10285.0,0.0,0.0,0.0,10285.0
3898,r026,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,
3898,r027,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,4008909.2,1270677.3,0.0,0.0,2738231.9
3898,r028,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,967499.5,256380.8,240361.5,255412.7,215344.6
3898,r029,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,49991.0,49991.0,0.0,0.0,0.0
