table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_sciences_and_mathematics,field_engineering,field_environmental_sciences,field_life_sciences,field_physical_sciences,field_psychology,field_social_sciences,field_other_sciences_nec
3904,r001,All agencies,All agencies,,,,,1,41100526.5,2024030.2,11661360.2,1822909.7,19423110.3,1909174.4,1387487.3,704456.9,2167997.4
3904,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,
3904,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1350427.2,7048.1,45367.8,10439.7,1070191.7,44573.4,0.0,172806.6,0.0
3904,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,3855.3,0.0,0.0,0.0,3855.3,0.0,0.0,0.0,0.0
3904,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,516949.7,672.0,4652.5,2274.6,474921.7,33188.2,0.0,1240.7,0.0
3904,r006,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,85626.4,0.0,0.0,0.0,0.0,0.0,0.0,85626.4,0.0
3904,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,170325.6,1113.0,5740.5,4842.0,129330.1,2434.2,0.0,26865.9,0.0
3904,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,5263.0,5263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3904,r009,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,564494.8,0.0,34974.8,3323.1,459284.7,8950.9,0.0,57961.3,0.0
3904,r010,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,3912.5,0.0,0.0,0.0,2800.0,0.0,0.0,1112.5,0.0
3904,r011,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1028763.0,147384.9,236435.1,445967.5,69995.9,71396.0,86.6,28592.2,28904.6
3904,r012,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,449790.2,136861.3,219981.1,6948.1,21376.5,51130.0,86.6,583.2,12823.3
3904,r013,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,541827.6,4677.0,8554.0,439019.5,48619.4,20266.0,0.0,4610.5,16081.2
3904,r014,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7900.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0
3904,r015,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,29245.2,5846.7,0.0,0.0,0.0,0.0,0.0,23398.5,0.0
3904,r016,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,5758234.9,1180475.8,2462064.2,146381.9,523065.0,429632.0,66763.4,5673.2,944179.4
3904,r017,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1264987.0,688924.3,295411.2,27354.3,174270.1,65106.1,0.0,0.0,13921.0
3904,r018,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,1547457.8,108259.2,1030812.6,14436.0,43599.9,137723.3,348.3,0.0,212278.4
3904,r019,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,1461518.3,162132.1,666416.7,9017.7,226309.3,4885.9,55132.8,0.0,337623.7
3904,r020,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,935022.4,134999.4,353375.1,95078.9,18077.9,33952.3,11271.3,3090.2,285177.4
3904,r021,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,549249.3,86160.8,116048.6,495.0,60807.8,187964.4,11.0,2583.0,95178.8
3904,r022,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,131380.1,0.0,0.0,0.0,0.0,0.0,0.0,131380.1,0.0
3904,r023,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,6295185.2,293928.4,4748268.4,239505.8,17327.4,993707.3,0.0,0.0,2448.0
3904,r024,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,202477.3,20788.8,125171.4,0.0,14400.0,42117.1,0.0,0.0,0.0
3904,r025,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,72345.0,0.0,72345.0,0.0,0.0,0.0,0.0,0.0,0.0
3904,r026,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,1270334.0,0.0,1270334.0,0.0,0.0,0.0,0.0,0.0,0.0
3904,r027,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,8622.8,0.0,0.0,8622.8,0.0,0.0,0.0,0.0,0.0
3904,r028,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,626000.0,0.0,300000.0,226000.0,0.0,100000.0,0.0,0.0,0.0
3904,r029,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,3568301.2,256380.3,2483409.7,2646.5,71.0,825743.7,0.0,0.0,50.0
3904,r030,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,3434107.1,238856.4,2482704.7,0.0,0.0,712545.9,0.0,0.0,0.0
3904,r031,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,134194.1,17523.8,705.0,2646.5,71.0,113197.8,0.0,0.0,50.0
3904,r032,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,378272.7,0.0,378272.7,0.0,0.0,0.0,0.0,0.0,0.0
3904,r033,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,39033.2,0.0,39033.2,0.0,0.0,0.0,0.0,0.0,0.0
3904,r034,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,129799.0,16759.4,79702.4,2236.4,2856.3,25846.4,0.0,0.0,2398.0
3904,r035,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,19254566.8,127067.4,1038797.6,268101.3,15844561.4,42936.7,1182523.1,98167.1,652412.3
3904,r036,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,2254.8,0.0,0.0,0.0,0.0,0.0,0.0,2254.8,0.0
3904,r037,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,65922.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65922.4
3904,r038,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,308145.0,43388.9,803.0,0.0,172573.6,0.0,7799.5,20813.1,62767.0
3904,r039,All agencies -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,4,7000.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0
3904,r040,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,288660.1,0.0,0.0,95176.9,174124.0,0.0,0.0,1011.1,18348.1
3904,r041,All agencies -> Departments -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Departments,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,4,133488.6,0.0,0.0,0.0,133488.6,0.0,0.0,0.0,0.0
3904,r042,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,493052.5,0.0,0.0,0.0,493052.5,0.0,0.0,0.0,0.0
3904,r043,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,29998.0,0.0,0.0,0.0,16832.6,0.0,0.0,2265.5,10899.8
3904,r044,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,17909000.0,83678.5,1037994.6,165924.4,14854490.1,42936.7,1174723.6,54777.1,494475.1
3904,r045,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,17045.5,0.0,0.0,0.0,0.0,0.0,0.0,17045.5,0.0
3904,r046,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,17045.5,0.0,0.0,0.0,0.0,0.0,0.0,17045.5,0.0
