table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_aeronautical_engineering,field_astronautical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_engineering,field_mechanical_engineering,field_metallurgy_and_materials_engineering,field_other_engineering
3907,r001,All agencies,All agencies,,,,,1,11661360.2,1128215.4,820974.5,379215.4,554753.9,751156.5,526731.2,619747.1,6880565.9
3907,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,
3907,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,45367.8,0.0,0.0,260.8,0.0,0.0,0.0,0.0,45107.0
3907,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,4652.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4652.5
3907,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,5740.5,0.0,0.0,260.8,0.0,0.0,0.0,0.0,5479.7
3907,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,34974.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34974.8
3907,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,236435.1,0.0,0.0,293.6,58039.5,90302.4,2516.4,47252.2,38031.0
3907,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,219981.1,0.0,0.0,293.6,52603.5,79284.4,2516.4,47252.2,38031.0
3907,r009,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,8554.0,0.0,0.0,0.0,5436.0,3118.0,0.0,0.0,0.0
3907,r010,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0
3907,r011,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,2462064.2,577273.3,87003.5,88572.0,21819.4,490755.3,336914.5,340223.1,519503.0
3907,r012,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,295411.2,40162.3,0.0,13306.7,0.0,62663.5,8830.1,16339.4,154109.3
3907,r013,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,1030812.6,402726.5,67377.8,2796.9,11973.2,213652.4,67135.1,187381.8,77768.8
3907,r014,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,666416.7,85059.3,19035.6,61902.7,9846.2,45839.0,234898.4,53284.9,156550.7
3907,r015,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,353375.1,46318.2,0.0,0.0,0.0,106725.2,16972.4,79787.1,103572.3
3907,r016,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,116048.6,3007.0,590.0,10565.7,0.0,61875.3,9078.7,3430.0,27501.9
3907,r017,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,4748268.4,0.0,50.0,247507.2,100000.0,108263.5,69642.6,204391.7,4018413.4
3907,r018,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,125171.4,0.0,0.0,28789.8,0.0,18433.2,57806.9,14683.2,5458.3
