table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_atmospheric_sciences,field_geological_sciences,field_oceanography,field_other_environmental_sciences
3937,r001,All agencies surveyed,All agencies surveyed,,,,1,1120422.5,146686.3,156543.7,388637.5,428555.1
3937,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,,
3937,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,3,2957.9,1993.1,6.4,0.0,958.5
3937,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,4,280.1,273.7,6.4,0.0,0.0
3937,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,4,1093.4,135.0,0.0,0.0,958.5
3937,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,4,1584.4,1584.4,0.0,0.0,0.0
3937,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,76055.5,3357.6,966.2,67966.6,3765.1
3937,r008,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,5097.6,1473.7,46.9,0.0,3577.0
3937,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,4,905.6,0.0,717.4,0.0,188.1
3937,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,65459.0,0.0,0.0,65459.0,0.0
3937,r011,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,4593.3,1883.9,201.8,2507.6,0.0
3937,r012,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,3,29032.2,21910.7,0.0,0.0,7121.5
3937,r013,All agencies surveyed -> Departments -> Department of Energy -> Office of Science,All agencies surveyed,Departments,Department of Energy,Office of Science,4,29032.2,21910.7,0.0,0.0,7121.5
3937,r014,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,115450.8,0.0,0.0,0.0,115450.8
3937,r015,All agencies surveyed -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies surveyed,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,4,14862.6,0.0,0.0,0.0,14862.6
3937,r016,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,100588.1,0.0,0.0,0.0,100588.1
3937,r017,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,,
3937,r018,All agencies surveyed -> Other agencies -> National Aeronautics and Space Administration,All agencies surveyed,Other agencies,National Aeronautics and Space Administration,,3,218350.2,0.0,0.0,0.0,218350.2
3937,r019,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,678575.9,119424.8,155571.1,320671.0,82909.0
