table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010
3975,r001,All agencies,All agencies,,,,,1,19569.8,21958.1,23668.3,24751.4,26120.7,27140.3,26584.6,26865.8,27154.0,32879.4,31795.3
3975,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,,
3975,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,807.9,903.1,930.1,961.6,919.9,953.7,945.8,937.5,883.4,930.2,982.2
3975,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,477.7,546.9,582.9,584.1,538.0,542.8,556.1,559.6,550.1,570.6,589.1
3975,r005,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,6.4,6.6,6.7,6.8,7.1,7.4,7.5,8.6,4.4,8.0,1.9
3975,r006,All agencies -> Departments -> Department of Agriculture -> Food Safety and Inspection Service,All agencies,Departments,Department of Agriculture,Food Safety and Inspection Service,,4,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
3975,r007,All agencies -> Departments -> Department of Agriculture -> Foreign Agricultural Service,All agencies,Departments,Department of Agriculture,Foreign Agricultural Service,,4,0.8,0.8,0.8,0.9,0.4,0.4,0.2,0.2,0.1,0.1,0.1
3975,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,91.4,97.2,103.7,119.7,121.4,121.4,125.9,87.9,82.7,105.4,99.2
3975,r009,"All agencies -> Departments -> Department of Agriculture -> Grain Inspection, Packers, and Stockyards Administration",All agencies,Departments,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.6,6.5,6.3
3975,r010,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,1.3,1.4,1.5,1.8,1.8,1.8,1.9,2.0,2.6,3.0,3.2
