table_id,row_id,time_period,column_level_1,column_level_2,column_level_3,column_hierarchy_depth,value
4017,r001,1967,Total,,,1,11897.7
4017,r002,1967,Intramurala,,,1,1934.4
4017,r003,1967,Extramural,United States and U.S. territories,Industry,3,8839.2
4017,r004,1967,Extramural,United States and U.S. territories,Industry-administered FFRDCs,3,315.6
4017,r005,1967,Extramural,United States and U.S. territories,Universities and colleges,3,142.2
4017,r006,1967,Extramural,United States and U.S. territories,University-administered FFRDCs,3,311.4
4017,r007,1967,Extramural,United States and U.S. territories,Other nonprofits,3,151.4
4017,r008,1967,Extramural,United States and U.S. territories,Nonprofit-administered FFRDCs,3,176.0
4017,r009,1967,Extramural,United States and U.S. territories,"State, local governments",3,10.3
4017,r010,1967,Extramural,Foreign,,2,17.3
4017,r011,1968,Total,,,1,11140.1
4017,r012,1968,Intramurala,,,1,1951.8
4017,r013,1968,Extramural,United States and U.S. territories,Industry,3,7953.4
4017,r014,1968,Extramural,United States and U.S. territories,Industry-administered FFRDCs,3,349.9
4017,r015,1968,Extramural,United States and U.S. territories,Universities and colleges,3,185.6
4017,r016,1968,Extramural,United States and U.S. territories,University-administered FFRDCs,3,334.9
4017,r017,1968,Extramural,United States and U.S. territories,Other nonprofits,3,143.4
4017,r018,1968,Extramural,United States and U.S. territories,Nonprofit-administered FFRDCs,3,194.0
4017,r019,1968,Extramural,United States and U.S. territories,"State, local governments",3,18.3
4017,r020,1968,Extramural,Foreign,,2,9.0
4017,r021,1969,Total,,,1,10996.0
4017,r022,1969,Intramurala,,,1,1855.9
4017,r023,1969,Extramural,United States and U.S. territories,Industry,3,7816.7
4017,r024,1969,Extramural,United States and U.S. territories,Industry-administered FFRDCs,3,357.2
4017,r025,1969,Extramural,United States and U.S. territories,Universities and colleges,3,207.4
4017,r026,1969,Extramural,United States and U.S. territories,University-administered FFRDCs,3,386.5
4017,r027,1969,Extramural,United States and U.S. territories,Other nonprofits,3,142.6
4017,r028,1969,Extramural,United States and U.S. territories,Nonprofit-administered FFRDCs,3,193.1
4017,r029,1969,Extramural,United States and U.S. territories,"State, local governments",3,27.0
4017,r030,1969,Extramural,Foreign,,2,9.4
4017,r031,1970,Total,,,1,10438.1
4017,r032,1970,Intramurala,,,1,2175.4
4017,r033,1970,Extramural,United States and U.S. territories,Industry,3,6893.7
4017,r034,1970,Extramural,United States and U.S. territories,Industry-administered FFRDCs,3,358.2
4017,r035,1970,Extramural,United States and U.S. territories,Universities and colleges,3,199.1
4017,r036,1970,Extramural,United States and U.S. territories,University-administered FFRDCs,3,368.6
4017,r037,1970,Extramural,United States and U.S. territories,Other nonprofits,3,214.4
4017,r038,1970,Extramural,United States and U.S. territories,Nonprofit-administered FFRDCs,3,202.3
4017,r039,1970,Extramural,United States and U.S. territories,"State, local governments",3,16.2
4017,r040,1970,Extramural,Foreign,,2,10.3
4017,r041,1971,Total,,,1,10419.3
4017,r042,1971,Intramurala,,,1,2340.4
4017,r043,1971,Extramural,United States and U.S. territories,Industry,3,6698.5
4017,r044,1971,Extramural,United States and U.S. territories,Industry-administered FFRDCs,3,404.5
4017,r045,1971,Extramural,United States and U.S. territories,Universities and colleges,3,214.4
4017,r046,1971,Extramural,United States and U.S. territories,University-administered FFRDCs,3,370.0
4017,r047,1971,Extramural,United States and U.S. territories,Other nonprofits,3,176.8
4017,r048,1971,Extramural,United States and U.S. territories,Nonprofit-administered FFRDCs,3,158.2
4017,r049,1971,Extramural,United States and U.S. territories,"State, local governments",3,45.2
4017,r050,1971,Extramural,Foreign,,2,11.4
4017,r051,1972,Total,,,1,10948.2
4017,r052,1972,Intramurala,,,1,2604.8
4017,r053,1972,Extramural,United States and U.S. territories,Industry,3,6809.5
4017,r054,1972,Extramural,United States and U.S. territories,Industry-administered FFRDCs,3,454.6
4017,r055,1972,Extramural,United States and U.S. territories,Universities and colleges,3,260.7
4017,r056,1972,Extramural,United States and U.S. territories,University-administered FFRDCs,3,362.1
4017,r057,1972,Extramural,United States and U.S. territories,Other nonprofits,3,172.9
4017,r058,1972,Extramural,United States and U.S. territories,Nonprofit-administered FFRDCs,3,155.6
4017,r059,1972,Extramural,United States and U.S. territories,"State, local governments",3,112.9
4017,r060,1972,Extramural,Foreign,,2,15.1
4017,r061,1973,Total,,,1,11218.7
4017,r062,1973,Intramurala,,,1,2673.7
4017,r063,1973,Extramural,United States and U.S. territories,Industry,3,6844.0
4017,r064,1973,Extramural,United States and U.S. territories,Industry-administered FFRDCs,3,513.6
4017,r065,1973,Extramural,United States and U.S. territories,Universities and colleges,3,225.5
4017,r066,1973,Extramural,United States and U.S. territories,University-administered FFRDCs,3,370.1
4017,r067,1973,Extramural,United States and U.S. territories,Other nonprofits,3,262.0
4017,r068,1973,Extramural,United States and U.S. territories,Nonprofit-administered FFRDCs,3,132.8
4017,r069,1973,Extramural,United States and U.S. territories,"State, local governments",3,172.6
