table_id,row_id,education_system_full_path,education_system_level_1,education_system_level_2,education_system_hierarchy_depth,field_average_score,field_percentilea_10th_percentile_score,field_percentilea_90th_percentile_score,field_percentilea_90th_10th_percentile_score_gap,field_oecd_country_and_education_system
4097,r001,<b>OECD average             </b>,<b>OECD average             </b>,,1,"['489', '<b>*</b>']",370,605,"['235', '&nbsp;']",na
4097,r002,<b>OECD average             </b> -> B-S-J-Z (China),<b>OECD average             </b>,B-S-J-Z (China),2,"['591', '*']",486,691,"['205', '*']",No
4097,r003,<b>OECD average             </b> -> Singapore,<b>OECD average             </b>,Singapore,2,"['569', '*']",441,684,"['244', '&nbsp;']",No
4097,r004,<b>OECD average             </b> -> Macau (China),<b>OECD average             </b>,Macau (China),2,"['558', '*']",452,659,"['207', '*']",No
4097,r005,<b>OECD average             </b> -> Hong Kong (China),<b>OECD average             </b>,Hong Kong (China),2,"['551', '*']",426,667,"['241', '&nbsp;']",No
4097,r006,<b>OECD average             </b> -> Chinese Taipei,<b>OECD average             </b>,Chinese Taipei,2,"['531', '*']",397,656,"['259', '*']",No
4097,r007,<b>OECD average             </b> -> Japan,<b>OECD average             </b>,Japan,2,"['527', '*']",413,637,"['224', '*']",Yes
4097,r008,<b>OECD average             </b> -> South Korea,<b>OECD average             </b>,South Korea,2,"['526', '*']",393,651,"['258', '&nbsp;']",Yes
4097,r009,<b>OECD average             </b> -> Estonia,<b>OECD average             </b>,Estonia,2,"['523', '*']",419,628,"['209', '*']",Yes
4097,r010,<b>OECD average             </b> -> Netherlands,<b>OECD average             </b>,Netherlands,2,"['519', '*']",394,638,"['243', '&nbsp;']",Yes
4097,r011,<b>OECD average             </b> -> Poland,<b>OECD average             </b>,Poland,2,"['516', '*']",398,631,"['233', '&nbsp;']",Yes
4097,r012,<b>OECD average             </b> -> Switzerland,<b>OECD average             </b>,Switzerland,2,"['515', '*']",391,636,"['245', '&nbsp;']",Yes
4097,r013,<b>OECD average             </b> -> Canada,<b>OECD average             </b>,Canada,2,"['512', '*']",392,629,"['237', '&nbsp;']",Yes
4097,r014,<b>OECD average             </b> -> Denmark,<b>OECD average             </b>,Denmark,2,"['509', '*']",401,613,"['213', '*']",Yes
4097,r015,<b>OECD average             </b> -> Slovenia,<b>OECD average             </b>,Slovenia,2,"['509', '*']",392,622,"['230', '&nbsp;']",Yes
4097,r016,<b>OECD average             </b> -> Belgium,<b>OECD average             </b>,Belgium,2,"['508', '*']",377,628,"['252', '&nbsp;']",Yes
4097,r017,<b>OECD average             </b> -> Finland,<b>OECD average             </b>,Finland,2,"['507', '*']",399,612,"['213', '*']",Yes
4097,r018,<b>OECD average             </b> -> Sweden,<b>OECD average             </b>,Sweden,2,"['502', '*']",383,618,"['236', '&nbsp;']",Yes
4097,r019,<b>OECD average             </b> -> United Kingdom,<b>OECD average             </b>,United Kingdom,2,"['502', '*']",381,620,"['239', '&nbsp;']",Yes
4097,r020,<b>OECD average             </b> -> Norway,<b>OECD average             </b>,Norway,2,"['501', '*']",381,617,"['236', '&nbsp;']",Yes
4097,r021,<b>OECD average             </b> -> Germany,<b>OECD average             </b>,Germany,2,"['500', '*']",373,621,"['248', '&nbsp;']",Yes
4097,r022,<b>OECD average             </b> -> Ireland,<b>OECD average             </b>,Ireland,2,"['500', '*']",397,599,"['202', '*']",Yes
4097,r023,<b>OECD average             </b> -> Czechia,<b>OECD average             </b>,Czechia,2,"['499', '*']",378,619,"['241', '&nbsp;']",Yes
4097,r024,<b>OECD average             </b> -> Austria,<b>OECD average             </b>,Austria,2,"['499', '*']",374,618,"['244', '&nbsp;']",Yes
4097,r025,<b>OECD average             </b> -> Latvia,<b>OECD average             </b>,Latvia,2,"['496', '*']",393,599,"['207', '*']",Yes
4097,r026,<b>OECD average             </b> -> France,<b>OECD average             </b>,France,2,"['495', '*']",370,611,"['241', '&nbsp;']",Yes
4097,r027,<b>OECD average             </b> -> Iceland,<b>OECD average             </b>,Iceland,2,"['495', '*']",374,609,"['235', '&nbsp;']",Yes
4097,r028,<b>OECD average             </b> -> New Zealand,<b>OECD average             </b>,New Zealand,2,"['494', '*']",372,614,"['242', '&nbsp;']",Yes
4097,r029,<b>OECD average             </b> -> Portugal,<b>OECD average             </b>,Portugal,2,"['492', '*']",362,614,"['252', '&nbsp;']",Yes
4097,r030,<b>OECD average             </b> -> Australia,<b>OECD average             </b>,Australia,2,"['491', '*']",371,609,"['238', '&nbsp;']",Yes
4097,r031,<b>OECD average             </b> -> Russia,<b>OECD average             </b>,Russia,2,"['488', '*']",376,597,"['221', '*']",No
4097,r032,<b>OECD average             </b> -> Italy,<b>OECD average             </b>,Italy,2,"['487', '&nbsp;']",363,605,"['241', '&nbsp;']",Yes
4097,r033,<b>OECD average             </b> -> Slovakia,<b>OECD average             </b>,Slovakia,2,"['486', '&nbsp;']",353,610,"['257', '&nbsp;']",Yes
4097,r034,<b>OECD average             </b> -> Luxembourg,<b>OECD average             </b>,Luxembourg,2,"['483', '&nbsp;']",353,611,"['257', '*']",Yes
4097,r035,<b>OECD average             </b> -> Spain,<b>OECD average             </b>,Spain,2,"['481', '&nbsp;']",365,593,"['229', '&nbsp;']",Yes
4097,r036,<b>OECD average             </b> -> Lithuania,<b>OECD average             </b>,Lithuania,2,"['481', '&nbsp;']",362,598,"['236', '&nbsp;']",Yes
4097,r037,<b>OECD average             </b> -> Hungary,<b>OECD average             </b>,Hungary,2,"['481', '&nbsp;']",360,597,"['237', '&nbsp;']",Yes
4097,r038,<b>OECD average             </b> -> <b>United States</b>,<b>OECD average             </b>,<b>United States</b>,2,"['478', '&nbsp;']",357,598,"['241', '&nbsp;']",Yes
4097,r039,<b>OECD average             </b> -> Belarus,<b>OECD average             </b>,Belarus,2,"['472', '&nbsp;']",351,592,"['241', '&nbsp;']",No
4097,r040,<b>OECD average             </b> -> Malta,<b>OECD average             </b>,Malta,2,"['472', '&nbsp;']",334,599,"['265', '*']",No
4097,r041,<b>OECD average             </b> -> Croatia,<b>OECD average             </b>,Croatia,2,"['464', '*']",354,577,"['223', '*']",No
