table_id,row_id,education_system_full_path,education_system_level_1,education_system_level_2,education_system_hierarchy_depth,field_mathematics_teachers_content_of_some_or_all_subject_s_i_teach,field_mathematics_teachers_pedagogy_of_some_or_all_subject_s_i_teach,field_mathematics_teachers_general_pedagogy,field_mathematics_teachers_classroom_practice_in_some_or_all_subject_s_i_teach,field_mathematics_teachers_teaching_cross_curricular_skills_e_g_creativity_critical_thinking_problem_solving_,field_mathematics_teachers_use_of_information_and_communications_technologies_for_teaching,field_science_teachers_content_of_some_or_all_subject_s_i_teach,field_science_teachers_pedagogy_of_some_or_all_subject_s_i_teach,field_science_teachers_general_pedagogy,field_science_teachers_classroom_practice_in_some_or_all_subject_s_i_teach,field_science_teachers_teaching_cross_curricular_skills_e_g_creativity_critical_thinking_problem_solving_,field_science_teachers_use_of_information_and_communications_technologies_for_teaching,field_oecd_country_and_education_system
4114,r001,TALIS average<sup>a</sup>,TALIS average<sup>a</sup>,,1,94,90,93,90,70,65,94,90,92,89,70,63,na
4114,r002,TALIS average<sup>a</sup> -> Alberta (Canada),TALIS average<sup>a</sup>,Alberta (Canada),2,82,87,96,87,74,65,92,93,99,94,80,77,No
4114,r003,TALIS average<sup>a</sup> -> Australia,TALIS average<sup>a</sup>,Australia,2,89,92,94,93,66,65,93,93,96,94,65,65,Yes
4114,r004,TALIS average<sup>a</sup> -> Austria,TALIS average<sup>a</sup>,Austria,2,94,94,98,96,48,49,98,89,92,94,46,46,Yes
4114,r005,TALIS average<sup>a</sup> -> Belgium,TALIS average<sup>a</sup>,Belgium,2,88,92,97,95,67,55,84,89,97,91,61,52,Yes
4114,r006,TALIS average<sup>a</sup> -> Brazil,TALIS average<sup>a</sup>,Brazil,2,95,87,90,94,83,69,94,90,89,95,81,68,No
4114,r007,TALIS average<sup>a</sup> -> Bulgaria,TALIS average<sup>a</sup>,Bulgaria,2,95,97,94,96,78,60,98,98,95,97,84,55,No
4114,r008,TALIS average<sup>a</sup> -> Chile,TALIS average<sup>a</sup>,Chile,2,92,95,94,94,88,79,94,92,96,94,89,78,Yes
4114,r009,TALIS average<sup>a</sup> -> Chinese Taipei,TALIS average<sup>a</sup>,Chinese Taipei,2,87,90,99,84,64,59,88,89,98,87,64,61,No
4114,r010,TALIS average<sup>a</sup> -> Ciudad Aut&#243;noma de Buenos Aires (Argentina),TALIS average<sup>a</sup>,Ciudad Aut&#243;noma de Buenos Aires (Argentina),2,99,97,96,98,88,64,97,84,80,87,89,59,No
4114,r011,TALIS average<sup>a</sup> -> Colombia,TALIS average<sup>a</sup>,Colombia,2,91,91,91,87,90,79,92,89,93,88,83,75,Yes
4114,r012,TALIS average<sup>a</sup> -> Croatia,TALIS average<sup>a</sup>,Croatia,2,96,93,98,94,74,63,98,91,94,88,66,54,No
4114,r013,TALIS average<sup>a</sup> -> Cyprus,TALIS average<sup>a</sup>,Cyprus,2,95,77,84,66,72,64,96,79,80,72,76,72,No
4114,r014,TALIS average<sup>a</sup> -> Czechia,TALIS average<sup>a</sup>,Czechia,2,91,93,99,65,41,49,93,91,97,68,47,50,Yes
4114,r015,TALIS average<sup>a</sup> -> Denmark,TALIS average<sup>a</sup>,Denmark,2,96,97,100,93,70,61,96,96,99,94,68,57,Yes
4114,r016,TALIS average<sup>a</sup> -> England (United Kingdom),TALIS average<sup>a</sup>,England (United Kingdom),2,95,95,98,97,73,84,91,93,97,99,66,78,No
4114,r017,TALIS average<sup>a</sup> -> Estonia,TALIS average<sup>a</sup>,Estonia,2,97,94,99,92,80,61,88,89,96,83,78,60,Yes
4114,r018,TALIS average<sup>a</sup> -> Finland,TALIS average<sup>a</sup>,Finland,2,96,94,97,99,49,62,91,94,98,99,50,56,Yes
4114,r019,TALIS average<sup>a</sup> -> France,TALIS average<sup>a</sup>,France,2,91,73,63,68,42,57,94,74,62,71,38,58,Yes
4114,r020,TALIS average<sup>a</sup> -> Georgia,TALIS average<sup>a</sup>,Georgia,2,99,90,89,89,68,61,98,90,92,89,72,44,No
4114,r021,TALIS average<sup>a</sup> -> Hungary,TALIS average<sup>a</sup>,Hungary,2,95,91,97,96,63,54,98,91,97,93,59,62,Yes
4114,r022,TALIS average<sup>a</sup> -> Israel,TALIS average<sup>a</sup>,Israel,2,93,93,91,90,70,65,91,92,91,93,65,59,Yes
4114,r023,TALIS average<sup>a</sup> -> Italy,TALIS average<sup>a</sup>,Italy,2,91,53,56,83,59,48,89,60,58,80,55,45,Yes
4114,r024,TALIS average<sup>a</sup> -> Japan,TALIS average<sup>a</sup>,Japan,2,92,89,86,88,56,63,94,89,91,90,50,61,Yes
4114,r025,TALIS average<sup>a</sup> -> Kazakhstan,TALIS average<sup>a</sup>,Kazakhstan,2,96,92,97,93,75,76,95,94,97,93,77,76,No
4114,r026,TALIS average<sup>a</sup> -> Latvia,TALIS average<sup>a</sup>,Latvia,2,95,93,99,94,67,61,96,93,97,93,69,50,Yes
4114,r027,TALIS average<sup>a</sup> -> Lithuania,TALIS average<sup>a</sup>,Lithuania,2,95,89,99,90,57,51,94,90,97,86,62,40,Yes
4114,r028,TALIS average<sup>a</sup> -> Malta,TALIS average<sup>a</sup>,Malta,2,92,95,98,97,76,81,85,84,91,91,71,72,No
4114,r029,TALIS average<sup>a</sup> -> Mexico,TALIS average<sup>a</sup>,Mexico,2,98,89,85,90,89,80,95,86,77,89,87,72,Yes
4114,r030,TALIS average<sup>a</sup> -> Netherlands,TALIS average<sup>a</sup>,Netherlands,2,95,97,90,97,54,62,91,96,95,95,55,60,Yes
4114,r031,TALIS average<sup>a</sup> -> New Zealand,TALIS average<sup>a</sup>,New Zealand,2,94,96,99,98,70,59,94,95,94,97,57,53,Yes
4114,r032,TALIS average<sup>a</sup> -> Norway,TALIS average<sup>a</sup>,Norway,2,95,94,98,80,54,53,94,94,98,83,58,54,Yes
4114,r033,TALIS average<sup>a</sup> -> Portugal,TALIS average<sup>a</sup>,Portugal,2,93,90,94,82,75,71,96,,94,86,73,50,Yes
4114,r034,TALIS average<sup>a</sup> -> Romania,TALIS average<sup>a</sup>,Romania,2,97,97,99,95,67,70,97,96,95,95,79,73,No
4114,r035,TALIS average<sup>a</sup> -> Russia,TALIS average<sup>a</sup>,Russia,2,99,97,97,96,67,75,98,97,97,93,73,67,No
4114,r036,TALIS average<sup>a</sup> -> Saudi Arabia,TALIS average<sup>a</sup>,Saudi Arabia,2,92,87,92,83,74,67,93,86,94,89,81,79,No
4114,r037,TALIS average<sup>a</sup> -> Shanghai (China),TALIS average<sup>a</sup>,Shanghai (China),2,96,95,98,92,68,81,96,95,97,91,76,82,No
4114,r038,TALIS average<sup>a</sup> -> Singapore,TALIS average<sup>a</sup>,Singapore,2,97,97,98,94,74,91,94,96,98,96,77,91,No
4114,r039,TALIS average<sup>a</sup> -> Slovakia,TALIS average<sup>a</sup>,Slovakia,2,87,87,93,86,57,63,88,89,95,85,68,71,Yes
4114,r040,TALIS average<sup>a</sup> -> Slovenia,TALIS average<sup>a</sup>,Slovenia,2,94,92,97,93,51,62,94,91,98,92,54,65,Yes
4114,r041,TALIS average<sup>a</sup> -> South Africa,TALIS average<sup>a</sup>,South Africa,2,95,88,94,95,93,62,95,88,91,94,85,70,No
4114,r042,TALIS average<sup>a</sup> -> South Korea,TALIS average<sup>a</sup>,South Korea,2,94,90,94,91,64,60,97,95,96,94,66,60,Yes
4114,r043,TALIS average<sup>a</sup> -> Spain,TALIS average<sup>a</sup>,Spain,2,93,56,56,67,52,48,91,53,58,68,50,37,Yes
4114,r044,TALIS average<sup>a</sup> -> Sweden,TALIS average<sup>a</sup>,Sweden,2,99,96,96,91,66,41,99,92,94,88,64,43,Yes
4114,r045,TALIS average<sup>a</sup> -> Turkey,TALIS average<sup>a</sup>,Turkey,2,87,85,93,82,85,77,90,87,94,83,82,78,Yes
4114,r046,TALIS average<sup>a</sup> -> United Arab Emirates,TALIS average<sup>a</sup>,United Arab Emirates,2,97,94,92,94,93,85,95,94,91,93,92,86,No
4114,r047,TALIS average<sup>a</sup> -> United States,TALIS average<sup>a</sup>,United States,2,94,93,97,91,81,65,97,92,92,90,83,67,Yes
4114,r048,TALIS average<sup>a</sup> -> Vietnam,TALIS average<sup>a</sup>,Vietnam,2,100,100,100,99,98,96,100,100,100,95,97,92,No
