table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4331,r001,All HBCUs,All HBCUs,,1,-,341369.3,232794.6,640.1,0.0,70761.8,109.0,37063.7
4331,r002,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,1,22703.8,16659.0,0.0,0.0,4238.4,0.0,1806.4
4331,r003,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,2,16849.2,7757.0,0.0,0.0,2732.1,0.0,6360.1
4331,r004,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,3,16670.2,10877.2,199.5,0.0,4237.0,0.0,1356.5
4331,r005,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,4,16016.3,13082.1,0.0,0.0,2297.4,0.0,636.8
4331,r006,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,5,15851.0,11740.6,0.0,0.0,2812.0,0.0,1298.5
4331,r007,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,6,15091.6,14758.1,0.0,0.0,184.3,0.0,149.3
4331,r008,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,7,14976.1,10737.3,0.0,0.0,2011.5,0.0,2227.3
4331,r009,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,8,14255.9,9501.5,0.0,0.0,4504.3,0.0,250.0
4331,r010,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,9,13506.2,11965.3,40.6,0.0,1250.5,0.0,249.8
4331,r011,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,10,10492.4,8502.9,0.0,0.0,974.5,0.0,1014.9
4331,r012,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,11,10359.0,6685.3,0.0,0.0,2736.6,0.0,937.2
4331,r013,"All HBCUs -> Xavier U., Louisiana",All HBCUs,"Xavier U., Louisiana",2,12,10205.6,8143.6,0.0,0.0,2062.0,0.0,0.0
4331,r014,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,13,10188.8,8411.3,0.0,0.0,564.1,0.0,1213.3
4331,r015,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,14,9976.3,6667.3,0.0,0.0,1636.2,10.0,1662.8
4331,r016,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,15,8382.8,6385.4,0.0,0.0,1876.7,0.0,120.7
4331,r017,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,16,8024.3,5413.0,0.0,0.0,751.5,0.0,1859.8
4331,r018,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,17,7411.0,4985.1,0.0,0.0,1136.7,0.0,1289.3
4331,r019,All HBCUs -> U. of the District of Columbia,All HBCUs,U. of the District of Columbia,2,18,7315.4,3058.4,199.2,0.0,3826.6,0.0,231.2
4331,r020,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,19,6994.2,5009.7,0.0,0.0,956.7,0.0,1027.9
4331,r021,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,20,6872.8,4771.1,0.0,0.0,1140.3,0.0,961.4
4331,r022,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,21,6589.5,3271.2,0.0,0.0,1224.8,0.0,2093.4
4331,r023,All HBCUs -> Fort Valley State U.,All HBCUs,Fort Valley State U.,2,22,6263.0,3786.5,0.0,0.0,1316.9,0.0,1159.6
4331,r024,All HBCUs -> Alcorn State U.,All HBCUs,Alcorn State U.,2,23,5949.2,2707.0,0.0,0.0,1548.6,99.0,1594.6
4331,r025,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,24,5921.8,3664.5,0.0,0.0,563.8,0.0,1693.5
4331,r026,All HBCUs -> Norfolk State U.,All HBCUs,Norfolk State U.,2,25,5841.6,4149.0,24.0,0.0,1668.6,0.0,0.0
4331,r027,All HBCUs -> U. of the Virgin Islands,All HBCUs,U. of the Virgin Islands,2,26,5520.5,2750.2,0.0,0.0,2226.5,0.0,543.8
4331,r028,All HBCUs -> Lincoln U. of the Commonwealth of Pennsylvania,All HBCUs,Lincoln U. of the Commonwealth of Pennsylvania,2,27,4868.5,3472.7,0.0,0.0,429.9,0.0,966.0
