table_id,row_id,employment_sector_full_path,employment_sector_level_1,employment_sector_level_2,employment_sector_level_3,employment_sector_hierarchy_depth,field_1993_highest_degree_in_s_e,field_1993_s_e_occupations,field_2003_highest_degree_in_s_e,field_2003_s_e_occupations,field_2019_highest_degree_in_s_e,field_2019_s_e_occupations
4382,r001,Total (number),Total (number),,,1,7036000,3303000,9579000,4817000,15362000,7466000
4382,r002,Total (number) -> Business or industry,Total (number),Business or industry,,2,68.7,67.8,71.3,71.7,73.9,72.9
4382,r003,Total (number) -> Business or industry -> For-profit businesses,Total (number),Business or industry,For-profit businesses,3,57.3,61.1,59.1,64.2,60.3,65.3
4382,r004,Total (number) -> Business or industry -> Nonprofit businesses,Total (number),Business or industry,Nonprofit businesses,3,5.2,3.2,6.3,3.7,8.0,5.1
4382,r005,"Total (number) -> Business or industry -> Self-employed, unincorporated businesses",Total (number),Business or industry,"Self-employed, unincorporated businesses",3,6.2,3.5,5.9,3.9,5.7,2.5
4382,r006,Total (number) -> Education,Total (number),Education,,2,16.8,17.8,15.6,15.9,15.3,16.4
4382,r007,Total (number) -> Education -> 4-year institutions,Total (number),Education,4-year institutions,3,9.1,14.3,8.5,12.9,8.6,13.6
4382,r008,Total (number) -> Education -> 2-year and precollege institutions,Total (number),Education,2-year and precollege institutions,3,7.7,3.5,7.2,3.0,6.7,2.8
4382,r009,Total (number) -> Government,Total (number),Government,,2,14.5,14.4,13.1,12.4,10.8,1.7
4382,r010,Total (number) -> Government -> Federal,Total (number),Government,Federal,3,6.9,8.4,5.3,5.9,4.9,5.6
4382,r011,Total (number) -> Government -> State or local,Total (number),Government,State or local,3,7.7,5.9,7.8,6.5,6.0,5.0
