table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_female_number,field_female_percent,field_male_number,field_male_percent
4395,r001,All occupations,All occupations,,,,1,28627,13720,47.9,14907,52.1
4395,r002,S&E occupations,S&E occupations,,,,1,7466,2193,29.4,5274,70.6
4395,r003,S&E occupations -> Computer and mathematical scientists,S&E occupations,Computer and mathematical scientists,,,2,3774,975,25.8,2799,74.2
4395,r004,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,3,3379,810,24.0,2569,76.0
4395,r005,"S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer and information scientists, research",S&E occupations,Computer and mathematical scientists,Computer and information scientists,"Computer and information scientists, research",4,90,26,29.0,64,71.0
4395,r006,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer network architects,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer network architects,4,40,3,8.2,37,91.8
4395,r007,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer support specialists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer support specialists,4,294,94,32.1,199,67.9
4395,r008,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer system analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer system analysts,4,362,149,41.1,213,58.9
4395,r009,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Database administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Database administrators,4,129,43,33.6,85,66.4
4395,r010,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Information security analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Information security analysts,4,113,23,20.7,90,79.3
4395,r011,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Network and computer systems administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Network and computer systems administrators,4,192,19,9.7,174,90.3
4395,r012,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Software developers&#8212;applications and systems software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Software developers&#8212;applications and systems software,4,683,124,18.1,559,81.9
4395,r013,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Web developers,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Web developers,4,147,29,19.8,118,80.2
4395,r014,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Other computer information science occupations,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Other computer information science occupations,4,432,139,32.2,293,67.8
4395,r015,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer engineers&#8212;software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer engineers&#8212;software,4,897,160,17.8,737,82.2
4395,r016,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,3,284,118,41.6,166,58.4
4395,r017,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Mathematicians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Mathematicians,4,9,3,32.1,6,67.9
4395,r018,"S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Operations research analysts, including modeling",S&E occupations,Computer and mathematical scientists,Mathematical scientists,"Operations research analysts, including modeling",4,182,67,36.5,116,63.5
4395,r019,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Statisticians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Statisticians,4,67,28,41.7,39,58.3
4395,r020,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Other mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Other mathematical scientists,4,26,21,79.4,5,20.6
4395,r021,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,,3,111,47,42.5,64,57.5
4395,r022,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences -> Computer sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,Computer sciences,4,30,10,33.9,20,66.1
4395,r023,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences -> Mathematics and statistics,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,Mathematics and statistics,4,81,37,45.7,44,54.3
4395,r024,"S&E occupations -> Biological, agricultural, and environmental life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",,,2,698,337,48.3,361,51.7
