table_id,row_id,position_and_field_full_path,position_and_field_level_1,position_and_field_level_2,position_and_field_level_3,position_and_field_level_4,position_and_field_level_5,position_and_field_hierarchy_depth,field_1973,field_1977,field_1981,field_1983,field_1985,field_1987,field_1989,field_1991,field_1993,field_1995,field_1997,field_1999,field_2001,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019
4399,r001,All positions,All positions,,,,,1,,,,,,,,,,,,,,,,,,,,,
4399,r002,All positions -> All fields,All positions,All fields,,,,2,118.0,145.4,167.1,176.1,190.2,195.9,206.6,210.6,213.8,217.5,232.5,240.2,245.5,259.5,272.8,276.5,294.8,309.0,329.3,326.6,350.4
4399,r003,All positions -> All fields -> Physical sciences,All positions,All fields,Physical sciences,,,3,25.5,29.2,30.0,29.9,32.2,32.8,33.6,33.7,35.0,35.7,37.5,38.7,38.6,39.9,39.6,39.9,43.7,44.9,48.4,46.9,50.5
4399,r004,All positions -> All fields -> Mathematics and statistics,All positions,All fields,Mathematics and statistics,,,3,9.7,11.7,12.4,12.9,13.6,13.8,14.5,15.2,15.5,14.6,15.6,15.2,14.9,16.7,17.4,18.0,18.7,19.0,20.9,20.6,21.7
4399,r005,All positions -> All fields -> Computer and information sciences,All positions,All fields,Computer and information sciences,,,3,NA,NA,0.3,0.5,0.8,1.1,1.5,2.0,2.5,3.1,3.3,3.7,3.8,5.2,5.8,6.9,7.3,8.4,9.1,8.9,10.9
4399,r006,All positions -> All fields -> Life sciences,All positions,All fields,Life sciences,,,3,34.9,42.6,51.3,54.9,58.7,61.3,64.8,66.9,68.2,71.6,77.3,81.9,84.3,90.0,95.5,94.2,102.0,109.8,112.7,112.6,118.8
4399,r007,All positions -> All fields -> Psychology,All positions,All fields,Psychology,,,3,12.2,16.2,20.1,21.0,23.1,23.7,25.0,25.2,25.0,26.1,27.3,29.0,30.4,31.8,35.0,34.5,35.4,36.3,38.7,38.0,39.9
4399,r008,All positions -> All fields -> Social sciences,All positions,All fields,Social sciences,,,3,23.4,31.1,36.9,38.9,42.0,42.2,44.5,44.8,44.4,42.5,44.9,46.2,46.9,48.1,50.0,52.5,54.9,55.9,59.7,59.9,64.4
4399,r009,All positions -> All fields -> Engineering,All positions,All fields,Engineering,,,3,12.4,14.8,16.1,18.1,19.9,21.2,22.9,22.8,23.1,23.8,26.6,25.5,26.6,27.8,29.6,30.4,32.8,34.7,39.7,39.8,44.1
4399,r010,All positions -> All full-time faculty,All positions,All full-time faculty,,,,2,,,,,,,,,,,,,,,,,,,,,
4399,r011,All positions -> All full-time faculty -> All fields,All positions,All full-time faculty,All fields,,,3,103.3,125.6,141.9,148.4,156.9,164.4,169.8,173.1,172.4,171.4,174.1,179.8,182.4,190.6,193.1,199.1,206.8,214.4,227.7,223.5,246.8
4399,r012,All positions -> All full-time faculty -> All fields -> Physical sciences,All positions,All full-time faculty,All fields,Physical sciences,,4,20.8,23.6,24.3,24.2,25.4,26.4,26.2,26.2,25.8,25.6,25.6,26.7,26.4,27.6,26.9,27.6,29.3,29.5,31.2,29.7,33.5
4399,r013,All positions -> All full-time faculty -> All fields -> Mathematics and statistics,All positions,All full-time faculty,All fields,Mathematics and statistics,,4,9.3,10.9,11.7,12.3,12.7,12.9,13.5,14.2,14.7,13.0,13.4,12.9,12.3,14.0,14.0,14.8,15.1,15.5,16.7,16.3,17.3
4399,r014,All positions -> All full-time faculty -> All fields -> Computer and information sciences,All positions,All full-time faculty,All fields,Computer and information sciences,,4,NA,NA,0.3,0.4,0.7,0.9,1.3,1.8,2.3,2.8,2.9,3.2,3.3,4.2,4.9,5.7,5.8,6.4,7.1,7.1,8.7
4399,r015,All positions -> All full-time faculty -> All fields -> Life sciences,All positions,All full-time faculty,All fields,Life sciences,,4,29.5,34.9,40.9,43.5,45.6,48.1,49.3,51.1,50.8,52.8,53.5,56.1,58.3,61.7,62.8,63.5,66.7,70.6,70.8,70.0,76.6
4399,r016,All positions -> All full-time faculty -> All fields -> Psychology,All positions,All full-time faculty,All fields,Psychology,,4,10.8,13.9,16.4,17.3,18.5,19.2,20.2,20.7,19.5,20.1,19.6,21.0,21.7,21.4,23.2,23.1,23.3,24.1,25.9,26.3,28.0
4399,r017,All positions -> All full-time faculty -> All fields -> Social sciences,All positions,All full-time faculty,All fields,Social sciences,,4,21.6,28.8,33.7,34.4,36.1,37.7,39.0,39.0,39.2,37.1,37.3,38.7,38.7,39.6,39.2,42.1,43.1,43.5,46.6,46.0,50.1
4399,r018,All positions -> All full-time faculty -> All fields -> Engineering,All positions,All full-time faculty,All fields,Engineering,,4,11.3,13.5,14.7,16.4,17.9,19.3,20.2,20.1,20.1,20.0,21.2,20.9,21.6,21.9,22.1,22.7,23.4,25.0,29.2,28.2,32.6
4399,r019,All positions -> All full-time faculty -> Full-time professors,All positions,All full-time faculty,Full-time professors,,,3,,,,,,,,,,,,,,,,,,,,,
4399,r020,All positions -> All full-time faculty -> Full-time professors -> All fields,All positions,All full-time faculty,Full-time professors,All fields,,4,42.6,51.0,64.4,69.9,72.8,79.1,83.1,82.5,80.0,77.7,80.9,83.1,84.8,87.7,85.3,90.5,93.6,95.3,98.9,94.7,109.1
4399,r021,All positions -> All full-time faculty -> Full-time professors -> All fields -> Physical sciences,All positions,All full-time faculty,Full-time professors,All fields,Physical sciences,5,9.0,10.8,13.1,13.9,14.6,15.5,15.5,14.8,14.2,13.9,13.8,14.2,14.0,14.3,13.3,14.0,15.0,14.6,15.0,13.9,16.6
4399,r022,All positions -> All full-time faculty -> Full-time professors -> All fields -> Mathematics and statistics,All positions,All full-time faculty,Full-time professors,All fields,Mathematics and statistics,5,3.2,3.9,5.0,5.6,6.1,6.5,6.9,6.7,7.1,6.6,6.9,6.6,6.6,7.2,6.9,7.3,7.3,7.3,7.9,7.5,8.0
4399,r023,All positions -> All full-time faculty -> Full-time professors -> All fields -> Computer and information sciences,All positions,All full-time faculty,Full-time professors,All fields,Computer and information sciences,5,NA,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.3,0.7,0.8,1.2,1.6,1.9,2.2,2.6,2.6,2.7,3.3
4399,r024,All positions -> All full-time faculty -> Full-time professors -> All fields -> Life sciences,All positions,All full-time faculty,Full-time professors,All fields,Life sciences,5,12.3,13.9,17.0,19.3,19.6,21.7,22.5,22.9,21.2,22.5,22.5,23.3,24.5,25.7,25.6,26.6,28.1,29.5,28.3,27.5,31.1
4399,r025,All positions -> All full-time faculty -> Full-time professors -> All fields -> Psychology,All positions,All full-time faculty,Full-time professors,All fields,Psychology,5,3.9,4.8,6.5,7.0,7.6,8.3,9.1,9.5,8.7,8.7,9.5,9.4,9.9,9.8,9.8,10.0,9.9,10.4,10.9,10.8,12.2
4399,r026,All positions -> All full-time faculty -> Full-time professors -> All fields -> Social sciences,All positions,All full-time faculty,Full-time professors,All fields,Social sciences,5,9.4,11.3,14.7,15.1,15.9,16.8,18.5,18.6,18.4,16.6,17.1,18.2,18.2,18.6,17.5,19.2,19.6,19.2,20.6,19.7,22.6
4399,r027,All positions -> All full-time faculty -> Full-time professors -> All fields -> Engineering,All positions,All full-time faculty,Full-time professors,All fields,Engineering,5,4.7,6.4,8.0,9.0,9.2,10.4,10.6,9.9,10.3,9.1,10.7,10.6,10.7,10.9,10.6,11.7,11.5,11.7,13.5,12.7,15.5
4399,r028,All positions -> All full-time faculty -> Full-time associate professors,All positions,All full-time faculty,Full-time associate professors,,,3,,,,,,,,,,,,,,,,,,,,,
4399,r029,All positions -> All full-time faculty -> Full-time associate professors -> All fields,All positions,All full-time faculty,Full-time associate professors,All fields,,4,31.4,39.7,42.9,45.7,46.9,48.2,47.9,50.5,48.6,49.6,51.0,53.6,52.2,54.3,54.1,57.0,59.1,62.7,69.3,67.7,72.9
4399,r030,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Physical sciences,All positions,All full-time faculty,Full-time associate professors,All fields,Physical sciences,5,6.2,7.2,6.6,6.3,6.3,6.1,5.8,6.3,6.4,6.1,6.5,6.6,6.7,6.9,6.9,7.0,7.4,7.6,8.3,8.6,8.9
4399,r031,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Mathematics and statistics,All positions,All full-time faculty,Full-time associate professors,All fields,Mathematics and statistics,5,2.8,3.7,4.0,4.1,4.0,4.1,4.0,5.1,4.4,4.0,3.9,4.1,3.6,4.0,3.8,4.3,4.2,4.4,5.1,5.1,5.3
4399,r032,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Computer and information sciences,All positions,All full-time faculty,Full-time associate professors,All fields,Computer and information sciences,5,NA,0.0,0.0,0.1,0.1,0.3,0.4,0.8,0.7,1.4,1.4,1.4,1.6,1.7,1.6,1.9,2.1,2.3,2.6,2.3,2.6
4399,r033,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Life sciences,All positions,All full-time faculty,Full-time associate professors,All fields,Life sciences,5,8.6,10.7,12.5,13.4,14.1,14.1,14.0,14.6,14.6,14.7,15.8,17.3,16.7,17.7,18.1,18.2,19.1,20.3,21.4,20.6,22.8
4399,r034,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Psychology,All positions,All full-time faculty,Full-time associate professors,All fields,Psychology,5,3.3,4.3,5.2,5.9,5.9,6.0,5.9,5.9,5.6,5.8,5.8,6.2,6.0,5.9,6.3,7.0,7.0,7.6,8.2,8.8,8.5
4399,r035,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Social sciences,All positions,All full-time faculty,Full-time associate professors,All fields,Social sciences,5,6.5,9.4,10.2,11.2,11.8,12.7,12.6,12.0,11.6,11.5,11.7,11.9,11.4,12.1,11.8,12.8,13.1,13.8,15.3,14.6,16.2
4399,r036,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Engineering,All positions,All full-time faculty,Full-time associate professors,All fields,Engineering,5,4.0,4.4,4.4,4.7,4.7,4.9,5.3,5.9,5.3,6.2,5.8,6.0,6.1,5.9,5.6,5.9,6.2,6.8,8.3,7.9,8.7
4399,r037,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup>,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,,,3,,,,,,,,,,,,,,,,,,,,,
4399,r038,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,,4,29.3,34.9,34.6,32.8,37.2,37.2,38.7,40.1,43.8,44.0,42.2,43.1,45.4,48.6,53.7,51.6,54.1,56.4,59.5,61.1,64.8
4399,r039,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Physical sciences,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Physical sciences,5,5.6,5.7,4.6,4.0,4.6,4.7,4.8,5.0,5.2,5.6,5.3,5.9,5.7,6.4,6.7,6.6,6.9,7.3,7.9,7.2,8.0
