table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_thousands,field_total_median_salary_,field_female_thousands,field_female_median_salary_,field_male_thousands,field_male_median_salary_
4409,r001,All occupations,All occupations,,,,1,13130,80000,4822,63000,8308,94000
4409,r002,S&E occupations,S&E occupations,,,,1,5211,96000,1357,82000,3854,100000
4409,r003,S&E occupations -> Computer and mathematical scientists,S&E occupations,Computer and mathematical scientists,,,2,2465,105000,557,94000,1908,108000
4409,r004,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,3,2251,105000,470,95000,1781,109000
4409,r005,"S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer and information scientists, research",S&E occupations,Computer and mathematical scientists,Computer and information scientists,"Computer and information scientists, research",4,67,125000,19,122000,48,125000
4409,r006,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer network architect,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer network architect,4,27,101000,s,s,24,112000
4409,r007,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer support specialists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer support specialists,4,144,61000,41,60000,103,70000
4409,r008,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer system analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer system analysts,4,232,90000,91,84000,141,90000
4409,r009,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Database administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Database administrators,4,88,104000,23,100000,65,104000
4409,r010,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Information security analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Information security analysts,4,79,100000,14,95000,65,120000
4409,r011,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Network and computer systems administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Network and computer systems administrators,4,121,84000,8,86000,113,80000
4409,r012,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Software developers&#8212;applications and systems software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Software developers&#8212;applications and systems software,4,512,109000,82,97000,431,110000
4409,r013,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Web developers,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Web developers,4,69,94000,11,89000,59,95000
4409,r014,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Other computer information science occupations,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Other computer information science occupations,4,175,105000,61,86000,115,112000
4409,r015,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer engineers&#8212;software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer engineers&#8212;software,4,737,119000,118,110000,619,120000
4409,r016,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,3,153,102000,58,89000,94,109000
4409,r017,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Mathematicians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Mathematicians,4,5,91000,2,56000,4,104000
4409,r018,"S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Operations research analysts, including modeling",S&E occupations,Computer and mathematical scientists,Mathematical scientists,"Operations research analysts, including modeling",4,87,105000,31,88000,56,110000
4409,r019,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Statisticians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Statisticians,4,51,103000,20,99000,31,108000
4409,r020,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Other mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Other mathematical scientists,4,9,96000,6,96000,3,s
4409,r021,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,,3,61,71000,28,62000,33,82000
4409,r022,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences -> Computer sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,Computer sciences,4,18,83000,7,75000,11,89000
4409,r023,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences -> Mathematics and statistics,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,Mathematics and statistics,4,44,67000,22,60000,22,75000
4409,r024,"S&E occupations -> Biological, agricultural, and environmental life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",,,2,510,64000,234,65000,277,64000
4409,r025,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Agricultural and food scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Agricultural and food scientists,,3,50,57000,18,60000,32,55000
4409,r026,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,,3,367,62000,177,63000,189,60000
4409,r027,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biochemists and biophysicists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Biochemists and biophysicists,4,80,55000,34,64000,45,50000
4409,r028,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biological scientists (e.g., botanists, ecologists, zoologists)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,"Biological scientists (e.g., botanists, ecologists, zoologists)",4,114,62000,51,62000,63,63000
4409,r029,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Medical scientists (excluding practitioners)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Medical scientists (excluding practitioners),4,97,69000,51,62000,46,84000
4409,r030,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Other biological and life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Other biological and life scientists,4,76,64000,41,69000,34,53000
4409,r031,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Forestry and conservation scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Forestry and conservation scientists,,3,28,57000,5,59000,23,56000
4409,r032,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,,3,66,81000,34,70000,32,94000
4409,r033,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences -> Agriculture",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,Agriculture,4,4,87000,s,s,3,87000
4409,r034,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences -> Biological sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,Biological sciences,4,59,78000,32,70000,26,95000
4409,r035,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences -> Other natural sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,Other natural sciences,4,2,99000,s,s,2,100000
4409,r036,S&E occupations -> Physical and related scientists,S&E occupations,Physical and related scientists,,,2,330,72000,110,59000,220,80000
4409,r037,"S&E occupations -> Physical and related scientists -> Chemists, except biochemists",S&E occupations,Physical and related scientists,"Chemists, except biochemists",,3,113,65000,43,59000,70,68000
4409,r038,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",,3,71,79000,22,56000,49,90000
4409,r039,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Atmospheric and space scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Atmospheric and space scientists,4,18,97000,6,61000,12,99000
4409,r040,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Geologists, including earth scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers","Geologists, including earth scientists",4,53,75000,16,56000,36,79000
4409,r041,S&E occupations -> Physical and related scientists -> Physicists and astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,,3,39,70000,7,42000,32,78000
4409,r042,S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,Astronomers,4,54,60000,23,58000,31,69000
4409,r043,"S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Physicists, except biophysicists",S&E occupations,Physical and related scientists,Physicists and astronomers,"Physicists, except biophysicists",4,39,70000,7,42000,32,78000
4409,r044,S&E occupations -> Physical and related scientists -> Other physical and related scientists,S&E occupations,Physical and related scientists,Other physical and related scientists,,3,54,60000,23,58000,31,69000
4409,r045,S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences,S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,,3,53,80000,14,68000,39,93000
4409,r046,S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences -> Chemistry,S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,Chemistry,4,19,71000,6,67000,14,73000
4409,r047,"S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences -> Earth, environmental, and marine sciences",S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,"Earth, environmental, and marine sciences",4,18,79000,7,66000,11,95000
4409,r048,S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences -> Physics,S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,Physics,4,16,95000,2,59000,14,97000
4409,r049,S&E occupations -> Social and related scientists,S&E occupations,Social and related scientists,,,2,356,75000,223,70000,133,84000
4409,r050,S&E occupations -> Social and related scientists -> Economists,S&E occupations,Social and related scientists,Economists,,3,41,84000,8,84000,33,84000
4409,r051,S&E occupations -> Social and related scientists -> Political scientists,S&E occupations,Social and related scientists,Political scientists,,3,9,82000,4,s,5,83000
4409,r052,"S&E occupations -> Social and related scientists -> Psychologists, including clinical",S&E occupations,Social and related scientists,"Psychologists, including clinical",,3,128,74000,103,68000,25,98000
4409,r053,S&E occupations -> Social and related scientists -> Anthropologists,S&E occupations,Social and related scientists,Anthropologists,,3,11,64000,7,s,5,57000
4409,r054,S&E occupations -> Social and related scientists -> Sociologists,S&E occupations,Social and related scientists,Sociologists,,3,66,69000,45,60000,21,75000
4409,r055,S&E occupations -> Social and related scientists -> Other social and related scientists,S&E occupations,Social and related scientists,Other social and related scientists,,3,66,69000,45,60000,21,75000
4409,r056,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,,3,101,80000,56,74000,45,85000
4409,r057,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Economics,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Economics,4,13,88000,3,85000,10,90000
4409,r058,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Political science,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Political science,4,15,83000,8,81000,7,92000
4409,r059,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Psychology,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Psychology,4,30,74000,18,63000,12,92000
4409,r060,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Sociology,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Sociology,4,14,80000,9,94000,5,78000
4409,r061,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Other social sciences,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Other social sciences,4,30,74000,18,65000,12,84000
4409,r062,S&E occupations -> Engineers,S&E occupations,Engineers,,,2,1550,100000,234,90000,1316,100000
4409,r063,"S&E occupations -> Engineers -> Aerospace, aeronautical, or astronautical engineers",S&E occupations,Engineers,"Aerospace, aeronautical, or astronautical engineers",,3,109,112000,18,105000,90,115000
4409,r064,S&E occupations -> Engineers -> Chemical engineers,S&E occupations,Engineers,Chemical engineers,,3,67,110000,12,108000,55,110000
4409,r065,"S&E occupations -> Engineers -> Civil, architectural, or sanitary engineers",S&E occupations,Engineers,"Civil, architectural, or sanitary engineers",,3,256,88000,45,77000,212,90000
4409,r066,S&E occupations -> Engineers -> Electrical or computer hardware engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,,3,355,112000,35,100000,321,115000
4409,r067,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Computer engineer&#8212;hardware,S&E occupations,Engineers,Electrical or computer hardware engineers,Computer engineer&#8212;hardware,4,74,121000,4,104000,70,124000
4409,r068,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Electrical and electronics engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,Electrical and electronics engineers,4,281,110000,30,100000,251,111000
4409,r069,S&E occupations -> Engineers -> Industrial engineers,S&E occupations,Engineers,Industrial engineers,,3,56,82000,14,77000,42,86000
4409,r070,S&E occupations -> Engineers -> Mechanical engineers,S&E occupations,Engineers,Mechanical engineers,,3,307,93000,24,89000,284,93000
4409,r071,S&E occupations -> Engineers -> Other engineers,S&E occupations,Engineers,Other engineers,,3,360,98000,78,90000,282,100000
4409,r072,S&E occupations -> Engineers -> Other engineers -> Bioengineers or biomedical engineers,S&E occupations,Engineers,Other engineers,Bioengineers or biomedical engineers,4,37,80000,16,82000,22,76000
4409,r073,S&E occupations -> Engineers -> Other engineers -> Environmental engineers,S&E occupations,Engineers,Other engineers,Environmental engineers,4,45,85000,18,72000,28,89000
4409,r074,S&E occupations -> Engineers -> Other engineers -> Marine engineers and naval architects,S&E occupations,Engineers,Other engineers,Marine engineers and naval architects,4,6,99000,1.0,s,6,99000
4409,r075,S&E occupations -> Engineers -> Other engineers -> Materials and metallurgical engineers,S&E occupations,Engineers,Other engineers,Materials and metallurgical engineers,4,37,100000,9,100000,27,100000
4409,r076,S&E occupations -> Engineers -> Other engineers -> Nuclear engineers,S&E occupations,Engineers,Other engineers,Nuclear engineers,4,10,95000,1,s,9,95000
4409,r077,S&E occupations -> Engineers -> Other engineers -> Petroleum engineers,S&E occupations,Engineers,Other engineers,Petroleum engineers,4,19,155000,5,179000,14,152000
4409,r078,S&E occupations -> Engineers -> Other engineers -> Sales engineers,S&E occupations,Engineers,Other engineers,Sales engineers,4,66,110000,4,91000,62,110000
