table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_in_house_or_external_r_d_number_yes,field_in_house_or_external_r_d_number_no,field_in_house_or_external_r_d_percent_yes,field_in_house_or_external_r_d_percent_no
4447,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81",821671,272342,549329,33.1,66.9
4447,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,62446,40568,21878,65.0,35.0
4447,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,5891,3303,2588,56.1,43.9
4447,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,3228,2046,1182,63.4,36.6
4447,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,2800,1477,1323,52.8,47.2
4447,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,2016,908,1108,45.1,54.9
4447,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,618,369,249,59.7,40.3
4447,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,4932,1933,2999,39.2,60.8
4447,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,167,137,29,82.5,17.5
4447,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,3290,2756,533,83.8,16.2
4447,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical ",,4,3253,196,116,80,59.2,40.8
4447,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,591,533,57,90.3,9.7
4447,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,744,589,155,79.1,20.9
