table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_level_6,_b_characteristic_b_hierarchy_depth,field_all_other_fieldsa,field_business_management_and_administration,field_communication,field_non_s_e_fields_nec
4636,r001,All doctorate recipients (number)<sup>b</sup>,All doctorate recipients (number)<sup>b</sup>,,,,,,1,3006,1466,593,947
4636,r002,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,,,,,2,,,,
4636,r003,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite postgraduation study,,,,3,214,61,57,96
4636,r004,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment,,,,3,1793,988,324,481
4636,r005,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Seeking employment or study,,,,3,531,183,132,216
4636,r006,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Other<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Other<sup>d</sup>,,,,3,63,27,12,24
4636,r007,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite postgraduation study (%)<sup>e</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite postgraduation study (%)<sup>e</sup>,,,,3,,,,
4636,r008,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite postgraduation study (%)<sup>e</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite postgraduation study (%)<sup>e</sup>,Postdoc fellowship or research associateship,,,4,95.3,95.1,96.5,94.8
4636,r009,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite postgraduation study (%)<sup>e</sup> -> Other or unknown<sup>f</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite postgraduation study (%)<sup>e</sup>,Other or unknown<sup>f</sup>,,,4,4.7,4.9,3.5,5.2
4636,r010,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,,,,3,,,,
4636,r011,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Academe,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Academe,,,4,73.2,78.9,80.9,56.3
4636,r012,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Government,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Government,,,4,6.6,3.2,2.8,16.0
4636,r013,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Industry or business<sup>h</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Industry or business<sup>h</sup>,,,4,13.7,13.4,11.4,15.8
4636,r014,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Nonprofit organization,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Nonprofit organization,,,4,3.8,1.8,3.1,8.5
4636,r015,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Other or unknown<sup>i</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Other or unknown<sup>i</sup>,,,4,2.7,2.6,1.9,3.3
4636,r016,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Primary activity<sup>j</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Primary activity<sup>j</sup>,,,4,,,,
4636,r017,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Primary activity<sup>j</sup> -> R&D,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Primary activity<sup>j</sup>,R&D,,5,41.0,51.3,26.4,29.5
4636,r018,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Primary activity<sup>j</sup> -> Teaching,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Primary activity<sup>j</sup>,Teaching,,5,38.9,33.9,61.6,33.7
4636,r019,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Primary activity<sup>j</sup> -> Management or administration,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Primary activity<sup>j</sup>,Management or administration,,5,10.9,9.5,5.9,17.2
4636,r020,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Primary activity<sup>j</sup> -> Professional services,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Primary activity<sup>j</sup>,Professional services,,5,8.8,4.9,5.5,19.2
4636,r021,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Primary activity<sup>j</sup> -> Other,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Primary activity<sup>j</sup>,Other,,5,0.5,0.4,0.7,0.4
4636,r022,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Secondary activity<sup>k</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Secondary activity<sup>k</sup>,,,4,,,,
4636,r023,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Secondary activity<sup>k</sup> -> R&D,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Secondary activity<sup>k</sup>,R&D,,5,34.3,31.0,47.6,32.1
4636,r024,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Secondary activity<sup>k</sup> -> Teaching,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Secondary activity<sup>k</sup>,Teaching,,5,36.8,47.7,17.6,27.2
4636,r025,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Secondary activity<sup>k</sup> -> Management or administration,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Secondary activity<sup>k</sup>,Management or administration,,5,4.8,3.2,4.9,8.0
4636,r026,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Secondary activity<sup>k</sup> -> Professional services,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Secondary activity<sup>k</sup>,Professional services,,5,4.8,3.1,6.2,7.4
4636,r027,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Secondary activity<sup>k</sup> -> Other,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Secondary activity<sup>k</sup>,Other,,5,0.2,0.2,0.0,0.2
4636,r028,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup> -> Secondary activity<sup>k</sup> -> No secondary activity,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,Secondary activity<sup>k</sup>,No secondary activity,,5,19.2,14.9,23.8,25.0
