table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_hierarchy_depth,field_all_u_s_citizen_and_permanent_resident_doctorate_recipients_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
4661,r001,All fields,All fields,,,1,34492,100.0,8.3,0.3,9.3,7.1,69.4,3.3,1.0,1.3
4661,r002,All fields -> Life sciences,All fields,Life sciences,,2,8707,100.0,8.2,0.3,11.0,6.4,68.8,3.6,0.8,1.0
4661,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,3,796,100.0,7.5,0.6,5.5,5.2,75.6,3.0,0.8,1.8
4661,r004,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,6008,100.0,8.7,0.1,12.5,4.4,69.0,3.9,0.7,0.7
4661,r005,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,1903,100.0,6.8,0.4,8.8,13.2,65.3,2.6,1.2,1.6
4661,r006,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3741,100.0,6.6,0.1,8.4,2.1,77.3,3.7,0.9,0.9
4661,r007,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,3,1696,100.0,7.0,0.1,9.3,2.7,74.6,4.2,1.0,1.2
4661,r008,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,811,100.0,7.3,0.1,5.5,1.6,79.7,4.4,0.7,0.6
4661,r009,All fields -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,3,1234,100.0,5.5,0.2,9.0,1.7,79.5,2.6,0.7,0.8
4661,r010,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1736,100.0,5.8,0.1,15.2,3.2,68.9,4.4,1.3,1.1
4661,r011,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,3,808,100.0,5.4,0.1,18.1,3.2,66.2,4.1,1.6,1.2
4661,r012,All fields -> Mathematics and computer sciences -> Mathematics and statistics ,All fields,Mathematics and computer sciences,Mathematics and statistics ,3,928,100.0,6.0,0.0,12.7,3.2,71.2,4.7,1.1,1.0
4661,r013,All fields -> Psychology and social sciences ,All fields,Psychology and social sciences ,,2,6605,100.0,9.9,0.3,6.7,8.1,68.9,3.6,1.0,1.4
4661,r014,All fields -> Psychology and social sciences  -> Psychology,All fields,Psychology and social sciences ,Psychology,3,3317,100.0,10.7,0.1,5.8,7.9,69.3,3.7,0.9,1.6
4661,r015,All fields -> Psychology and social sciences  -> Anthropology,All fields,Psychology and social sciences ,Anthropology,3,366,100.0,10.4,0.5,7.7,3.0,71.3,5.5,0.3,1.4
4661,r016,All fields -> Psychology and social sciences  -> Economics,All fields,Psychology and social sciences ,Economics,3,459,100.0,7.0,0.2,13.1,4.8,69.3,4.1,0.4,1.1
4661,r017,All fields -> Psychology and social sciences  -> Political science and government,All fields,Psychology and social sciences ,Political science and government,3,460,100.0,6.7,0.2,7.4,4.3,75.7,2.4,2.0,1.3
4661,r018,All fields -> Psychology and social sciences  -> Sociology,All fields,Psychology and social sciences ,Sociology,3,488,100.0,10.2,0.6,6.8,10.2,67.2,2.9,1.0,1.0
4661,r019,All fields -> Psychology and social sciences  -> Other social sciences,All fields,Psychology and social sciences ,Other social sciences,3,1515,100.0,10.0,0.8,6.3,11.3,65.8,3.3,1.4,1.2
4661,r020,All fields -> Engineering,All fields,Engineering,,2,4154,100.0,6.9,0.1,16.0,4.3,67.5,3.1,1.1,1.0
4661,r021,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,221,100.0,7.7,0.0,11.3,3.2,73.8,2.3,0.5,1.4
4661,r022,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,689,100.0,7.4,0.1,21.0,4.2,62.1,4.4,0.4,0.3
4661,r023,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,465,100.0,7.5,0.0,18.9,3.2,66.2,2.6,1.3,0.2
4661,r024,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,245,100.0,6.9,0.8,11.4,5.7,69.4,1.6,2.0,2.0
4661,r025,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,552,100.0,8.3,0.2,20.1,3.8,63.2,2.2,1.4,0.7
4661,r026,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,82,100.0,11.0,0.0,14.6,13.4,52.4,1.2,2.4,4.9
4661,r027,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,3,398,100.0,7.0,0.0,17.3,3.3,67.1,3.5,1.0,0.8
4661,r028,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,601,100.0,5.3,0.2,13.1,2.2,72.7,4.2,1.0,1.3
4661,r029,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,901,100.0,5.8,0.0,12.0,6.0,70.9,2.8,1.2,1.3
4661,r030,All fields -> Education,All fields,Education,,2,3896,100.0,9.5,0.4,5.2,16.1,63.5,2.5,1.1,1.6
