table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields_master_s,field_all_fields_related_master_s,field_life_sciencesa_master_s,field_life_sciencesa_related_master_s,field_physical_sciences_and_earth_sciences_master_s,field_physical_sciences_and_earth_sciences_related_master_s,field_mathematics_and_computer_sciences_master_s,field_mathematics_and_computer_sciences_related_master_s,field_psychology_and_social_sciences_master_s,field_psychology_and_social_sciences_related_master_s,field_engineering_master_s,field_engineering_related_master_s,field_education_master_s,field_education_related_master_s,field_humanities_and_arts_master_s,field_humanities_and_arts_related_master_s,field_otherb_master_s,field_otherb_related_master_s
4666,r001,All doctorate recipients,All doctorate recipients,,,,1,70.5,55.8,52.6,36.3,53.3,44.9,72.3,59.5,83.0,66.0,73.0,66.6,89.0,60.6,83.5,67.4,81.4,59.6
4666,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,,,,,,,,,,
4666,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,69.0,56.3,50.0,34.0,54.5,45.9,71.2,58.5,82.2,65.7,73.4,67.9,88.0,56.8,82.8,69.1,79.5,57.2
4666,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,72.1,55.2,54.6,38.2,51.0,42.9,75.8,62.5,83.5,66.2,71.7,62.7,89.4,62.3,84.2,65.6,83.1,61.9
4666,r005,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
4666,r006,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,3,71.0,55.9,47.9,33.8,49.1,42.7,74.7,62.8,87.5,70.3,69.5,63.8,92.2,63.2,87.9,71.8,86.2,62.9
4666,r007,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,3,77.0,61.7,69.9,46.5,64.0,51.6,74.8,60.6,87.8,67.4,79.2,72.1,88.8,58.7,89.4,68.2,86.2,64.1
4666,r008,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
4666,r009,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,72.6,57.1,50.3,37.5,49.2,41.1,75.0,63.0,85.2,68.8,69.0,62.4,93.5,61.5,84.7,70.5,89.1,71.9
4666,r010,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
4666,r011,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,75.3,46.4,59.1,45.5,,,,0.0,86.4,,,,81.3,43.8,75.0,43.8,72.7,
4666,r012,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,68.8,53.7,48.6,31.5,58.5,49.8,72.0,57.6,87.4,68.4,71.6,66.0,92.6,62.7,89.9,67.1,83.3,66.7
4666,r013,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,82.7,56.1,67.7,44.8,54.4,46.8,87.5,60.7,90.9,58.4,74.0,65.5,89.8,59.9,88.5,64.4,90.4,56.8
4666,r014,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,70.9,57.1,46.0,33.1,48.3,42.6,75.3,64.6,88.7,73.4,69.7,64.2,93.9,66.0,90.0,74.6,87.6,64.2
4666,r015,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,70.4,54.6,48.6,31.5,47.1,40.0,72.7,68.8,89.8,73.3,66.4,63.3,99.0,55.6,90.7,70.1,92.1,76.3
4666,r016,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,60.6,42.2,47.9,32.9,,,,39.1,71.0,,,,85.4,56.1,60.8,45.1,61.1,
4666,r017,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,26.7,18.6,14.1,10.6,25.7,20.0,47.4,36.8,30.4,20.7,31.0,26.2,33.3,17.5,23.1,16.9,26.5,17.6
