table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_level_4,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields_number_,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences_,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
4674,r001,Male doctorate recipients,Male doctorate recipients,,,,1,,,,,,,,,,
4674,r002,Male doctorate recipients -> Unduplicated total<sup>c</sup>,Male doctorate recipients,Unduplicated total<sup>c</sup>,,,2,26513,100.0,18.9,14.2,11.1,11.8,26.7,4.7,8.2,4.4
4674,r003,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,3,16939,100.0,20.2,13.6,9.9,13.6,24.3,3.4,10.7,4.4
4674,r004,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Dissertation grant,Male doctorate recipients,Unduplicated total<sup>c</sup>,Dissertation grant,,3,3856,100.0,17.4,8.0,4.9,24.8,13.6,4.4,21.7,5.2
4674,r005,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,,3,,,,,,,,,,
4674,r006,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Teaching,4,18673,100.0,14.3,17.5,13.1,13.5,24.9,2.6,9.8,4.3
4674,r007,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Research,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Research,4,18753,100.0,17.4,17.9,11.8,10.3,32.3,2.4,4.1,3.9
4674,r008,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Other,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Other,4,1958,100.0,14.6,7.7,6.8,20.4,18.1,11.0,15.7,5.7
4674,r009,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Traineeship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Traineeship,,3,888,100.0,54.2,9.6,3.9,12.6,15.3,1.0,1.8,1.6
4674,r010,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Internship or clinical residency,Male doctorate recipients,Unduplicated total<sup>c</sup>,Internship or clinical residency,,3,2971,100.0,6.4,7.4,26.1,13.6,40.5,1.9,2.0,2.1
4674,r011,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Loan (any source),Male doctorate recipients,Unduplicated total<sup>c</sup>,Loan (any source),,3,5260,100.0,18.0,7.6,5.5,20.5,13.7,12.3,15.8,6.6
4674,r012,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,,3,,,,,,,,,,
4674,r013,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Savings,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Savings,4,13108,100.0,18.7,10.8,10.0,14.9,23.4,6.4,10.1,5.7
4674,r014,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Other earnings during graduate school,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Other earnings during graduate school,4,7150,100.0,17.7,8.2,8.0,18.0,15.3,10.2,17.2,5.4
4674,r015,"Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Spouse's, partner's, or family's earnings or savings",Male doctorate recipients,Unduplicated total<sup>c</sup>,"Spouse's, partner's, or family's earnings or savings",,3,9605,100.0,18.6,11.0,9.8,15.1,23.7,5.2,11.5,5.2
4674,r016,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Employer reimbursement or assistance,Male doctorate recipients,Unduplicated total<sup>c</sup>,Employer reimbursement or assistance,,3,2908,100.0,18.5,10.8,10.7,10.9,22.4,12.9,8.1,5.8
4674,r017,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Foreign (non-U.S.) support,Male doctorate recipients,Unduplicated total<sup>c</sup>,Foreign (non-U.S.) support,,3,2195,100.0,19.1,8.7,12.1,10.8,32.7,4.1,7.2,5.3
4674,r018,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Other ,Male doctorate recipients,Unduplicated total<sup>c</sup>,Other ,,3,302,100.0,23.5,6.6,6.3,18.2,17.9,8.3,11.3,7.9
4674,r019,Female doctorate recipients,Female doctorate recipients,,,,1,,,,,,,,,,
4674,r020,Female doctorate recipients -> Unduplicated total<sup>c</sup>,Female doctorate recipients,Unduplicated total<sup>c</sup>,,,2,22509,100.0,28.3,8.4,4.5,20.5,10.3,12.8,9.3,5.9
4674,r021,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Female doctorate recipients,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,3,15403,100.0,29.8,8.5,4.1,20.8,9.9,9.5,11.8,5.5
4674,r022,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Dissertation grant,Female doctorate recipients,Unduplicated total<sup>c</sup>,Dissertation grant,,3,5017,100.0,23.0,4.4,1.9,31.1,4.1,9.6,19.4,6.5
4674,r023,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,,3,,,,,,,,,,
4674,r024,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Teaching,4,14937,100.0,23.1,11.1,5.7,23.4,10.4,7.9,12.4,6.0
4674,r025,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Research,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Research,4,14169,100.0,28.9,11.7,5.2,20.4,14.0,8.3,6.1,5.5
4674,r026,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Other,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Other,4,2355,100.0,14.3,4.0,2.4,31.8,4.9,20.6,15.3,6.5
4674,r027,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Traineeship,Female doctorate recipients,Unduplicated total<sup>c</sup>,Traineeship,,3,1146,100.0,62.2,4.6,1.0,18.2,7.4,2.4,2.4,1.7
4674,r028,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Internship or clinical residency,Female doctorate recipients,Unduplicated total<sup>c</sup>,Internship or clinical residency,,3,2409,100.0,12.2,5.1,11.3,43.2,15.2,6.5,4.0,2.5
4674,r029,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Loan (any source),Female doctorate recipients,Unduplicated total<sup>c</sup>,Loan (any source),,3,6540,100.0,22.3,3.0,1.4,29.4,3.2,21.1,12.1,7.6
