table_id,row_id,country,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
4905,r001,China,37.38,37.39,35.23,37.21,36.89,37.77,40.06,42.63,45.29,45.96,46.06,43.72,38.55
4905,r002,United Kingdom,30.45,30.17,30.51,30.82,31.08,30.3,29.29,29.35,29.38,29.42,29.45,28.61,27.57
4905,r003,India,43.86,43.74,41.52,38.12,38.61,36.92,35.98,34.21,34.54,33.56,32.47,30.73,26.72
4905,r004,Germany,31.33,30.95,30.13,30.95,29.9,29.41,28.13,28.63,28.87,28.83,28.64,28.73,28.06
4905,r005,Japan,47.87,45.88,42.47,41.63,39.37,38.09,36.5,34.22,33.92,32.82,33.01,32.24,30.7
4905,r006,Italy,32.23,32.39,31.56,32.7,32.6,32.37,30.88,31.28,30.81,29.16,28.55,27.59,27.09
4905,r007,France,27.1,25.95,26.35,25.73,25.83,25.02,23.86,24.53,25.0,25.34,25.36,25.39,25.15
4905,r008,Canada,51.9,51.37,51.47,51.7,50.14,49.14,47.3,46.4,45.31,44.75,43.74,42.96,41.8
4905,r009,Russia,24.83,25.0,25.44,25.86,26.68,27.1,25.59,25.52,26.21,25.78,25.25,23.11,20.66
4905,r010,Australia,34.15,34.9,33.98,35.58,33.65,32.25,30.86,30.01,29.49,28.77,28.69,27.57,26.2
4905,r011,Spain,27.38,26.27,28.09,27.14,27.16,25.81,24.94,25.75,26.21,24.91,25.06,24.35,23.9
4905,r012,South Korea,67.16,62.96,59.56,56.23,54.52,53.81,51.47,52.13,51.95,49.97,48.17,43.91,39.46
4905,r013,Brazil,40.29,36.29,38.54,36.84,38.66,37.43,36.94,36.12,37.53,35.0,36.07,35.33,34.53
4905,r014,Iran,27.3,29.4,20.04,26.68,22.79,21.44,22.53,21.75,22.77,22.46,25.07,24.56,21.3
