table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
5201,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,692719374,297266219,344489185,8539006,14464456,24437440,3523068
5201,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,13704571,2080826,11217850,143552,75472,770,186101
5201,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,10745451,3001085,5608966,2135400,0,0,0
5201,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,1562435,948582,596621,0,14232,0,3000
5201,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,189018,55137,133881,0,0,0,0
5201,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,81087677,5573168,74760962,728547,0,0,25000
5201,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,12047699,3720497,8256689,69999,0,514,0
5201,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,25868030,10960026,14908004,0,0,0,0
5201,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,2312965,515084,1777081,0,20800,0,0
5201,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,2510818,1151218,1328100,0,31500,0,0
5201,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,52430371,14172701,32435980,2837,214843,5192342,411668
5201,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,2648196,2549282,98914,0,0,0,0
5201,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,6531042,5876055,654987,0,0,0,0
5201,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,7967885,6773965,1123739,0,0,70181,0
5201,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,626262,0,626262,0,0,0,0
5201,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,92268,69814,17454,5000,0,0,0
5201,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,3430444,1447181,1951954,31309,0,0,0
5201,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,999734,753195,246539,0,0,0,0
5201,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,1752643,1073088,679555,0,0,0,0
5201,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,11101353,8193096,2908257,0,0,0,0
5201,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,4038999,2853740,1166343,0,0,18916,0
5201,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,659436,180086,344167,0,55183,80000,0
5201,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,9681990,6242507,3439483,0,0,0,0
5201,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,527096,0,527096,0,0,0,0
5201,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,2583398,947024,1636374,0,0,0,0
5201,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,1236050,765127,409288,61635,0,0,0
5201,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,8112983,3249228,4863755,0,0,0,0
5201,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,6104413,2567184,556128,0,2981101,0,0
5201,r029,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,2342783,1614866,727917,0,0,0,0
5201,r030,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,2,188146,128146,60000,0,0,0,0
5201,r031,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,2,49309,39447,9862,0,0,0,0
5201,r032,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,2,2624342,437738,2186604,0,0,0,0
5201,r033,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,2,2594660,1864128,627532,0,103000,0,0
5201,r034,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,2,278751443,143087081,101573996,1668591,10928665,18691286,2801824
5201,r035,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,2,17813294,1369902,16443392,0,0,0,0
5201,r036,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,2,346342,156288,190054,0,0,0,0
5201,r037,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,2,2005523,1305632,699891,0,0,0,0
5201,r038,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,2,2015986,1373253,622733,20000,0,0,0
5201,r039,United States<sup>a</sup> -> Oregon,United States<sup>a</sup>,Oregon,2,15852036,9822576,5531176,498284,0,0,0
5201,r040,United States<sup>a</sup> -> Pennsylvania,United States<sup>a</sup>,Pennsylvania,2,7874722,4771022,2939149,163303,1248,0,0
5201,r041,United States<sup>a</sup> -> Rhode Island,United States<sup>a</sup>,Rhode Island,2,3098833,1620109,1478724,0,0,0,0
5201,r042,United States<sup>a</sup> -> South Carolina,United States<sup>a</sup>,South Carolina,2,27894342,19807012,7975155,0,16700,0,95475
5201,r043,United States<sup>a</sup> -> South Dakota,United States<sup>a</sup>,South Dakota,2,327346,176221,151125,0,0,0,0
5201,r044,United States<sup>a</sup> -> Tennessee,United States<sup>a</sup>,Tennessee,2,1607509,960341,636455,0,10713,0,0
5201,r045,United States<sup>a</sup> -> Texas,United States<sup>a</sup>,Texas,2,3165023,1622752,1542271,0,0,0,0
5201,r046,United States<sup>a</sup> -> Utah,United States<sup>a</sup>,Utah,2,6070743,213721,5857022,0,0,0,0
5201,r047,United States<sup>a</sup> -> Vermont,United States<sup>a</sup>,Vermont,2,633399,587080,46319,0,0,0,0
5201,r048,United States<sup>a</sup> -> Virginia,United States<sup>a</sup>,Virginia,2,12627565,4840559,7727006,0,0,60000,0
5201,r049,United States<sup>a</sup> -> Washington,United States<sup>a</sup>,Washington,2,23415061,8746207,11579724,3004700,10999,73431,0
5201,r050,United States<sup>a</sup> -> West Virginia,United States<sup>a</sup>,West Virginia,2,3317637,1617169,1695869,4599,0,0,0
5201,r051,United States<sup>a</sup> -> Wisconsin,United States<sup>a</sup>,Wisconsin,2,4674607,3629052,1045555,0,0,0,0
5201,r052,United States<sup>a</sup> -> Wyoming,United States<sup>a</sup>,Wyoming,2,2875496,1757021,867225,1250,0,250000,0
