table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_2009a,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5206,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,NA,227404238,265645943,238545588,192380008,157200057,383145992,368028147,307574426,397036953,323076738,390826851
5206,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,NA,988806,1279672,788212,509974,386692,688913,134432,206926,282748,255807,117181
5206,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,NA,1359100,1301000,1438817,1799951,35860,53202,1020450,1002160,2120127,1102206,500000
5206,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,NA,267174,1702776,6243529,7630643,1547000,658000,216988,0,0,0,0
5206,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,NA,1736657,3156213,2913191,3620296,4800000,5243216,1548704,1444227,2304745,852718,502762
5206,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,NA,105072000,95975000,75756774,55577129,52593000,263254000,251116066,184568270,243987483,202262559,256532543
5206,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,NA,1464536,409252,313762,254860,1934715,2241216,1839587,2304024,1099099,3184039,3347250
5206,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,NA,358778,553640,571414,588724,1714724,1944337,240000,0,0,0,4083058
5206,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,NA,0,0,0,0,0,10000,0,0,13683,24256,20800
5206,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,NA,0,0,0,0,0,75000,0,0,29500,0,520000
5206,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,NA,3571447,4158768,8476266,990320,355629,1117124,2371453,716664,585190,557060,784693
5206,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,NA,1000000,1200000,800000,0,3096465,3148268,5976273,6235488,9382400,6335903,5825649
5206,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,NA,5825028,6020023,4024303,5674072,4300000,1500000,7500000,4108496,6004495,2510732,6466637
5206,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,NA,0,0,0,0,401783,274051,178178,260435,237898,0,0
5206,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,NA,190000,0,21110,225000,5885366,4333344,390473,66300,0,0,0
5206,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,NA,0,0,0,383432,657307,354693,125478,0,2298615,268086,95000
