table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5209,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,242284805,247322194,265500923,252070334,265514142,254719885,246570344,264596307,265470160,258418727,260024511,279442920
5209,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,3485318,4730116,4407856,3348079,2654296,7237806,9255656,7658433,6921982,2014658,3601526,3601526
5209,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,1277167,1394600,2567000,227182,475913,2776684,2000660,504000,1280000,1080000,2687327,5340365
5209,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,2624700,2175550,1756700,1817300,1737800,1261685,1258900,851449,919757,2500355,1356182,1473269
5209,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,881000,1064332,927990,2057208,1915324,1269000,1486000,639945,1266550,1013231,855437,690108
5209,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,40057000,38136000,37445000,36897000,35038000,35560150,35201005,38340899,35515719,36225667,34906443,41248806
5209,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,1424481,1930506,2270155,1623980,2338837,2099101,1881210,1476466,1128528,1750822,3288163,3268633
5209,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,3777288,4028757,4011628,4018000,4100000,3936126,5409867,2370317,3516438,3150000,3283420,2734495
5209,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,250000,250000,250000,2404027,1974596,255213,141621,845618,1293881,1156679,1100760,1336168
5209,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,0,192931,264380,1361999,987742,754327,828377,1532145,919305,723440,422412,239295
5209,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,9830053,9804294,15645022,11836984,10300582,15054989,11121055,12932838,14112753,16470858,15367289,13322175
5209,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,4162887,7723795,10290663,9012569,8698341,6095576,3842272,5089460,5586082,8738202,8034229,8599878
