table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_state_r_d_expendituresa,field_state_r_d_plant_expendituresb
5218,r001,United States<sup>c</sup>,United States<sup>c</sup>,,1,2444981212,9786932
5218,r002,United States<sup>c</sup> -> Alabama,United States<sup>c</sup>,Alabama,2,25695555,0
5218,r003,United States<sup>c</sup> -> Alaska,United States<sup>c</sup>,Alaska,2,15193507,0
5218,r004,United States<sup>c</sup> -> Arizona,United States<sup>c</sup>,Arizona,2,16010502,0
5218,r005,United States<sup>c</sup> -> Arkansas,United States<sup>c</sup>,Arkansas,2,19921168,0
5218,r006,United States<sup>c</sup> -> California,United States<sup>c</sup>,California,2,533900597,0
5218,r007,United States<sup>c</sup> -> Colorado,United States<sup>c</sup>,Colorado,2,34365638,0
5218,r008,United States<sup>c</sup> -> Connecticut,United States<sup>c</sup>,Connecticut,2,58810853,0
5218,r009,United States<sup>c</sup> -> Delaware,United States<sup>c</sup>,Delaware,2,3598156,0
5218,r010,United States<sup>c</sup> -> District of Columbia,United States<sup>c</sup>,District of Columbia,2,5860668,0
5218,r011,United States<sup>c</sup> -> Florida,United States<sup>c</sup>,Florida,2,184600202,5209705
5218,r012,United States<sup>c</sup> -> Georgia,United States<sup>c</sup>,Georgia,2,15877238,0
5218,r013,United States<sup>c</sup> -> Hawaii,United States<sup>c</sup>,Hawaii,2,11122545,0
5218,r014,United States<sup>c</sup> -> Idaho,United States<sup>c</sup>,Idaho,2,21882976,5000
5218,r015,United States<sup>c</sup> -> Illinois,United States<sup>c</sup>,Illinois,2,16055917,0
5218,r016,United States<sup>c</sup> -> Indiana,United States<sup>c</sup>,Indiana,2,9591408,0
5218,r017,United States<sup>c</sup> -> Iowa,United States<sup>c</sup>,Iowa,2,12348062,0
5218,r018,United States<sup>c</sup> -> Kansas,United States<sup>c</sup>,Kansas,2,13152904,0
5218,r019,United States<sup>c</sup> -> Kentucky,United States<sup>c</sup>,Kentucky,2,26782125,0
5218,r020,United States<sup>c</sup> -> Louisiana,United States<sup>c</sup>,Louisiana,2,32360516,150000
5218,r021,United States<sup>c</sup> -> Maine,United States<sup>c</sup>,Maine,2,29035990,0
5218,r022,United States<sup>c</sup> -> Maryland,United States<sup>c</sup>,Maryland,2,33407022,0
5218,r023,United States<sup>c</sup> -> Massachusetts,United States<sup>c</sup>,Massachusetts,2,31700411,0
5218,r024,United States<sup>c</sup> -> Michigan,United States<sup>c</sup>,Michigan,2,11191816,0
5218,r025,United States<sup>c</sup> -> Minnesota,United States<sup>c</sup>,Minnesota,2,20511698,0
5218,r026,United States<sup>c</sup> -> Mississippi,United States<sup>c</sup>,Mississippi,2,10268396,0
5218,r027,United States<sup>c</sup> -> Missouri,United States<sup>c</sup>,Missouri,2,14826364,0
5218,r028,United States<sup>c</sup> -> Montana,United States<sup>c</sup>,Montana,2,13131022,0
5218,r029,United States<sup>c</sup> -> Nebraska,United States<sup>c</sup>,Nebraska,2,32423818,0
5218,r030,United States<sup>c</sup> -> Nevada,United States<sup>c</sup>,Nevada,2,4764898,0
5218,r031,United States<sup>c</sup> -> New Hampshire,United States<sup>c</sup>,New Hampshire,2,8221518,0
5218,r032,United States<sup>c</sup> -> New Jersey,United States<sup>c</sup>,New Jersey,2,23754925,0
5218,r033,United States<sup>c</sup> -> New Mexico,United States<sup>c</sup>,New Mexico,2,5227599,0
5218,r034,United States<sup>c</sup> -> New York,United States<sup>c</sup>,New York,2,453807331,640000
5218,r035,United States<sup>c</sup> -> North Carolina,United States<sup>c</sup>,North Carolina,2,35892185,1000000
5218,r036,United States<sup>c</sup> -> North Dakota,United States<sup>c</sup>,North Dakota,2,18065251,0
5218,r037,United States<sup>c</sup> -> Ohio,United States<sup>c</sup>,Ohio,2,76169661,0
5218,r038,United States<sup>c</sup> -> Oklahoma,United States<sup>c</sup>,Oklahoma,2,30050338,243500
5218,r039,United States<sup>c</sup> -> Oregon,United States<sup>c</sup>,Oregon,2,30486113,700000
5218,r040,United States<sup>c</sup> -> Pennsylvania,United States<sup>c</sup>,Pennsylvania,2,103098941,0
5218,r041,United States<sup>c</sup> -> Rhode Island,United States<sup>c</sup>,Rhode Island,2,4594040,46478
5218,r042,United States<sup>c</sup> -> South Carolina,United States<sup>c</sup>,South Carolina,2,46800816,450
5218,r043,United States<sup>c</sup> -> South Dakota,United States<sup>c</sup>,South Dakota,2,2913274,0
5218,r044,United States<sup>c</sup> -> Tennessee,United States<sup>c</sup>,Tennessee,2,7039923,0
5218,r045,United States<sup>c</sup> -> Texas,United States<sup>c</sup>,Texas,2,205206977,0
5218,r046,United States<sup>c</sup> -> Utah,United States<sup>c</sup>,Utah,2,9205399,4900
5218,r047,United States<sup>c</sup> -> Vermont,United States<sup>c</sup>,Vermont,2,1669900,0
5218,r048,United States<sup>c</sup> -> Virginia,United States<sup>c</sup>,Virginia,2,35552565,1190001
5218,r049,United States<sup>c</sup> -> Washington,United States<sup>c</sup>,Washington,2,57239095,596898
5218,r050,United States<sup>c</sup> -> West Virginia,United States<sup>c</sup>,West Virginia,2,10862315,0
5218,r051,United States<sup>c</sup> -> Wisconsin,United States<sup>c</sup>,Wisconsin,2,14340014,0
5218,r052,United States<sup>c</sup> -> Wyoming,United States<sup>c</sup>,Wyoming,2,6391060,0
