table_id,row_id,occupation_and_age_full_path,occupation_and_age_level_1,occupation_and_age_level_2,occupation_and_age_level_3,occupation_and_age_level_4,occupation_and_age_hierarchy_depth,field_all_degrees_total,field_all_degrees_female,field_all_degrees_male,field_bachelor_s_total,field_bachelor_s_female,field_bachelor_s_male,field_master_s_total,field_master_s_female,field_master_s_male,field_doctorate_total,field_doctorate_female,field_doctorate_male,field_professional_total,field_professional_female,field_professional_male
5307,r001,"All occupations, all ages","All occupations, all ages",,,,1,73000,64000,85000,65000,56000,75000,80000,69000,98000,100000,89000,106000,130000,104000,151000
5307,r002,"All occupations, all ages -> 29 and younger","All occupations, all ages",29 and younger,,,2,50000,48000,55000,50000,45000,53000,55000,50000,69000,68000,75000,67000,70000,74000,64000
5307,r003,"All occupations, all ages -> 30&#8211;39","All occupations, all ages",30&#8211;39,,,2,70000,64000,80000,65000,56000,71000,73000,65000,89000,82000,80000,84000,105000,99000,120000
5307,r004,"All occupations, all ages -> 40&#8211;49","All occupations, all ages",40&#8211;49,,,2,83000,70000,100000,75000,63000,92000,87000,78000,102000,109000,97000,123000,157000,119000,177000
5307,r005,"All occupations, all ages -> 50&#8211;75","All occupations, all ages",50&#8211;75,,,2,85000,71000,100000,76000,65000,89000,92000,78000,115000,109000,99000,120000,167000,130000,185000
5307,r006,"All occupations, all ages -> S&E occupations","All occupations, all ages",S&E occupations,,,2,95000,80000,100000,90000,78000,95000,100000,85000,108000,101000,89000,110000,99000,88000,108000
5307,r007,"All occupations, all ages -> S&E occupations -> 29 and younger","All occupations, all ages",S&E occupations,29 and younger,,3,67000,57000,71000,65000,54000,68000,75000,66000,78000,75000,75000,68000,,,
5307,r008,"All occupations, all ages -> S&E occupations -> 30&#8211;39","All occupations, all ages",S&E occupations,30&#8211;39,,3,90000,80000,95000,89000,81000,90000,95000,80000,102000,86000,80000,92000,90000,67000,116000
5307,r009,"All occupations, all ages -> S&E occupations -> 40&#8211;49","All occupations, all ages",S&E occupations,40&#8211;49,,3,105000,92000,111000,102000,88000,107000,114000,100000,120000,105000,90000,120000,119000,109000,142000
5307,r010,"All occupations, all ages -> S&E occupations -> 50&#8211;75","All occupations, all ages",S&E occupations,50&#8211;75,,3,110000,96000,118000,105000,90000,110000,120000,100000,124000,120000,104000,130000,104000,113000,103000
5307,r011,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",,3,66000,68000,65000,53000,55000,50000,65000,69000,63000,89000,82000,94000,103000,S,130000
5307,r012,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,4,40000,45000,38000,36000,36000,36000,46000,49000,41000,71000,75000,50000,,,
5307,r013,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,4,61000,62000,60000,55000,54000,55000,60000,62000,52000,70000,68000,74000,S,,
5307,r014,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,4,91000,95000,88000,80000,88000,69000,84000,80000,86000,102000,102000,99000,S,S,
5307,r015,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,4,98000,81000,101000,73000,67000,84000,82000,80000,84000,115000,99000,120000,103000,64000,127000
5307,r016,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists","All occupations, all ages",S&E occupations,Computer and mathematical scientists,,3,100000,88000,105000,95000,83000,100000,109000,97000,115000,120000,99000,130000,114000,124000,78000
5307,r017,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","All occupations, all ages",S&E occupations,Computer and mathematical scientists,29 and younger,4,75000,68000,76000,70000,60000,72000,85000,82000,87000,106000,S,99000,,,
5307,r018,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Computer and mathematical scientists,30&#8211;39,4,98000,88000,100000,92000,86000,94000,103000,87000,110000,124000,98000,135000,S,,S
5307,r019,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Computer and mathematical scientists,40&#8211;49,4,110000,96000,116000,105000,87000,111000,119000,109000,123000,120000,88000,149000,,,
