table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_female,field_male,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability
5323,r001,All degrees,All degrees,,,,1,50524000,26341000,24183000,4803000,182000,5062000,3895000,129000,35269000,1184000,44717000,5807000
5323,r002,All degrees -> S&E occupations,All degrees,S&E occupations,,,2,7466000,2193000,5274000,564000,S,1543000,379000,17000,4784000,158000,6795000,671000
5323,r003,"All degrees -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,S&E occupations,"Biological, agricultural, and other life scientists",,3,698000,337000,361000,64000,1000,157000,23000,,439000,14000,642000,56000
5323,r004,All degrees -> S&E occupations -> Computer and mathematical scientists,All degrees,S&E occupations,Computer and mathematical scientists,,3,3774000,975000,2799000,238000,S,955000,214000,6000,2259000,88000,3445000,329000
5323,r005,All degrees -> S&E occupations -> Physical and related scientists,All degrees,S&E occupations,Physical and related scientists,,3,409000,142000,267000,27000,1000,55000,18000,S,300000,7000,364000,46000
5323,r006,All degrees -> S&E occupations -> Social and related scientists,All degrees,S&E occupations,Social and related scientists,,3,663000,428000,235000,77000,S,44000,47000,2000,480000,12000,599000,64000
5323,r007,All degrees -> S&E occupations -> Engineers,All degrees,S&E occupations,Engineers,,3,1921000,310000,1612000,159000,5000,331000,77000,7000,1305000,37000,1745000,177000
5323,r008,All degrees -> S&E-related occupations,All degrees,S&E-related occupations,,,2,8893000,5109000,3785000,821000,29000,1151000,613000,30000,6053000,198000,8148000,745000
5323,r009,All degrees -> Non-S&E occupations,All degrees,Non-S&E occupations,,,2,34165000,19040000,15125000,3418000,132000,2368000,2903000,82000,24432000,829000,29774000,4391000
5323,r010,All degrees -> Bachelor's,All degrees,Bachelor's,,,2,31373000,16021000,15353000,3252000,86000,2693000,2394000,100000,22052000,797000,27533000,3841000
5323,r011,All degrees -> Bachelor's -> S&E occupations,All degrees,Bachelor's,S&E occupations,,3,4176000,1034000,3142000,372000,S,636000,219000,11000,2810000,109000,3742000,433000
5323,r012,"All degrees -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",4,277000,129000,148000,36000,1000,34000,10000,,187000,8000,253000,24000
5323,r013,All degrees -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,All degrees,Bachelor's,S&E occupations,Computer and mathematical scientists,4,2403000,568000,1835000,182000,S,442000,144000,S,1547000,69000,2148000,256000
5323,r014,All degrees -> Bachelor's -> S&E occupations -> Physical and related scientists,All degrees,Bachelor's,S&E occupations,Physical and related scientists,4,189000,78000,112000,15000,0.05,19000,10000,0.05,141000,4000,160000,29000
5323,r015,All degrees -> Bachelor's -> S&E occupations -> Social and related scientists,All degrees,Bachelor's,S&E occupations,Social and related scientists,4,147000,95000,52000,29000,,7000,6000,,104000,2000,134000,14000
5323,r016,All degrees -> Bachelor's -> S&E occupations -> Engineers,All degrees,Bachelor's,S&E occupations,Engineers,4,1158000,163000,995000,110000,4000,134000,49000,S,830000,25000,1048000,111000
5323,r017,All degrees -> Bachelor's -> S&E-related occupations,All degrees,Bachelor's,S&E-related occupations,,3,4794000,2845000,1949000,485000,11000,534000,336000,25000,3298000,105000,4325000,470000
5323,r018,All degrees -> Bachelor's -> Non-S&E occupations,All degrees,Bachelor's,Non-S&E occupations,,3,22403000,12142000,10262000,2395000,57000,1522000,1838000,64000,15944000,583000,19466000,2938000
5323,r019,All degrees -> Master's,All degrees,Master's,,,2,14158000,8141000,6017000,1153000,82000,1606000,1174000,24000,9829000,290000,12607000,1551000
5323,r020,All degrees -> Master's -> S&E occupations,All degrees,Master's,S&E occupations,,3,2286000,757000,1529000,136000,3000,650000,115000,5000,1340000,37000,2121000,165000
