table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5415,r001,All HHE institutions,All HHE institutions,,1,-,"['6,858,645', '']","['2,892,209', '']","['752,952', '']","['2,008,461', '']","['421,291', '']","['361,463', '']","['422,269', '']"
5415,r002,All HHE institutions -> U. Texas M. D. Anderson Cancer Center,All HHE institutions,U. Texas M. D. Anderson Cancer Center,2,1,"['1,051,297', '']","['186,488', '']","['291,619', '']","['209,905', '']","['194,528', '']","['31,021', '']","['137,736', '']"
5415,r003,All HHE institutions -> U. Arizona,All HHE institutions,U. Arizona,2,2,"['760,975', '']","['328,807', '']","['33,210', '']","['231,170', '']","['23,040', '']","['34,707', '']","['110,041', '']"
5415,r004,"All HHE institutions -> U. California, Irvine",All HHE institutions,"U. California, Irvine",2,3,"['490,597', '']","['241,734', '']","['15,947', '']","['123,966', '']","['33,033', '']","['28,381', '']","['47,536', '']"
5415,r005,"All HHE institutions -> U. Illinois, Chicago",All HHE institutions,"U. Illinois, Chicago",2,4,"['412,147', '']","['223,030', '']","['6,772', '']","['135,744', '']","['14,766', '']","['24,288', '']","['7,547', '']"
5415,r006,"All HHE institutions -> U. Texas Health Science Center, Houston",All HHE institutions,"U. Texas Health Science Center, Houston",2,5,"['273,862', '']","['133,624', '']","['42,174', '']","['44,129', '']","['16,479', '']","['24,958', '']","['12,498', '']"
5415,r007,"All HHE institutions -> U. California, Santa Barbara",All HHE institutions,"U. California, Santa Barbara",2,6,"['254,434', '']","['123,198', '']","['4,335', '']","['54,929', '']","['22,578', '']","['29,986', '']","['19,408', '']"
5415,r008,All HHE institutions -> U. New Mexico,All HHE institutions,U. New Mexico,2,7,"['243,375', '']","['161,627', '']","['6,046', '']","['61,092', '']","['3,733', '']","['9,064', '']","['1,813', '']"
5415,r009,All HHE institutions -> U. Central Florida,All HHE institutions,U. Central Florida,2,8,"['239,343', '']","['114,575', '']","['14,653', '']","['86,095', '']","['12,418', '']","['6,049', '']","['5,553', '']"
5415,r010,All HHE institutions -> Florida International U.,All HHE institutions,Florida International U.,2,9,"['236,842', '']","['103,366', '']","['18,582', '']","['104,836', '']","['2,271', '']","['7,059', '']","['728', '']"
5415,r011,"All HHE institutions -> U. Texas Health Science Center, San Antonio",All HHE institutions,"U. Texas Health Science Center, San Antonio",2,10,"['202,572', '']","['102,959', '']","['21,895', '']","['45,061', '']","['8,048', '']","['24,287', '']","['322', '']"
5415,r012,All HHE institutions -> U. Houston,All HHE institutions,U. Houston,2,11,"['200,428', '']","['71,779', '']","['33,898', '']","['74,188', '']","['8,034', '']","['9,803', '']","['2,726', '']"
5415,r013,All HHE institutions -> Texas Tech U.,All HHE institutions,Texas Tech U.,2,12,"['199,643', '']","['31,475', '']","['29,341', '']","['114,278', '']","['11,588', '']","['12,653', '']","['308', '']"
5415,r014,"All HHE institutions -> U. California, Riverside",All HHE institutions,"U. California, Riverside",2,13,"['184,894', '']","['92,503', '']","['10,827', '']","['51,440', '']","['6,288', '']","['7,826', '']","['16,010', '']"
5415,r015,"All HHE institutions -> U. California, Santa Cruz",All HHE institutions,"U. California, Santa Cruz",2,14,"['150,400', '']","['76,468', '']","['5,870', '']","['31,824', '']","['8,701', '']","['15,685', '']","['11,852', '']"
5415,r016,"All HHE institutions -> U. Texas, San Antonio",All HHE institutions,"U. Texas, San Antonio",2,15,"['138,586', '']","['34,334', '']","['16,210', '']","['65,229', '']","['5,703', '']","['14,490', '']","['2,620', '']"
5415,r017,"All HHE institutions -> U. Texas, Arlington",All HHE institutions,"U. Texas, Arlington",2,16,"['133,793', '']","['44,950', '']","['19,309', '']","['52,902', '']","['5,989', '']","['8,740', '']","['1,903', '']"
5415,r018,"All HHE institutions -> U. Texas, El Paso",All HHE institutions,"U. Texas, El Paso",2,17,"['108,628', '']","['39,126', '']","['20,684', '']","['36,075', '']","['1,162', '']","['1,622', '']","['9,959', '']"
5415,r019,All HHE institutions -> New Mexico State U.,All HHE institutions,New Mexico State U.,2,18,"['107,275', '']","['60,971', '']","['21,097', '']","['13,809', '']","['1,644', '']","['3,827', '']","['5,927', '']"
5415,r020,"All HHE institutions -> U. Nevada, Las Vegas",All HHE institutions,"U. Nevada, Las Vegas",2,19,"['105,872', '']","['29,252', '']","['2,493', '']","['69,282', '']","['1,149', '']","['655', '']","['3,041', '']"
5415,r021,All HHE institutions -> San Diego State U.,All HHE institutions,San Diego State U.,2,20,"['97,710', '']","['41,117', '']","['3,073', '']","['48,934', '']","['836', '']","['2,043', '']","['1,707', '']"
5415,r022,All HHE institutions -> Rush U.,All HHE institutions,Rush U.,2,21,"['94,438', '']","['65,343', '']","['1,886', '']","['8,712', '']","['12,732', '']","['5,765', '']","['0', '']"
5415,r023,"All HHE institutions -> U. North Texas, Denton",All HHE institutions,"U. North Texas, Denton",2,22,"['84,239', '']","['13,653', '']","['5,524', '']","['61,069', '']","['1,619', '']","['1,550', '']","['824', '']"
5415,r024,All HHE institutions -> Texas State U.,All HHE institutions,Texas State U.,2,23,"['70,714', '']","['26,950', '']","['3,850', '']","['33,796', '']","['792', '']","['5,326', '']","['0', '']"
5415,r025,All HHE institutions -> Northern Arizona U.,All HHE institutions,Northern Arizona U.,2,24,"['64,456', '']","['39,387', '']","['7,342', '']","['15,645', '']","['523', '']","['1,358', '']","['201', '']"
5415,r026,All HHE institutions -> U. Texas Rio Grande Valley,All HHE institutions,U. Texas Rio Grande Valley,2,25,"['56,702', '']","['13,093', '']","['7,566', '']","['27,680', '']","['455', '']","['7,653', '']","['255', '']"
5415,r027,All HHE institutions -> Florida Atlantic U.,All HHE institutions,Florida Atlantic U.,2,26,"['53,845', '']","['23,695', '']","['4,581', '']","['14,711', '']","['2,729', '']","['5,863', '']","['2,266', '']"
5415,r028,All HHE institutions -> San Jose State U.,All HHE institutions,San Jose State U.,2,27,"['47,301', '']","['34,102', '']","['6,297', '']","['4,100', '']","['914', '']","['1,345', '']","['543', '']"
5415,r029,"All HHE institutions -> U. California, Merced",All HHE institutions,"U. California, Merced",2,28,"['45,966', '']","['20,000', '']","['5,108', '']","['16,274', '']","['558', '']","['1,870', '']","['2,156', '']"
5415,r030,"All HHE institutions -> CUNY, City C.",All HHE institutions,"CUNY, City C.",2,29,"['45,632', '']","['30,106', '']","['4,193', '']","['8,968', '']","['1,068', '']","['1,011', '']","['286', '']"
5415,r031,"All HHE institutions -> Texas Tech U., Health Sciences Center",All HHE institutions,"Texas Tech U., Health Sciences Center",2,30,"['44,135', '']","['13,043', '']","['18,200', '']","['8,839', '']","['357', '']","['1,350', '']","['2,346', '']"
5415,r032,"All HHE institutions -> CUNY, Hunter C.",All HHE institutions,"CUNY, Hunter C.",2,31,"['38,345', '']","['26,025', '']","['2,622', '']","['8,847', '']","['229', '']","['331', '']","['291', '']"
5415,r033,"All HHE institutions -> U. Puerto Rico, Medical Sciences Campus",All HHE institutions,"U. Puerto Rico, Medical Sciences Campus",2,32,"['37,217', '']","['27,033', '']","['361', '']","['6,251', '']","['3,551', '']","['0', '']","['21', '']"
5415,r034,All HHE institutions -> San Francisco State U.,All HHE institutions,San Francisco State U.,2,33,"['33,078', 'i']","['16,331', 'i']","['2,243', 'i']","['13,222', 'i']","['67', 'i']","['1,200', 'i']","['15', 'i']"
5415,r035,All HHE institutions -> Texas A&M U.-Corpus Christi,All HHE institutions,Texas A&M U.-Corpus Christi,2,34,"['32,284', '']","['13,349', '']","['8,436', '']","['4,691', '']","['716', '']","['2,079', '']","['3,013', '']"
5415,r036,"All HHE institutions -> Rutgers, State U. New Jersey, Newark",All HHE institutions,"Rutgers, State U. New Jersey, Newark",2,35,"['28,006', '']","['16,196', '']","['1,460', '']","['5,902', '']","['778', '']","['2,050', '']","['1,620', '']"
5415,r037,"All HHE institutions -> U. Puerto Rico, Mayaguez",All HHE institutions,"U. Puerto Rico, Mayaguez",2,36,"['26,553', '']","['15,842', '']","['681', '']","['8,960', '']","['712', '']","['315', '']","['43', '']"
5415,r038,All HHE institutions -> Nova Southeastern U.,All HHE institutions,Nova Southeastern U.,2,37,"['26,035', '']","['10,452', '']","['2,652', '']","['10,764', '']","['1,309', '']","['610', '']","['248', '']"
5415,r039,All HHE institutions -> Loma Linda U.,All HHE institutions,Loma Linda U.,2,38,"['25,077', 'i']","['17,457', 'i']","['754', 'i']","['3,382', 'i']","['1,857', 'i']","['1,526', 'i']","['101', 'i']"
5415,r040,"All HHE institutions -> California State U., Sacramento",All HHE institutions,"California State U., Sacramento",2,39,"['24,939', '']","['5,693', '']","['13,108', '']","['5,520', '']","['143', '']","['433', '']","['42', '']"
5415,r041,All HHE institutions -> New Mexico Institute of Mining and Technology,All HHE institutions,New Mexico Institute of Mining and Technology,2,40,"['24,591', '']","['22,922', '']","['179', '']","['345', '']","['881', '']","['220', '']","['44', '']"
5415,r042,"All HHE institutions -> U. Puerto Rico, Rio Piedras",All HHE institutions,"U. Puerto Rico, Rio Piedras",2,41,"['22,895', '']","['14,071', '']","['30', '']","['8,387', '']","['136', '']","['202', '']","['69', '']"
5415,r043,All HHE institutions -> Texas A&M U.-Kingsville,All HHE institutions,Texas A&M U.-Kingsville,2,42,"['22,745', '']","['9,610', '']","['3,576', '']","['3,711', '']","['692', '']","['5,110', '']","['46', '']"
5415,r044,"All HHE institutions -> California State U., Northridge",All HHE institutions,"California State U., Northridge",2,43,"['21,228', '']","['17,261', '']","['1,422', '']","['1,515', '']","['35', '']","['995', '']","['0', '']"
5415,r045,All HHE institutions -> Montclair State U.,All HHE institutions,Montclair State U.,2,44,"['17,636', '']","['3,782', '']","['724', '']","['10,659', '']","['86', '']","['2,363', '']","['22', '']"
5415,r046,"All HHE institutions -> California State U., Long Beach",All HHE institutions,"California State U., Long Beach",2,45,"['16,684', '']","['12,014', '']","['1,908', '']","['1,235', '']","['617', '']","['698', '']","['212', '']"
5415,r047,"All HHE institutions -> CUNY, Queens C.",All HHE institutions,"CUNY, Queens C.",2,46,"['16,470', '']","['12,726', '']","['1,054', '']","['2,304', '']","['43', '']","['315', '']","['28', '']"
5415,r048,All HHE institutions -> Humboldt State U.,All HHE institutions,Humboldt State U.,2,47,"['14,236', '']","['2,399', '']","['4,147', '']","['2,964', '']","['212', '']","['2,259', '']","['2,255', '']"
5415,r049,"All HHE institutions -> CUNY, John Jay C. of Criminal Justice",All HHE institutions,"CUNY, John Jay C. of Criminal Justice",2,48,"['13,939', '']","['5,297', '']","['1,014', '']","['2,968', '']","['2,159', '']","['1,449', '']","['1,052', '']"
5415,r050,All HHE institutions -> Charles R. Drew U. of Medicine and Science,All HHE institutions,Charles R. Drew U. of Medicine and Science,2,49,"['13,682', '']","['9,863', '']","['311', '']","['3,202', '']","['0', '']","['306', '']","['0', '']"
5415,r051,All HHE institutions -> Ponce Health Sciences U.,All HHE institutions,Ponce Health Sciences U.,2,50,"['13,566', '']","['11,228', '']","['220', '']","['NA', '']","['0', '']","['0', '']","['2,118', '']"
5415,r052,"All HHE institutions -> California State U., San Marcos",All HHE institutions,"California State U., San Marcos",2,51,"['13,250', '']","['11,547', '']","['1,308', '']","['272', '']","['0', '']","['123', '']","['0', '']"
5415,r053,"All HHE institutions -> California State U., San Bernardino",All HHE institutions,"California State U., San Bernardino",2,52,"['10,819', '']","['5,886', '']","['2,750', '']","['2,093', '']","['0', '']","['90', '']","['0', '']"
5415,r054,"All HHE institutions -> California State U., Los Angeles",All HHE institutions,"California State U., Los Angeles",2,53,"['10,590', '']","['8,380', '']","['72', '']","['1,817', '']","['0', '']","['321', '']","['0', '']"
5415,r055,"All HHE institutions -> Texas Tech U., Health Sciences Center, El Paso",All HHE institutions,"Texas Tech U., Health Sciences Center, El Paso",2,54,"['10,421', '']","['1,703', '']","['2,932', '']","['5,211', '']","['257', '']","['318', '']","['0', '']"
5415,r056,All HHE institutions -> St. Edward's U.,All HHE institutions,St. Edward's U.,2,55,"['9,619', '']","['7,700', '']","['900', '']","['925', '']","['14', '']","['30', '']","['50', '']"
5415,r057,All HHE institutions -> William Paterson U.,All HHE institutions,William Paterson U.,2,56,"['9,603', '']","['1,896', '']","['0', '']","['7,575', '']","['1', '']","['131', '']","['0', '']"
5415,r058,"All HHE institutions -> California State U., East Bay",All HHE institutions,"California State U., East Bay",2,57,"['9,072', '']","['2,348', '']","['992', '']","['5,434', '']","['77', '']","['221', '']","['0', '']"
5415,r059,"All HHE institutions -> California State U., Fresno",All HHE institutions,"California State U., Fresno",2,58,"['8,856', '']","['3,117', '']","['2,431', '']","['1,949', '']","['455', '']","['904', '']","['0', '']"
5415,r060,"All HHE institutions -> California State Polytechnic U., Pomona",All HHE institutions,"California State Polytechnic U., Pomona",2,59,"['7,396', '']","['5,514', '']","['821', '']","['509', '']","['344', '']","['208', '']","['0', '']"
5415,r061,All HHE institutions -> Azusa Pacific U.,All HHE institutions,Azusa Pacific U.,2,60,"['7,068', '']","['128', '']","['95', '']","['6,704', '']","['2', '']","['139', '']","['0', '']"
5415,r062,"All HHE institutions -> California State U., Bakersfield",All HHE institutions,"California State U., Bakersfield",2,61,"['7,053', '']","['4,486', '']","['150', '']","['2,306', '']","['38', '']","['22', '']","['51', '']"
