table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5418,r001,All institutions,All institutions,,1,-,"['56,663,756', '']","['28,492,277', '']","['4,204,494', '']","['15,609,925', '']","['3,175,941', '']","['3,281,118', '']","['1,900,001', '']"
5418,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['1,673,862', '']","['884,880', '']","['2,074', '']","['607,120', '']","['96,044', '']","['75,131', '']","['8,613', '']"
5418,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['1,651,073', '']","['676,331', '']","['32,635', '']","['418,048', '']","['120,488', '']","['231,371', '']","['172,200', '']"
5418,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['1,456,902', '']","['1,024,195', '']","['27,087', '']","['111,141', '']","['57,698', '']","['198,220', '']","['38,561', '']"
5418,r005,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,4,"['1,403,735', '']","['727,289', '']","['45,233', '']","['290,347', '']","['109,943', '']","['110,299', '']","['120,624', '']"
5418,r006,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,5,"['1,392,941', '']","['655,030', '']","['81,216', '']","['302,597', '']","['82,905', '']","['194,946', '']","['76,247', '']"
5418,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['1,363,931', '']","['632,558', '']","['103,607', '']","['435,653', '']","['29,589', '']","['122,835', '']","['39,689', '']"
5418,r008,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,7,"['1,159,725', '']","['706,145', '']","['8,129', '']","['301,817', '']","['49,974', '']","['76,679', '']","['16,981', '']"
5418,r009,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,8,"['1,130,803', '']","['517,489', '']","['205,190', '']","['291,325', '']","['35,783', '']","['53,539', '']","['27,477', '']"
5418,r010,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,9,"['1,105,532', '']","['689,273', '']","['11,600', '']","['254,704', '']","['29,764', '']","['65,940', '']","['54,251', '']"
5418,r011,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,10,"['1,103,062', '']","['689,125', '']","['39,195', '']","['282,188', '']","['28,881', '']","['57,662', '']","['6,011', '']"
5418,r012,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,11,"['1,051,297', '']","['186,488', '']","['291,619', '']","['209,905', '']","['194,528', '']","['31,021', '']","['137,736', '']"
5418,r013,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,12,"['1,048,988', '']","['790,518', '']","['107,480', '']","['71,373', '']","['63,120', '']","['14,200', '']","['2,297', '']"
5418,r014,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,13,"['1,042,382', '']","['514,092', '']","['78,122', '']","['333,014', '']","['48,857', '']","['42,157', '']","['26,140', '']"
5418,r015,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,14,"['991,923', '']","['638,930', '']","['47,196', '']","['211,889', '']","['29,131', '']","['63,664', '']","['1,113', '']"
