table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_usda_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5446,r001,All institutions,All institutions,,1,-,"['1,244,633', '']","['6,186', '']","['32,505', '']","['1,022,353', '']","['6,034', '']","['3,737', '']","['6,330', '']","['46,934', '']","['7,601', '']","['74,101', '']","['38,852', '']"
5446,r002,All institutions -> U. Florida,All institutions,U. Florida,2,1,"['43,720', '']","['0', '']","['421', '']","['37,423', '']","['115', '']","['102', '']","['0', '']","['741', '']","['0', '']","['2,552', '']","['2,366', '']"
5446,r003,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,2,"['42,736', '']","['0', '']","['5,302', '']","['29,951', '']","['441', '']","['100', '']","['0', '']","['2,321', '']","['7', '']","['1,085', '']","['3,529', '']"
5446,r004,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,3,"['40,652', '']","['0', '']","['1,196', '']","['35,573', '']","['117', '']","['0', '']","['78', '']","['1,170', '']","['123', '']","['2,384', '']","['11', '']"
5446,r005,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,4,"['39,135', '']","['143', '']","['1,545', '']","['34,668', '']","['106', '']","['66', '']","['0', '']","['1,606', '']","['0', '']","['742', '']","['259', '']"
5446,r006,All institutions -> Cornell U.,All institutions,Cornell U.,2,5,"['39,077', '']","['39', '']","['79', '']","['35,987', '']","['0', '']","['0', '']","['106', '']","['470', '']","['0', '']","['1,069', '']","['1,327', '']"
5446,r007,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,6,"['37,563', '']","['0', '']","['42', '']","['19,893', '']","['0', '']","['8', '']","['0', '']","['1,386', '']","['52', '']","['3,156', '']","['13,026', '']"
5446,r008,All institutions -> Washington State U.,All institutions,Washington State U.,2,7,"['36,033', '']","['0', '']","['313', '']","['30,940', '']","['0', '']","['0', '']","['1', '']","['1,659', '']","['36', '']","['2,124', '']","['960', '']"
5446,r009,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,8,"['35,066', '']","['255', '']","['0', '']","['25,809', '']","['4,459', '']","['19', '']","['0', '']","['553', '']","['0', '']","['3,810', '']","['161', '']"
5446,r010,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,9,"['35,042', '']","['19', '']","['877', '']","['32,696', '']","['0', '']","['0', '']","['0', '']","['389', '']","['0', '']","['1,061', '']","['0', '']"
5446,r011,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,10,"['33,490', '']","['69', '']","['199', '']","['27,705', '']","['3', '']","['86', '']","['3,171', '']","['653', '']","['0', '']","['150', '']","['1,454', '']"
5446,r012,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,11,"['32,081', '']","['71', '']","['854', '']","['27,165', '']","['10', '']","['0', '']","['0', '']","['1,883', '']","['47', '']","['1,758', '']","['293', '']"
5446,r013,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,12,"['31,472', '']","['160', '']","['0', '']","['22,718', '']","['0', '']","['0', '']","['131', '']","['1,720', '']","['0', '']","['6,573', '']","['170', '']"
5446,r014,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,13,"['30,810', '']","['2,632', '']","['128', '']","['24,147', '']","['27', '']","['0', '']","['0', '']","['535', '']","['882', '']","['2,385', '']","['74', '']"
5446,r015,All institutions -> U. Georgia,All institutions,U. Georgia,2,14,"['30,754', '']","['0', '']","['61', '']","['25,033', '']","['25', '']","['0', '']","['18', '']","['3,947', '']","['0', '']","['1,607', '']","['63', '']"
5446,r016,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,15,"['29,349', '']","['3', '']","['41', '']","['26,833', '']","['0', '']","['18', '']","['0', '']","['1,719', '']","['403', '']","['319', '']","['13', '']"
5446,r017,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,16,"['25,408', '']","['0', '']","['0', '']","['20,717', '']","['0', '']","['51', '']","['0', '']","['341', '']","['0', '']","['4,299', '']","['0', '']"
5446,r018,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,17,"['24,157', '']","['102', '']","['269', '']","['17,995', '']","['0', '']","['0', '']","['1,212', '']","['2,372', '']","['0', '']","['1,063', '']","['1,144', '']"
5446,r019,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,18,"['24,124', '']","['11', '']","['129', '']","['22,667', '']","['0', '']","['46', '']","['0', '']","['236', '']","['0', '']","['901', '']","['134', '']"
5446,r020,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,19,"['22,764', '']","['0', '']","['34', '']","['19,200', '']","['0', '']","['0', '']","['0', '']","['1,484', '']","['77', '']","['1,969', '']","['0', '']"
5446,r021,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,20,"['21,983', '']","['9', '']","['0', '']","['16,999', '']","['15', '']","['0', '']","['0', '']","['1,341', '']","['0', '']","['3,264', '']","['355', '']"
5446,r022,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,21,"['20,474', '']","['238', '']","['0', '']","['17,847', '']","['130', '']","['0', '']","['0', '']","['182', '']","['0', '']","['1,831', '']","['246', '']"
5446,r023,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,22,"['20,423', '']","['0', '']","['24', '']","['19,529', '']","['16', '']","['0', '']","['0', '']","['32', '']","['0', '']","['727', '']","['95', '']"
5446,r024,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,23,"['18,648', '']","['131', '']","['0', '']","['15,532', '']","['2', '']","['10', '']","['879', '']","['45', '']","['0', '']","['1,863', '']","['186', '']"
5446,r025,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,24,"['18,511', '']","['315', '']","['1', '']","['15,667', '']","['96', '']","['13', '']","['1', '']","['1,449', '']","['0', '']","['353', '']","['616', '']"
