table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5450,r001,United States,United States,,1,86296178,46143829,4596633,21946790,5184925,5745238,2678763
5450,r002,United States -> Alabama,United States,Alabama,2,1186697,668862,64666,329347,70597,36810,16415
5450,r003,United States -> Alaska,United States,Alaska,2,177537,117950,4792,45529,4320,2182,2764
5450,r004,United States -> Arizona,United States,Arizona,2,1499135,646691,81387,495474,41711,98767,135105
5450,r005,United States -> Arkansas,United States,Arkansas,2,370782,135777,71649,127066,19742,11605,4943
5450,r006,United States -> California,United States,California,2,10910956,5523808,437639,2389545,732534,1126663,700767
5450,r007,United States -> Colorado,United States,Colorado,2,1665742,1185506,52888,189942,87134,94207,56065
5450,r008,United States -> Connecticut,United States,Connecticut,2,1400865,760588,11807,430411,84679,102139,11241
5450,r009,United States -> Delaware,United States,Delaware,2,244321,156831,11295,59559,6766,4812,5058
5450,r010,United States -> District of Columbia,United States,District of Columbia,2,684793,333185,5446,192720,26548,90192,36702
5450,r011,United States -> Florida,United States,Florida,2,2722627,1278252,252254,889925,114269,130730,57197
5450,r012,United States -> Georgia,United States,Georgia,2,2782005,1626712,171829,702890,140929,122147,17498
5450,r013,United States -> Hawaii,United States,Hawaii,2,298285,184034,19383,77557,2802,13022,1487
5450,r014,United States -> Idaho,United States,Idaho,2,170595,86213,40139,35938,3206,1998,3101
5450,r015,United States -> Illinois,United States,Illinois,2,2764954,1665534,38947,696506,168728,155815,39424
5450,r016,United States -> Indiana,United States,Indiana,2,1733623,756064,46570,626632,111896,128912,63549
5450,r017,United States -> Iowa,United States,Iowa,2,917407,429925,42796,360325,46229,32283,5849
5450,r018,United States -> Kansas,United States,Kansas,2,739872,318888,72227,203583,111333,29458,4383
5450,r019,United States -> Kentucky,United States,Kentucky,2,641301,302255,49722,201630,21919,19738,46037
5450,r020,United States -> Louisiana,United States,Louisiana,2,798373,309352,96798,227320,99014,40441,25448
5450,r021,United States -> Maine,United States,Maine,2,151263,66227,21534,54140,3032,4127,2203
5450,r022,United States -> Maryland,United States,Maryland,2,4745030,3734526,87487,550090,136913,225317,10697
5450,r023,United States -> Massachusetts,United States,Massachusetts,2,4361466,2413765,42451,996243,329957,426280,152770
5450,r024,United States -> Michigan,United States,Michigan,2,2867807,1425181,62989,1080879,127747,128955,42056
5450,r025,United States -> Minnesota,United States,Minnesota,2,1086730,524349,85995,354291,50788,44828,26479
5450,r026,United States -> Mississippi,United States,Mississippi,2,506660,268634,112409,98812,10357,14761,1687
5450,r027,United States -> Missouri,United States,Missouri,2,1444375,821530,29650,351102,118297,112041,11755
5450,r028,United States -> Montana,United States,Montana,2,290297,160950,25204,91295,3758,6608,2482
5450,r029,United States -> Nebraska,United States,Nebraska,2,586777,255357,71276,180551,30607,23254,25732
5450,r030,United States -> Nevada,United States,Nevada,2,296470,109892,12024,152046,5587,6545,10376
5450,r031,United States -> New Hampshire,United States,New Hampshire,2,484313,243635,5945,188555,12789,25644,7745
5450,r032,United States -> New Jersey,United States,New Jersey,2,1385864,679242,103899,301877,86749,130742,83355
5450,r033,United States -> New Mexico,United States,New Mexico,2,376331,246554,27322,75246,6258,13167,7784
5450,r034,United States -> New York,United States,New York,2,7156316,3732130,405335,1674568,509662,530030,304591
5450,r035,United States -> North Carolina,United States,North Carolina,2,3385735,1939599,163691,684547,329220,214035,54643
5450,r036,United States -> North Dakota,United States,North Dakota,2,267308,75767,64606,105161,13284,2113,6377
5450,r037,United States -> Ohio,United States,Ohio,2,2518803,1553657,74237,498105,216432,128511,47861
5450,r038,United States -> Oklahoma,United States,Oklahoma,2,604114,243317,61388,243433,37542,13578,4856
5450,r039,United States -> Oregon,United States,Oregon,2,894789,608968,57580,110486,49196,51110,17449
5450,r040,United States -> Pennsylvania,United States,Pennsylvania,2,4820355,2631476,104372,1384506,317561,293798,88642
5450,r041,United States -> Rhode Island,United States,Rhode Island,2,395730,265184,14903,83884,6764,18312,6683
5450,r042,United States -> South Carolina,United States,South Carolina,2,742557,349258,38938,272703,42958,26418,12282
5450,r043,United States -> South Dakota,United States,South Dakota,2,110619,51468,19465,18944,2770,4568,13404
5450,r044,United States -> Tennessee,United States,Tennessee,2,1398914,765928,37265,433253,83419,60108,18941
5450,r045,United States -> Texas,United States,Texas,2,6619640,2678449,911419,1821405,463739,470846,273782
5450,r046,United States -> Utah,United States,Utah,2,950562,581235,29015,240746,49722,39936,9908
5450,r047,United States -> Vermont,United States,Vermont,2,193824,100302,1115,74273,3618,8606,5910
5450,r048,United States -> Virginia,United States,Virginia,2,1921215,876257,124213,637603,94102,108949,80091
5450,r049,United States -> Washington,United States,Washington,2,1827021,1196287,80831,225111,71484,210689,42619
5450,r050,United States -> West Virginia,United States,West Virginia,2,217788,95147,11631,79832,6597,7389,17192
5450,r051,United States -> Wisconsin,United States,Wisconsin,2,1746799,808584,126081,548630,60704,149911,52889
5450,r052,United States -> Wyoming,United States,Wyoming,2,93061,57353,5164,24503,4519,1394,128
5450,r053,United States -> Guam,United States,Guam,2,13043,9722,1706,1555,25,0,35
5450,r054,United States -> Puerto Rico,United States,Puerto Rico,2,111101,75685,1559,26490,4412,629,2326
5450,r055,United States -> Virgin Islands,United States,Virgin Islands,2,13631,11787,1700,26,0,118,0
