table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_medical_school_r_d_expenditures
5453,r001,Alabama,Alabama,,,1,"['', '']","['', '']"
5453,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']"
5453,r003,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['618,226', '']","['433,448', '']"
5453,r004,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['51,102', '']","['18,895', '']"
5453,r005,Arizona,Arizona,,,1,"['', '']","['', '']"
5453,r006,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']"
5453,r007,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['760,975', '']","['199,558', '']"
5453,r008,Arkansas,Arkansas,,,1,"['', '']","['', '']"
5453,r009,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']"
5453,r010,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['174,549', '']","['174,549', '']"
5453,r011,California,California,,,1,"['', '']","['', '']"
5453,r012,California -> Public,California,Public,,2,"['', '']","['', '']"
5453,r013,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['816,693', '']","['218,837', '']"
5453,r014,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['490,597', '']","['162,501', '']"
5453,r015,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['1,392,941', '']","['877,779', '']"
5453,r016,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['184,894', '']","['12,624', '']"
5453,r017,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['1,403,735', '']","['567,066', '']"
5453,r018,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['1,651,073', '']","['1,429,634', '']"
5453,r019,California -> Private,California,Private,,2,"['', '']","['', '']"
5453,r020,California -> Private -> Charles R. Drew U. of Medicine and Science<sup>a</sup>,California,Private,Charles R. Drew U. of Medicine and Science<sup>a</sup>,3,"['13,682', '']","['1,761', '']"
5453,r021,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['25,077', 'i']","['14,793', 'i']"
5453,r022,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['1,203,950', '']","['804,496', '']"
5453,r023,California -> Private -> Touro U.,California,Private,Touro U.,3,"['3,551', '']","['1,496', '']"
5453,r024,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['941,198', '']","['553,449', '']"
5453,r025,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['5,899', '']","['627', '']"
5453,r026,Colorado,Colorado,,,1,"['', '']","['', '']"
5453,r027,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']"
5453,r028,Colorado -> Public -> U. Colorado Denver and Anschutz Medical Campus,Colorado,Public,U. Colorado Denver and Anschutz Medical Campus,3,"['554,643', '']","['368,619', '']"
5453,r029,Connecticut,Connecticut,,,1,"['', '']","['', '']"
5453,r030,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']"
5453,r031,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['280,131', '']","['91,115', '']"
5453,r032,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']"
5453,r033,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,3,"['1,094,135', '']","['897,405', '']"
5453,r034,District of Columbia,District of Columbia,,,1,"['', '']","['', '']"
5453,r035,District of Columbia -> Private,District of Columbia,Private,,2,"['', '']","['', '']"
5453,r036,District of Columbia -> Private -> George Washington U.,District of Columbia,Private,George Washington U.,3,"['270,369', '']","['63,414', '']"
5453,r037,District of Columbia -> Private -> Georgetown U.,District of Columbia,Private,Georgetown U.,3,"['258,659', '']","['148,287', '']"
5453,r038,District of Columbia -> Private -> Howard U.,District of Columbia,Private,Howard U.,3,"['44,933', '']","['17,184', '']"
