table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_received,field_total_from_higher_education_pass_through_entities,field_total_from_businesses,field_total_from_nonprofit_organizations,field_total_from_other_pass_through_entities,field_federally_financed_all_r_d_expenditures_received,field_federally_financed_from_higher_education_pass_through_entities,field_federally_financed_from_businesses,field_federally_financed_from_nonprofit_organizations,field_federally_financed_from_other_pass_through_entities
5457,r001,United States,United States,,,,1,"['7,825,942', '']","['3,821,399', '']","['1,209,172', '']","['1,496,831', '']","['1,298,540', '']","['6,619,717', '']","['3,420,556', '']","['950,588', '']","['1,158,578', '']","['1,089,995', '']"
5457,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['748', '']","['748', '']","['0', '']","['0', '']","['0', '']","['748', '']","['748', '']","['0', '']","['0', '']","['0', '']"
5457,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['169', '']","['169', '']","['0', '']","['0', '']","['0', '']","['169', '']","['169', '']","['0', '']","['0', '']","['0', '']"
5457,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['35,326', 'i']","['8,580', 'i']","['7,983', 'i']","['669', 'i']","['18,094', 'i']","['32,816', '']","['7,658', '']","['7,586', '']","['259', '']","['17,313', '']"
5457,r007,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5457,r008,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['109', '']","['42', '']","['0', '']","['4', '']","['63', '']","['109', '']","['42', '']","['0', '']","['4', '']","['63', '']"
5457,r009,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['70,578', '']","['29,334', '']","['35,910', '']","['2,427', '']","['2,907', '']","['70,578', '']","['29,334', '']","['35,910', '']","['2,427', '']","['2,907', '']"
5457,r010,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['41,180', '']","['3,730', '']","['31,927', '']","['1,166', '']","['4,357', '']","['39,400', '']","['3,715', '']","['30,957', '']","['884', '']","['3,844', '']"
5457,r011,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['20,985', '']","['4,854', '']","['4,963', '']","['4,825', '']","['6,343', '']","['20,985', '']","['4,854', '']","['4,963', '']","['4,825', '']","['6,343', '']"
5457,r012,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['6,056', '']","['3,407', '']","['1,853', '']","['319', '']","['477', '']","['4,312', '']","['3,407', '']","['499', '']","['14', '']","['392', '']"
5457,r013,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r014,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['1,281', '']","['999', '']","['87', '']","['195', '']","['0', '']","['1,281', '']","['999', '']","['87', '']","['195', '']","['0', '']"
5457,r015,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r016,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r017,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['3,026', '']","['867', '']","['114', '']","['227', '']","['1,818', '']","['2,758', '']","['778', '']","['114', '']","['225', '']","['1,641', '']"
5457,r018,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['9,565', '']","['3,098', '']","['679', '']","['4,664', '']","['1,124', '']","['8,484', '']","['2,897', '']","['366', '']","['4,097', '']","['1,124', '']"
5457,r019,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['24', '']","['0', '']","['0', '']","['24', '']","['0', '']","['24', '']","['0', '']","['0', '']","['24', '']","['0', '']"
5457,r020,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r021,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['35', '']","['35', '']","['0', '']","['0', '']","['0', '']","['32', '']","['32', '']","['0', '']","['0', '']","['0', '']"
5457,r022,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r023,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r024,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['81,708', '']","['24,031', '']","['9,063', '']","['45,867', '']","['2,747', '']","['44,942', '']","['22,190', '']","['6,655', '']","['13,896', '']","['2,201', '']"
5457,r025,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['31', '']","['31', '']","['0', '']","['0', '']","['0', '']","['31', '']","['31', '']","['0', '']","['0', '']","['0', '']"
5457,r026,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['6,569', 'i']","['3,935', 'i']","['1,080', 'i']","['1,096', 'i']","['458', 'i']","['5,948', '']","['3,716', '']","['1,059', '']","['1,028', '']","['145', '']"
