table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_level_5,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
5585,r001,All degree levels,All degree levels,,,,,1,50524000,2529000,22018000,3731000,7052000,15194000
5585,r002,All degree levels -> S&E occupations,All degree levels,S&E occupations,,,,2,7466000,1995000,1653000,1688000,427000,1703000
5585,r003,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",,,3,698000,9000,104000,408000,70000,108000
5585,r004,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,,4,58000,,11000,27000,,19000
5585,r005,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,,4,500000,7000,73000,338000,4000,79000
5585,r006,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,,4,39000,,15000,18000,1000,6000
5585,r007,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,,4,101000,,6000,26000,65000,4000
5585,r008,All degree levels -> S&E occupations -> Computer and mathematical scientists,All degree levels,S&E occupations,Computer and mathematical scientists,,,3,3774000,1856000,775000,469000,116000,558000
5585,r009,All degree levels -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All degree levels,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,4,3379000,1800000,688000,357000,24000,510000
5585,r010,All degree levels -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All degree levels,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,4,284000,55000,85000,98000,,44000
5585,r011,All degree levels -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All degree levels,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,,4,111000,1000,3000,14000,88000,S
5585,r012,All degree levels -> S&E occupations -> Physical and related scientists,All degree levels,S&E occupations,Physical and related scientists,,,3,409000,11000,77000,194000,54000,74000
5585,r013,"All degree levels -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All degree levels,S&E occupations,Physical and related scientists,"Chemists, except biochemists",,4,132000,3000,32000,72000,,26000
5585,r014,"All degree levels -> S&E occupations -> Physical and related scientists -> Earth, atmospheric, and ocean scientists",All degree levels,S&E occupations,Physical and related scientists,"Earth, atmospheric, and ocean scientists",,4,85000,2000,18000,43000,,21000
5585,r015,All degree levels -> S&E occupations -> Physical and related scientists -> Physicists,All degree levels,S&E occupations,Physical and related scientists,Physicists,,4,45000,3000,2000,33000,,7000
5585,r016,"All degree levels -> S&E occupations -> Physical and related scientists -> Other physical and related scientists, including astronomers",All degree levels,S&E occupations,Physical and related scientists,"Other physical and related scientists, including astronomers",,4,67000,2000,21000,26000,,18000
5585,r017,All degree levels -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All degree levels,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,,4,80000,,4000,21000,53000,
5585,r018,All degree levels -> S&E occupations -> Social and related scientists,All degree levels,S&E occupations,Social and related scientists,,,3,663000,7000,79000,199000,149000,229000
5585,r019,All degree levels -> S&E occupations -> Social and related scientists -> Economists,All degree levels,S&E occupations,Social and related scientists,Economists,,4,56000,3000,10000,35000,,7000
5585,r020,All degree levels -> S&E occupations -> Social and related scientists -> Political scientists,All degree levels,S&E occupations,Social and related scientists,Political scientists,,4,22000,,4000,16000,,3000
5585,r021,All degree levels -> S&E occupations -> Social and related scientists -> Psychologists,All degree levels,S&E occupations,Social and related scientists,Psychologists,,4,228000,,20000,22000,3000,183000
5585,r022,All degree levels -> S&E occupations -> Social and related scientists -> Anthropologists,All degree levels,S&E occupations,Social and related scientists,Anthropologists,,4,16000,,2000,12000,,1000
5585,r023,All degree levels -> S&E occupations -> Social and related scientists -> Other social and related scientists,All degree levels,S&E occupations,Social and related scientists,Other social and related scientists,,4,142000,2000,35000,76000,S,28000
5585,r024,All degree levels -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All degree levels,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,,4,200000,,8000,38000,145000,7000
5585,r025,All degree levels -> S&E occupations -> Engineers,All degree levels,S&E occupations,Engineers,,,3,1921000,112000,618000,418000,38000,735000
5585,r026,"All degree levels -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All degree levels,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",,4,126000,11000,32000,34000,,49000
5585,r027,All degree levels -> S&E occupations -> Engineers -> Chemical engineers,All degree levels,S&E occupations,Engineers,Chemical engineers,,4,84000,3000,21000,25000,0.05,35000
5585,r028,"All degree levels -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All degree levels,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",,4,294000,5000,113000,32000,,145000
5585,r029,All degree levels -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All degree levels,S&E occupations,Engineers,Electrical and computer hardware engineers,,4,412000,60000,87000,111000,,153000
5585,r030,All degree levels -> S&E occupations -> Engineers -> Industrial engineers,All degree levels,S&E occupations,Engineers,Industrial engineers,,4,95000,4000,49000,8000,,35000
5585,r031,All degree levels -> S&E occupations -> Engineers -> Mechanical engineers,All degree levels,S&E occupations,Engineers,Mechanical engineers,,4,377000,6000,94000,93000,,183000
5585,r032,All degree levels -> S&E occupations -> Engineers -> Other engineers,All degree levels,S&E occupations,Engineers,Other engineers,,4,472000,24000,216000,96000,S,134000
5585,r033,All degree levels -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All degree levels,S&E occupations,Engineers,Postsecondary teachers - engineering,,4,61000,0.05,6000,19000,33000,2000
5585,r034,All degree levels -> S&E-related occupations,All degree levels,S&E-related occupations,,,,2,8893000,228000,1632000,515000,1146000,5372000
5585,r035,All degree levels -> S&E-related occupations -> Health-related occupations,All degree levels,S&E-related occupations,Health-related occupations,,,3,5728000,20000,554000,234000,292000,4628000
5585,r036,All degree levels -> S&E-related occupations -> S&E managers,All degree levels,S&E-related occupations,S&E managers,,,3,999000,43000,714000,41000,S,198000
5585,r037,All degree levels -> S&E-related occupations -> S&E precollege teachers,All degree levels,S&E-related occupations,S&E precollege teachers,,,3,925000,,51000,7000,848000,18000
5585,r038,All degree levels -> S&E-related occupations -> S&E technicians and technologists,All degree levels,S&E-related occupations,S&E technicians and technologists,,,3,973000,154000,235000,200000,4000,380000
5585,r039,All degree levels -> S&E-related occupations -> Other S&E-related occupations,All degree levels,S&E-related occupations,Other S&E-related occupations,,,3,270000,11000,78000,33000,,147000
5585,r040,All degree levels -> Non-S&E occupations,All degree levels,Non-S&E occupations,,,,2,34165000,305000,18733000,1528000,5479000,8119000
5585,r041,All degree levels -> Non-S&E occupations -> Non-S&E managers,All degree levels,Non-S&E occupations,Non-S&E managers,,,3,4627000,82000,3969000,138000,48000,391000
