table_id,row_id,sex_occupation_and_age_full_path,sex_occupation_and_age_level_1,sex_occupation_and_age_level_2,sex_occupation_and_age_level_3,sex_occupation_and_age_level_4,sex_occupation_and_age_level_5,sex_occupation_and_age_hierarchy_depth,field_total,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability,field_u_s_citizen,field_non_u_s_citizen
5587,r001,"Both sexes, all occupations","Both sexes, all occupations",,,,,1,73000,65000,50000,90000,59000,95000,75000,65000,75000,68000,73000,83000
5587,r002,"Both sexes, all occupations -> 29 and younger","Both sexes, all occupations",29 and younger,,,,2,50000,47000,S,67000,46000,57000,50000,50000,50000,50000,50000,70000
5587,r003,"Both sexes, all occupations -> 30&#8211;39","Both sexes, all occupations",30&#8211;39,,,,2,70000,65000,50000,90000,54000,75000,70000,65000,71000,56000,70000,90000
5587,r004,"Both sexes, all occupations -> 40&#8211;49","Both sexes, all occupations",40&#8211;49,,,,2,83000,74000,80000,110000,59000,99000,84000,77000,85000,74000,82000,100000
5587,r005,"Both sexes, all occupations -> 50&#8211;75","Both sexes, all occupations",50&#8211;75,,,,2,85000,80000,63000,97000,70000,106000,87000,84000,87000,77000,85000,69000
5587,r006,"Both sexes, all occupations -> S&E occupations","Both sexes, all occupations",S&E occupations,,,,2,95000,80000,S,104000,84000,80000,95000,90000,95000,92000,94000,100000
5587,r007,"Both sexes, all occupations -> S&E occupations -> 29 and younger","Both sexes, all occupations",S&E occupations,29 and younger,,,3,67000,55000,S,78000,64000,S,65000,70000,68000,58000,66000,80000
5587,r008,"Both sexes, all occupations -> S&E occupations -> 30&#8211;39","Both sexes, all occupations",S&E occupations,30&#8211;39,,,3,90000,80000,S,100000,73000,122000,90000,99000,90000,82000,87000,100000
5587,r009,"Both sexes, all occupations -> S&E occupations -> 40&#8211;49","Both sexes, all occupations",S&E occupations,40&#8211;49,,,3,105000,95000,S,120000,84000,113000,105000,91000,106000,102000,105000,119000
5587,r010,"Both sexes, all occupations -> S&E occupations -> 50&#8211;75","Both sexes, all occupations",S&E occupations,50&#8211;75,,,3,110000,103000,S,119000,100000,S,110000,120000,110000,108000,110000,110000
5587,r011,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,,3,66000,48000,59000,70000,59000,,69000,57000,66000,68000,69000,54000
5587,r012,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,,4,40000,31000,,40000,49000,,41000,49000,40000,35000,40000,49000
5587,r013,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,,4,61000,57000,,55000,59000,,62000,79000,60000,104000,64000,53000
5587,r014,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,,4,91000,69000,,104000,77000,,90000,119000,94000,68000,93000,75000
5587,r015,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,,4,98000,93000,,99000,115000,,98000,,98000,95000,100000,60000
5587,r016,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,,,3,100000,82000,S,110000,84000,S,100000,94000,100000,96000,99000,110000
5587,r017,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,29 and younger,,4,75000,58000,,90000,71000,,69000,72000,75000,63000,70000,95000
5587,r018,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,30&#8211;39,,4,98000,82000,S,106000,72000,S,95000,105000,99000,85000,90000,109000
5587,r019,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,40&#8211;49,,4,110000,95000,,119000,84000,,109000,83000,110000,114000,107000,125000
5587,r020,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,50&#8211;75,,4,109000,99000,,119000,96000,S,108000,138000,110000,105000,109000,118000
5587,r021,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists","Both sexes, all occupations",S&E occupations,Physical and related scientists,,,3,72000,55000,,65000,59000,S,75000,55000,73000,60000,74000,58000
5587,r022,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,Physical and related scientists,29 and younger,,4,38000,31000,,30000,S,,39000,S,36000,S,39000,31000
5587,r023,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Physical and related scientists,30&#8211;39,,4,68000,54000,,65000,50000,,75000,57000,68000,78000,70000,60000
5587,r024,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Physical and related scientists,40&#8211;49,,4,90000,49000,,97000,S,,93000,S,93000,80000,90000,117000
5587,r025,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Physical and related scientists,50&#8211;75,,4,107000,98000,,110000,96000,,107000,,107000,81000,105000,160000
5587,r026,"Both sexes, all occupations -> S&E occupations -> Social and related scientists","Both sexes, all occupations",S&E occupations,Social and related scientists,,,3,75000,70000,S,79000,82000,S,78000,69000,76000,70000,75000,78000
5587,r027,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,Social and related scientists,29 and younger,,4,46000,S,,49000,57000,,51000,,46000,S,46000,48000
5587,r028,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Social and related scientists,30&#8211;39,,4,72000,78000,,64000,82000,,71000,69000,73000,67000,72000,78000
5587,r029,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Social and related scientists,40&#8211;49,,4,79000,70000,,128000,82000,S,79000,62000,79000,94000,79000,97000
5587,r030,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Social and related scientists,50&#8211;75,,4,98000,81000,,100000,91000,,99000,73000,100000,89000,98000,90000
5587,r031,"Both sexes, all occupations -> S&E occupations -> Engineers","Both sexes, all occupations",S&E occupations,Engineers,,,3,100000,94000,110000,100000,89000,84000,100000,100000,100000,100000,100000,92000
5587,r032,"Both sexes, all occupations -> S&E occupations -> Engineers -> 29 and younger","Both sexes, all occupations",S&E occupations,Engineers,29 and younger,,4,74000,71000,,78000,67000,S,75000,72000,74000,73000,74000,74000
5587,r033,"Both sexes, all occupations -> S&E occupations -> Engineers -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Engineers,30&#8211;39,,4,96000,87000,S,98000,86000,S,97000,100000,97000,84000,97000,96000
5587,r034,"Both sexes, all occupations -> S&E occupations -> Engineers -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Engineers,40&#8211;49,,4,112000,108000,,125000,84000,,110000,100000,114000,91000,111000,119000
