table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
5623,r001,All states,All states,,1,"['    4,526,838 ', '&nbsp;']","['    3,570,660 ', '&nbsp;']","['    175,207 ', '&nbsp;']","['    196,003 ', '&nbsp;']","['    34,019 ', '&nbsp;']","['    10,459 ', '&nbsp;']","['    13,871 ', '&nbsp;']","['    506,856 ', '&nbsp;']","['    17,078 ', '&nbsp;']","['D', '&nbsp;']"
5623,r002,All states -> Alabama,All states,Alabama,2,"['    27,715 ', '&nbsp;']","['    24,475 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r003,All states -> Alaska,All states,Alaska,2,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r004,All states -> Arizona,All states,Arizona,2,"['    83,639 ', '&nbsp;']","['    68,365 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r005,All states -> Arkansas,All states,Arkansas,2,"['    18,212 ', '&nbsp;']","['    7,017 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r006,All states -> California,All states,California,2,"['    1,506,256 ', '&nbsp;']","['    1,241,805 ', '&nbsp;']","['    63,471 ', '&nbsp;']","['    30,614 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    151,389 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5623,r007,All states -> Colorado,All states,Colorado,2,"['    106,763 ', '&nbsp;']","['    91,874 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    12,309 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5623,r008,All states -> Connecticut,All states,Connecticut,2,"['    44,829 ', '&nbsp;']","['    32,802 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5623,r009,All states -> Delaware,All states,Delaware,2,"['    48,667 ', '&nbsp;']","['    42,758 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']"
5623,r010,All states -> District of Columbia,All states,District of Columbia,2,"['    8,648 ', '&nbsp;']","['    7,272 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
