table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_services_innovation_number_yes,field_services_innovation_number_no,field_services_innovation_percent_yes,field_services_innovation_percent_no
5638,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['    4,805,151 ', '&nbsp;']","['    723,571 ', '&nbsp;']","['    4,081,580 ', '&nbsp;']","['    15.1 ', '&nbsp;']","['    84.9 ', '&nbsp;']"
5638,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['    217,565 ', '&nbsp;']","['    17,236 ', '&nbsp;']","['    200,329 ', '&nbsp;']","['    7.9 ', '&nbsp;']","['    92.1 ', '&nbsp;']"
5638,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['    18,250 ', '&nbsp;']","['    1,047 ', '&nbsp;']","['    17,203 ', '&nbsp;']","['    5.7 ', '&nbsp;']","['    94.3 ', '&nbsp;']"
5638,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['    7,723 ', '&nbsp;']","['    719 ', '&nbsp;']","['    7,004 ', '&nbsp;']","['    9.3 ', '&nbsp;']","['    90.7 ', '&nbsp;']"
5638,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['    10,554 ', '&nbsp;']","['    869 ', '&nbsp;']","['    9,685 ', '&nbsp;']","['    8.2 ', '&nbsp;']","['    91.8 ', '&nbsp;']"
5638,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['    11,012 ', '&nbsp;']","['    566 ', '&nbsp;']","['    10,446 ', '&nbsp;']","['    5.1 ', '&nbsp;']","['    94.9 ', '&nbsp;']"
5638,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['    2,117 ', '&nbsp;']","['    86 ', 'r']","['    2,031 ', '&nbsp;']","['    4.1 ', 'r']","['    95.9 ', '&nbsp;']"
5638,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['    20,851 ', '&nbsp;']","['    2,728 ', '&nbsp;']","['    18,123 ', '&nbsp;']","['    13.1 ', '&nbsp;']","['    86.9 ', '&nbsp;']"
5638,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['    583 ', '&nbsp;']","['    31 ', 'r']","['    552 ', '&nbsp;']","['    5.3 ', 'r']","['    94.7 ', '&nbsp;']"
5638,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['    7,522 ', '&nbsp;']","['    529 ', '&nbsp;']","['    6,993 ', '&nbsp;']","['    7.0 ', '&nbsp;']","['    93.0 ', '&nbsp;']"
5638,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical manufacturing",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical manufacturing",,4,3253,"['    593 ', '&nbsp;']","['    74 ', 'r']","['    519 ', '&nbsp;']","['    12.5 ', 'r']","['    87.5 ', '&nbsp;']"
5638,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['    1,365 ', '&nbsp;']","['    126 ', '&nbsp;']","['    1,239 ', '&nbsp;']","['    9.2 ', '&nbsp;']","['    90.8 ', '&nbsp;']"
5638,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation manufacturing",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation manufacturing",,4,3256,"['    1,636 ', '&nbsp;']","['    70 ', '&nbsp;']","['    1,566 ', '&nbsp;']","['    4.3 ', '&nbsp;']","['    95.7 ', '&nbsp;']"
5638,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['    3,927 ', '&nbsp;']","['    257 ', '&nbsp;']","['    3,670 ', '&nbsp;']","['    6.5 ', '&nbsp;']","['    93.5 ', '&nbsp;']"
5638,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['    8,087 ', '&nbsp;']","['    341 ', '&nbsp;']","['    7,746 ', '&nbsp;']","['    4.2 ', '&nbsp;']","['    95.8 ', '&nbsp;']"
5638,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['    7,749 ', '&nbsp;']","['    571 ', '&nbsp;']","['    7,178 ', '&nbsp;']","['    7.4 ', '&nbsp;']","['    92.6 ', '&nbsp;']"
5638,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['    2,537 ', '&nbsp;']","['    77 ', '&nbsp;']","['    2,460 ', '&nbsp;']","['    3.0 ', '&nbsp;']","['    97.0 ', '&nbsp;']"
