table_id,row_id,degree_and_institution_type_full_path,degree_and_institution_type_level_1,degree_and_institution_type_level_2,degree_and_institution_type_hierarchy_depth,field_all_fields,field_all_s_e,field_agricultural_sciences,field_biological_sciences,field_computer_sciences,field_earth_atmospheric_and_ocean_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering
5772,r001,Associate&#8217;s,Associate&#8217;s,,1,1045129,104435,2948,7445,31939,156,4631,6943,14481,29400,6492
5772,r002,Associate&#8217;s -> Doctoral universities: very high research activity,Associate&#8217;s,Doctoral universities: very high research activity,2,2629,69,59,0,7,0,0,0,0,3,0
5772,r003,Associate&#8217;s -> Doctoral universities: high research activity,Associate&#8217;s,Doctoral universities: high research activity,2,6065,280,62,0,151,0,1,1,0,63,2
5772,r004,Associate&#8217;s -> Doctoral/ professional universities,Associate&#8217;s,Doctoral/ professional universities,2,16509,1435,0,9,1041,0,0,0,185,196,4
5772,r005,Associate&#8217;s -> Master's colleges and universities,Associate&#8217;s,Master's colleges and universities,2,53025,3247,25,156,2135,0,56,102,236,460,77
5772,r006,Associate&#8217;s -> Baccalaureate colleges,Associate&#8217;s,Baccalaureate colleges,2,70838,3444,234,80,2093,1,6,335,53,510,132
5772,r007,Associate&#8217;s -> Associate's colleges,Associate&#8217;s,Associate's colleges,2,841275,94200,2442,7126,25931,146,4564,6465,13982,27318,6226
5772,r008,Associate&#8217;s -> Medical schools and medical centers,Associate&#8217;s,Medical schools and medical centers,2,204,0,0,0,0,0,0,0,0,0,0
5772,r009,Associate&#8217;s -> Schools of engineering,Associate&#8217;s,Schools of engineering,2,4,1,0,0,0,0,0,0,0,0,1
5772,r010,Associate&#8217;s -> Other specialized institutions,Associate&#8217;s,Other specialized institutions,2,49011,1391,77,64,504,0,0,40,1,678,27
5772,r011,Associate&#8217;s -> Tribal colleges,Associate&#8217;s,Tribal colleges,2,1659,305,49,10,38,9,4,0,9,168,18
5772,r012,Associate&#8217;s -> Not classified,Associate&#8217;s,Not classified,2,3910,63,0,0,39,0,0,0,15,4,5
5772,r013,Bachelor&#8217;s,Bachelor&#8217;s,,1,2034071,724947,33472,127415,89421,6997,28252,23562,117638,169005,129185
5772,r014,Bachelor&#8217;s -> Doctoral universities: very high research activity,Bachelor&#8217;s,Doctoral universities: very high research activity,2,642930,320495,16105,56252,33533,3351,14454,9843,35595,75541,75821
5772,r015,Bachelor&#8217;s -> Doctoral universities: high research activity,Bachelor&#8217;s,Doctoral universities: high research activity,2,312681,111737,4747,19661,12502,1056,3631,3378,17829,22632,26301
5772,r016,Bachelor&#8217;s -> Doctoral/ professional universities,Bachelor&#8217;s,Doctoral/ professional universities,2,189804,45589,1718,8095,6705,265,1367,1418,10696,11192,4133
5772,r017,Bachelor&#8217;s -> Master's colleges and universities,Bachelor&#8217;s,Master's colleges and universities,2,636782,177222,7641,28760,27031,1701,6074,5630,41990,40682,17713
5772,r018,Bachelor&#8217;s -> Baccalaureate colleges,Bachelor&#8217;s,Baccalaureate colleges,2,175661,64048,3149,14041,6775,601,2695,3263,10893,18707,3924
5772,r019,Bachelor&#8217;s -> Associate's colleges,Bachelor&#8217;s,Associate's colleges,2,6037,844,72,14,749,0,0,0,0,0,9
5772,r020,Bachelor&#8217;s -> Medical schools and medical centers,Bachelor&#8217;s,Medical schools and medical centers,2,6245,10,0,9,0,1,0,0,0,0,0
5772,r021,Bachelor&#8217;s -> Schools of engineering,Bachelor&#8217;s,Schools of engineering,2,1505,1431,0,25,130,20,26,17,0,0,1213
5772,r022,Bachelor&#8217;s -> Other specialized institutions,Bachelor&#8217;s,Other specialized institutions,2,60371,3234,3,537,1964,0,5,12,528,128,57
5772,r023,Bachelor&#8217;s -> Tribal colleges,Bachelor&#8217;s,Tribal colleges,2,368,121,34,4,5,2,0,0,17,57,2
5772,r024,Bachelor&#8217;s -> Not classified,Bachelor&#8217;s,Not classified,2,1687,216,3,17,27,0,0,1,90,66,12
5772,r025,Master&#8217;s,Master&#8217;s,,1,839563,209566,6754,18054,45754,2093,13639,4806,26388,39003,53075
5772,r026,Master&#8217;s -> Doctoral universities: very high research activity,Master&#8217;s,Doctoral universities: very high research activity,2,289555,109492,4346,9707,22307,1354,8950,3143,3161,19830,36694
5772,r027,Master&#8217;s -> Doctoral universities: high research activity,Master&#8217;s,Doctoral universities: high research activity,2,119221,33607,1051,2604,6875,494,2088,1030,3327,6644,9494
5772,r028,Master&#8217;s -> Doctoral/ professional universities,Master&#8217;s,Doctoral/ professional universities,2,131651,20444,227,1919,4944,45,566,169,7787,3465,1322
5772,r029,Master&#8217;s -> Master's colleges and universities,Master&#8217;s,Master's colleges and universities,2,232367,38368,1052,1982,10748,193,1762,429,9246,7908,5048
5772,r030,Master&#8217;s -> Baccalaureate colleges,Master&#8217;s,Baccalaureate colleges,2,12866,1697,75,188,281,0,17,29,266,765,76
5772,r031,Master&#8217;s -> Associate's colleges,Master&#8217;s,Associate's colleges,2,0,0,0,0,0,0,0,0,0,0,0
5772,r032,Master&#8217;s -> Medical schools and medical centers,Master&#8217;s,Medical schools and medical centers,2,11127,1700,2,1443,0,0,0,3,115,102,35
5772,r033,Master&#8217;s -> Schools of engineering,Master&#8217;s,Schools of engineering,2,366,297,0,0,16,7,0,1,0,0,273
5772,r034,Master&#8217;s -> Other specialized institutions,Master&#8217;s,Other specialized institutions,2,42236,3874,0,138,583,0,256,2,2481,281,133
5772,r035,Master&#8217;s -> Tribal colleges,Master&#8217;s,Tribal colleges,2,31,9,1,0,0,0,0,0,0,8,0
5772,r036,Master&#8217;s -> Not classified,Master&#8217;s,Not classified,2,143,78,0,73,0,0,0,0,5,0,0
5772,r037,Doctoral,Doctoral,,1,74015,47753,1442,14946,2174,961,2009,5313,4297,5281,11330
5772,r038,Doctoral -> Doctoral universities: very high research activity,Doctoral,Doctoral universities: very high research activity,2,48403,35517,1216,9455,1718,846,1786,4608,1763,4314,9811
5772,r039,Doctoral -> Doctoral universities: high research activity,Doctoral,Doctoral universities: high research activity,2,10252,5981,193,1723,304,109,216,651,913,514,1358
5772,r040,Doctoral -> Doctoral/ professional universities,Doctoral,Doctoral/ professional universities,2,9976,3413,6,1760,107,0,3,0,1189,307,41
5772,r041,Doctoral -> Master's colleges and universities,Doctoral,Master's colleges and universities,2,2069,402,23,97,20,3,0,11,107,90,51
5772,r042,Doctoral -> Baccalaureate colleges,Doctoral,Baccalaureate colleges,2,157,18,0,5,0,0,4,7,0,2,0
5772,r043,Doctoral -> Medical schools and medical centers,Doctoral,Medical schools and medical centers,2,1892,1823,4,1654,5,2,0,31,35,35,57
5772,r044,Doctoral -> Schools of engineering,Doctoral,Schools of engineering,2,15,15,0,0,0,1,0,2,0,0,12
5772,r045,Doctoral -> Other specialized institutions,Doctoral,Other specialized institutions,2,1230,563,0,233,20,0,0,3,288,19,0
5772,r046,Doctoral -> Not classified,Doctoral,Not classified,2,21,21,0,19,0,0,0,0,2,0,0
