table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
5783,r001,2019 -> Total ,All fields,,1,418660
5783,r002,2019 -> Total ,S&E,All S&E fields,2,174920
5783,r003,2019 -> Total ,S&E,Engineering,2,50860
5783,r004,2019 -> Total ,S&E,Agricultural sciences,2,3030
5783,r005,2019 -> Total ,S&E,Biological sciences,2,17510
5783,r006,2019 -> Total ,S&E,Computer sciences,2,37440
5783,r007,2019 -> Total ,S&E,Mathematics and statistics,2,16930
5783,r008,2019 -> Total ,S&E,Physical sciences,2,8010
5783,r009,2019 -> Total ,S&E,Psychology,2,10460
5783,r010,2019 -> Total ,S&E,Social sciences,2,30690
5783,r011,2019 -> Total ,Non-S&E,,1,243730
5783,r012,2019 -> Total  -> China,All fields,,1,139090
5783,r013,2019 -> Total  -> China,S&E,All S&E fields,2,62990
5783,r014,2019 -> Total  -> China,S&E,Engineering,2,11310
5783,r015,2019 -> Total  -> China,S&E,Agricultural sciences,2,1290
5783,r016,2019 -> Total  -> China,S&E,Biological sciences,2,4190
5783,r017,2019 -> Total  -> China,S&E,Computer sciences,2,12430
5783,r018,2019 -> Total  -> China,S&E,Mathematics and statistics,2,12300
5783,r019,2019 -> Total  -> China,S&E,Physical sciences,2,3390
5783,r020,2019 -> Total  -> China,S&E,Psychology,2,3600
5783,r021,2019 -> Total  -> China,S&E,Social sciences,2,14490
5783,r022,2019 -> Total  -> China,Non-S&E,,1,76090
5783,r023,2019 -> Total  -> India,All fields,,1,22760
5783,r024,2019 -> Total  -> India,S&E,All S&E fields,2,13200
5783,r025,2019 -> Total  -> India,S&E,Engineering,2,4510
5783,r026,2019 -> Total  -> India,S&E,Agricultural sciences,2,100
5783,r027,2019 -> Total  -> India,S&E,Biological sciences,2,1200
5783,r028,2019 -> Total  -> India,S&E,Computer sciences,2,4200
5783,r029,2019 -> Total  -> India,S&E,Mathematics and statistics,2,600
5783,r030,2019 -> Total  -> India,S&E,Physical sciences,2,450
5783,r031,2019 -> Total  -> India,S&E,Psychology,2,530
5783,r032,2019 -> Total  -> India,S&E,Social sciences,2,1600
5783,r033,2019 -> Total  -> India,Non-S&E,,1,9560
5783,r034,2019 -> Total  -> South Korea,All fields,,1,23740
5783,r035,2019 -> Total  -> South Korea,S&E,All S&E fields,2,8710
5783,r036,2019 -> Total  -> South Korea,S&E,Engineering,2,2060
5783,r037,2019 -> Total  -> South Korea,S&E,Agricultural sciences,2,140
5783,r038,2019 -> Total  -> South Korea,S&E,Biological sciences,2,960
5783,r039,2019 -> Total  -> South Korea,S&E,Computer sciences,2,2170
5783,r040,2019 -> Total  -> South Korea,S&E,Mathematics and statistics,2,700
5783,r041,2019 -> Total  -> South Korea,S&E,Physical sciences,2,460
5783,r042,2019 -> Total  -> South Korea,S&E,Psychology,2,640
5783,r043,2019 -> Total  -> South Korea,S&E,Social sciences,2,1590
5783,r044,2019 -> Total  -> South Korea,Non-S&E,,1,15020
5783,r045,2019 -> Total  -> Saudi Arabia,All fields,,1,17390
5783,r046,2019 -> Total  -> Saudi Arabia,S&E,All S&E fields,2,8030
5783,r047,2019 -> Total  -> Saudi Arabia,S&E,Engineering,2,5070
5783,r048,2019 -> Total  -> Saudi Arabia,S&E,Agricultural sciences,2,30
5783,r049,2019 -> Total  -> Saudi Arabia,S&E,Biological sciences,2,450
5783,r050,2019 -> Total  -> Saudi Arabia,S&E,Computer sciences,2,1440
5783,r051,2019 -> Total  -> Saudi Arabia,S&E,Mathematics and statistics,2,70
5783,r052,2019 -> Total  -> Saudi Arabia,S&E,Physical sciences,2,360
5783,r053,2019 -> Total  -> Saudi Arabia,S&E,Psychology,2,140
5783,r054,2019 -> Total  -> Saudi Arabia,S&E,Social sciences,2,470
5783,r055,2019 -> Total  -> Saudi Arabia,Non-S&E,,1,9360
5783,r056,2019 -> Total  -> Vietnam,All fields,,1,18000
5783,r057,2019 -> Total  -> Vietnam,S&E,All S&E fields,2,6700
5783,r058,2019 -> Total  -> Vietnam,S&E,Engineering,2,1750
5783,r059,2019 -> Total  -> Vietnam,S&E,Agricultural sciences,2,70
5783,r060,2019 -> Total  -> Vietnam,S&E,Biological sciences,2,1090
5783,r061,2019 -> Total  -> Vietnam,S&E,Computer sciences,2,2140
