table_id,row_id,rank,broad_field_and_baccalaureate_origin_institution,doctorate_recipients,institutional_control,2018_carnegie_classification
6011,r001,,Life sciencesa,,,
6011,r002,1,"U. California, Berkeley",1506,Public,R1: doctoral universities
6011,r003,2,U. Wisconsin-Madison,1320,Public,R1: doctoral universities
6011,r004,3,Cornell U.,1245,Private,R1: doctoral universities
6011,r005,4,"U. California, Davis",1073,Public,R1: doctoral universities
6011,r006,5,"U. Michigan, Ann Arbor",951,Public,R1: doctoral universities
6011,r007,6,"U. California, Los Angeles",923,Public,R1: doctoral universities
6011,r008,7,"U. California, San Diego",919,Public,R1: doctoral universities
6011,r009,8,"U. Illinois, Urbana-Champaign",911,Public,R1: doctoral universities
6011,r010,9,U. Florida,866,Public,R1: doctoral universities
6011,r011,10,"Pennsylvania State U., University Park and Hershey Medical Center",841,Public,R1: doctoral universities
6011,r012,,Physical sciences and earth sciences,,,
6011,r013,1,"U. California, Berkeley",742,Public,R1: doctoral universities
6011,r014,2,Cornell U.,502,Private,R1: doctoral universities
6011,r015,3,Massachusetts Institute of Technology,421,Private,R1: doctoral universities
6011,r016,4,"U. Michigan, Ann Arbor",370,Public,R1: doctoral universities
6011,r017,5,California Institute of Technology,350,Private,R1: doctoral universities
6011,r018,5,"Pennsylvania State U., University Park and Hershey Medical Center",350,Public,R1: doctoral universities
6011,r019,7,"U. Illinois, Urbana-Champaign",349,Public,R1: doctoral universities
6011,r020,8,U. Wisconsin-Madison,335,Public,R1: doctoral universities
6011,r021,9,"U. Washington, Seattle",310,Public,R1: doctoral universities
6011,r022,10,"U. California, San Diego",305,Public,R1: doctoral universities
6011,r023,,Mathematics and computer sciences,,,
6011,r024,1,"U. California, Berkeley",392,Public,R1: doctoral universities
6011,r025,2,Massachusetts Institute of Technology,322,Private,R1: doctoral universities
6011,r026,3,Carnegie Mellon U.,227,Private,R1: doctoral universities
6011,r027,4,Harvard U.,223,Private,R1: doctoral universities
6011,r028,5,Princeton U.,200,Private,R1: doctoral universities
6011,r029,6,U. Chicago,199,Private,R1: doctoral universities
6011,r030,7,Cornell U.,198,Private,R1: doctoral universities
6011,r031,8,"U. Michigan, Ann Arbor",196,Public,R1: doctoral universities
6011,r032,9,"Brigham Young U., Provo",191,Private,R2: doctoral universities
6011,r033,10,"U. Illinois, Urbana-Champaign",190,Public,R1: doctoral universities
6011,r034,,Psychology and social sciences ,,,
6011,r035,1,"U. California, Berkeley",1036,Public,R1: doctoral universities
6011,r036,2,"U. Michigan, Ann Arbor",827,Public,R1: doctoral universities
6011,r037,3,"U. California, Los Angeles",733,Public,R1: doctoral universities
6011,r038,4,Harvard U.,663,Private,R1: doctoral universities
6011,r039,5,U. Florida,638,Public,R1: doctoral universities
6011,r040,6,"Brigham Young U., Provo",635,Private,R2: doctoral universities
6011,r041,7,Cornell U.,613,Private,R1: doctoral universities
6011,r042,8,"U. Texas, Austin",606,Public,R1: doctoral universities
6011,r043,9,New York U.,564,Private,R1: doctoral universities
6011,r044,10,U. Wisconsin-Madison,532,Public,R1: doctoral universities
6011,r045,,Engineering,,,
6011,r046,1,"U. California, Berkeley",910,Public,R1: doctoral universities
6011,r047,2,Massachusetts Institute of Technology,834,Private,R1: doctoral universities
6011,r048,3,Georgia Institute of Technology,808,Public,R1: doctoral universities
6011,r049,4,"U. Michigan, Ann Arbor",762,Public,R1: doctoral universities
6011,r050,5,"U. Illinois, Urbana-Champaign",761,Public,R1: doctoral universities
6011,r051,6,U. Florida,721,Public,R1: doctoral universities
6011,r052,7,"Purdue U., West Lafayette",708,Public,R1: doctoral universities
6011,r053,8,Cornell U.,704,Private,R1: doctoral universities
6011,r054,9,"Pennsylvania State U., University Park and Hershey Medical Center",614,Public,R1: doctoral universities
