table_id,row_id,_b_mechanism_of_support_b_full_path,_b_mechanism_of_support_b_level_1,_b_mechanism_of_support_b_level_2,_b_mechanism_of_support_b_level_3,_b_mechanism_of_support_b_hierarchy_depth,field_all_doctoral_degree_types,field_doctoral_degree,field_professional_degree,field_dual_degree,field_doctoral_degree_type_unknown
6024,r001,Imputation rate (%),Imputation rate (%),,,1,,,,,
6024,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,2,4.5,7.7,7.7,6.9,6.0
6024,r003,Imputation rate (%) -> All postdoctoral appointees -> Fellowships,Imputation rate (%),All postdoctoral appointees,Fellowships,3,9.6,11.7,5.2,27.1,20.2
6024,r004,Imputation rate (%) -> All postdoctoral appointees -> Research grant,Imputation rate (%),All postdoctoral appointees,Research grant,3,8.7,8.7,11.1,3.0,13.6
6024,r005,Imputation rate (%) -> All postdoctoral appointees -> Traineeship,Imputation rate (%),All postdoctoral appointees,Traineeship,3,7.1,7.4,10.9,9.8,2.3
6024,r006,Imputation rate (%) -> All postdoctoral appointees -> Other support,Imputation rate (%),All postdoctoral appointees,Other support,3,8.4,10.1,7.9,6.6,10.9
6024,r007,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents,3,9.1,12.9,9.1,11.4,14.8
6024,r008,Imputation rate (%) -> All postdoctoral appointees -> Foreign nationals with temporary visa,Imputation rate (%),All postdoctoral appointees,Foreign nationals with temporary visa,3,6.9,7.9,8.9,3.3,13.5
6024,r009,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,,,
6024,r010,Number imputed<sup>a</sup> -> All postdoctoral appointees,Number imputed<sup>a</sup>,All postdoctoral appointees,,2,2927,3765,335,133,633
6024,r011,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Fellowships,Number imputed<sup>a</sup>,All postdoctoral appointees,Fellowships,3,662,524,38,76,286
6024,r012,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Research grant,Number imputed<sup>a</sup>,All postdoctoral appointees,Research grant,3,3502,2779,153,33,807
6024,r013,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Traineeship,Number imputed<sup>a</sup>,All postdoctoral appointees,Traineeship,3,237,156,64,13,12
6024,r014,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Other support,Number imputed<sup>a</sup>,All postdoctoral appointees,Other support,3,1266,1042,131,27,291
6024,r015,Number imputed<sup>a</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents,Number imputed<sup>a</sup>,All postdoctoral appointees,U.S. citizens and permanent residents,3,2720,2733,227,98,791
6024,r016,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Foreign nationals with temporary visa,Number imputed<sup>a</sup>,All postdoctoral appointees,Foreign nationals with temporary visa,3,2453,2190,167,35,702
