table_id,row_id,2020_broad_field,2020_gss_code,2020_detailed_field,2019_gss_code,2019_detailed_field,changes
6030,r001,Agricultural and veterinary sciences,501,Agricultural sciences,501,Agricultural sciences,
6030,r002,,502,Veterinary biomedical and clinical sciences,721,Veterinary biomedical and clinical sciences,Moved from Other health broad field to reflect change in CIP; GSS code changed to reflect this move. 
6030,r003,Biological and biomedical sciences,602,Biochemistry,602,Biochemistry,
6030,r004,,603,Biology ,603,Biology ,
6030,r005,,605,Biophysics,605,Biophysics,
6030,r006,,606,Botany and plant biology,606,Botany and plant biology,
6030,r007,,610,Genetics,610,Genetics,
6030,r008,,611,Microbiological sciences and immunology,611,Microbiological sciences and immunology,New CIP code added.
6030,r009,,612,Nutrition science,612,Nutrition science,
6030,r010,,613,Pathology and experimental pathology,613,Pathology and experimental pathology,
6030,r011,,614,Pharmacology and toxicology,614,Pharmacology and toxicology,
6030,r012,,615,Physiology,615,Physiology,New CIP code added.
6030,r013,,616,Zoology and animal biology,616,Zoology and animal biology,
6030,r014,,617,Biological and biomedical sciences nec,617,Biological and biomedical sciences nec,
6030,r015,,618,Biostatistics and bioinformatics ,618,Biostatistics and bioinformatics ,
6030,r016,,619,"Cell, cellular biology, and anatomical sciences",619,"Cell, cellular biology, and anatomical sciences",
6030,r017,,620,Ecology and population biology,620,Ecology and population biology,
6030,r018,,621,Epidemiology,621,Epidemiology,New CIP code added.
6030,r019,,622,Molecular biology,622,Molecular biology,
6030,r020,,623,Biomedical sciences,623,Biomedical sciences,
6030,r021,,624,Biotechnology,624,Biotechnology,
6030,r022,,950,Neurobiology and neuroscience,950,Neurobiology and neuroscience,
6030,r023,Computer and information sciences,410,Computer science,410,Computer science,
6030,r024,,411,Computer and information science,411,Computer and information science,"Code 411 split into 411, 414, and 416."
6030,r025,,414,Information technology,411,Computer and information science,"New code, split from 411."
6030,r026,,416,"Artificial intelligence, informatics and computer and information science topics ",411,Computer and information science,"New code, split from 411."
6030,r027,,412,"Computer and information science, nec ",412,Computer and information science nec,"Code 412 split into 412, 413, and 415."
6030,r028,,413,Computer and information systems security ,412,Computer and information science nec,"New code, split from 412."
6030,r029,,415,Information science and studies,412,Computer and information science nec,"New code, split from 412."
6030,r030,"Geoscience, atmospheric, and ocean sciences ",301,Atmospheric sciences and meteorology,301,Atmospheric sciences and meteorology,
6030,r031,,302,Geological and earth sciences,302,Geological and earth sciences,New CIP code added.
6030,r032,,303,Ocean and marine sciences,303,Ocean and marine sciences,New CIP code added.
6030,r033,,304,"Geoscience, atmospheric, and ocean sciences nec",304,"Geoscience, atmospheric, and ocean sciences nec",
6030,r034,Mathematics and statistics,404,Applied mathematics,402,Mathematics and applied mathematics,New code split from 402; 402 was retired.
6030,r035,,405,Mathematics,402,Mathematics and applied mathematics,New code split from 402; 402 was retired. New CIP code added. 
6030,r036,,403,Statistics,403,Statistics ,New CIP code added.
