table_id,row_id,time_period,column_level_1,column_level_2,column_level_3,column_hierarchy_depth,value
6068,r001,1975,Total,,,1,219648
6068,r002,1975,Fellowships,Number,,2,37163
6068,r003,1975,Fellowships,Percent,,2,16.9
6068,r004,1975,Research assistantships,Number,,2,39964
6068,r005,1975,Research assistantships,Percent,,2,18.2
6068,r006,1975,Teaching assistantships,Number,,2,47156
6068,r007,1975,Teaching assistantships,Percent,,2,21.5
6068,r008,1975,Traineeships,Number,,2,na
6068,r009,1975,Traineeships,Percent,,2,na
6068,r010,1975,Other types of support,Self-support,Number,3,79860
6068,r011,1975,Other types of support,Self-support,Percent,3,36.4
6068,r012,1975,Other types of support,Other,Number,3,15505
6068,r013,1975,Other types of support,Other,Percent,3,7.1
6068,r014,1976,Total,,,1,223412
6068,r015,1976,Fellowships,Number,,2,36200
6068,r016,1976,Fellowships,Percent,,2,16.2
6068,r017,1976,Research assistantships,Number,,2,42555
6068,r018,1976,Research assistantships,Percent,,2,19.0
6068,r019,1976,Teaching assistantships,Number,,2,48124
6068,r020,1976,Teaching assistantships,Percent,,2,21.5
6068,r021,1976,Traineeships,Number,,2,na
6068,r022,1976,Traineeships,Percent,,2,na
6068,r023,1976,Other types of support,Self-support,Number,3,74428
6068,r024,1976,Other types of support,Self-support,Percent,3,33.3
6068,r025,1976,Other types of support,Other,Number,3,22105
6068,r026,1976,Other types of support,Other,Percent,3,9.9
6068,r027,1977,Total,,,1,226738
6068,r028,1977,Fellowships,Number,,2,37679
6068,r029,1977,Fellowships,Percent,,2,16.6
6068,r030,1977,Research assistantships,Number,,2,43657
6068,r031,1977,Research assistantships,Percent,,2,19.3
6068,r032,1977,Teaching assistantships,Number,,2,48481
6068,r033,1977,Teaching assistantships,Percent,,2,21.4
6068,r034,1977,Traineeships,Number,,2,na
6068,r035,1977,Traineeships,Percent,,2,na
6068,r036,1977,Other types of support,Self-support,Number,3,74173
6068,r037,1977,Other types of support,Self-support,Percent,3,32.7
6068,r038,1977,Other types of support,Other,Number,3,22748
6068,r039,1977,Other types of support,Other,Percent,3,10.0
6068,r040,1978<sup>a</sup>,Total,,,1,223030
6068,r041,1978<sup>a</sup>,Fellowships,Number,,2,na
6068,r042,1978<sup>a</sup>,Fellowships,Percent,,2,na
6068,r043,1978<sup>a</sup>,Research assistantships,Number,,2,na
6068,r044,1978<sup>a</sup>,Research assistantships,Percent,,2,na
6068,r045,1978<sup>a</sup>,Teaching assistantships,Number,,2,na
6068,r046,1978<sup>a</sup>,Teaching assistantships,Percent,,2,na
6068,r047,1978<sup>a</sup>,Traineeships,Number,,2,na
6068,r048,1978<sup>a</sup>,Traineeships,Percent,,2,na
6068,r049,1978<sup>a</sup>,Other types of support,Self-support,Number,3,69920
6068,r050,1978<sup>a</sup>,Other types of support,Self-support,Percent,3,31.4
6068,r051,1978<sup>a</sup>,Other types of support,Other,Number,3,153110
6068,r052,1978<sup>a</sup>,Other types of support,Other,Percent,3,68.6
6068,r053,1979,Total,,,1,231760
6068,r054,1979,Fellowships,Number,,2,20214
6068,r055,1979,Fellowships,Percent,,2,8.7
6068,r056,1979,Research assistantships,Number,,2,48976
6068,r057,1979,Research assistantships,Percent,,2,21.1
6068,r058,1979,Teaching assistantships,Number,,2,51779
6068,r059,1979,Teaching assistantships,Percent,,2,22.3
6068,r060,1979,Traineeships,Number,,2,17965
6068,r061,1979,Traineeships,Percent,,2,7.8
6068,r062,1979,Other types of support,Self-support,Number,3,73849
6068,r063,1979,Other types of support,Self-support,Percent,3,31.9
6068,r064,1979,Other types of support,Other,Number,3,18977
6068,r065,1979,Other types of support,Other,Percent,3,8.2
6068,r066,1980,Total,,,1,238416
6068,r067,1980,Fellowships,Number,,2,20515
6068,r068,1980,Fellowships,Percent,,2,8.6
6068,r069,1980,Research assistantships,Number,,2,51566
6068,r070,1980,Research assistantships,Percent,,2,21.6
6068,r071,1980,Teaching assistantships,Number,,2,53889
6068,r072,1980,Teaching assistantships,Percent,,2,22.6
6068,r073,1980,Traineeships,Number,,2,17545
6068,r074,1980,Traineeships,Percent,,2,7.4
6068,r075,1980,Other types of support,Self-support,Number,3,75457
6068,r076,1980,Other types of support,Self-support,Percent,3,31.6
6068,r077,1980,Other types of support,Other,Number,3,19444
6068,r078,1980,Other types of support,Other,Percent,3,8.2
6068,r079,1981,Total,,,1,242049
6068,r080,1981,Fellowships,Number,,2,20095
6068,r081,1981,Fellowships,Percent,,2,8.3
6068,r082,1981,Research assistantships,Number,,2,52711
6068,r083,1981,Research assistantships,Percent,,2,21.8
6068,r084,1981,Teaching assistantships,Number,,2,55745
6068,r085,1981,Teaching assistantships,Percent,,2,23.0
6068,r086,1981,Traineeships,Number,,2,16771
6068,r087,1981,Traineeships,Percent,,2,6.9
6068,r088,1981,Other types of support,Self-support,Number,3,76522
6068,r089,1981,Other types of support,Self-support,Percent,3,31.6
6068,r090,1981,Other types of support,Other,Number,3,20205
6068,r091,1981,Other types of support,Other,Percent,3,8.3
6068,r092,1982,Total,,,1,244757
6068,r093,1982,Fellowships,Number,,2,20855
6068,r094,1982,Fellowships,Percent,,2,8.5
6068,r095,1982,Research assistantships,Number,,2,52580
6068,r096,1982,Research assistantships,Percent,,2,21.5
6068,r097,1982,Teaching assistantships,Number,,2,58334
6068,r098,1982,Teaching assistantships,Percent,,2,23.8
6068,r099,1982,Traineeships,Number,,2,14637
6068,r100,1982,Traineeships,Percent,,2,6.0
6068,r101,1982,Other types of support,Self-support,Number,3,77896
6068,r102,1982,Other types of support,Self-support,Percent,3,31.8
6068,r103,1982,Other types of support,Other,Number,3,20455
6068,r104,1982,Other types of support,Other,Percent,3,8.4
6068,r105,1983,Total,,,1,252017
6068,r106,1983,Fellowships,Number,,2,21342
6068,r107,1983,Fellowships,Percent,,2,8.5
6068,r108,1983,Research assistantships,Number,,2,54904
6068,r109,1983,Research assistantships,Percent,,2,21.8
6068,r110,1983,Teaching assistantships,Number,,2,60071
6068,r111,1983,Teaching assistantships,Percent,,2,23.8
6068,r112,1983,Traineeships,Number,,2,13512
6068,r113,1983,Traineeships,Percent,,2,5.4
6068,r114,1983,Other types of support,Self-support,Number,3,81233
6068,r115,1983,Other types of support,Self-support,Percent,3,32.2
6068,r116,1983,Other types of support,Other,Number,3,20955
6068,r117,1983,Other types of support,Other,Percent,3,8.3
6068,r118,1984,Total,,,1,253922
6068,r119,1984,Fellowships,Number,,2,21624
6068,r120,1984,Fellowships,Percent,,2,8.5
6068,r121,1984,Research assistantships,Number,,2,57735
6068,r122,1984,Research assistantships,Percent,,2,22.7
6068,r123,1984,Teaching assistantships,Number,,2,61256
6068,r124,1984,Teaching assistantships,Percent,,2,24.1
6068,r125,1984,Traineeships,Number,,2,13465
6068,r126,1984,Traineeships,Percent,,2,5.3
6068,r127,1984,Other types of support,Self-support,Number,3,79150
6068,r128,1984,Other types of support,Self-support,Percent,3,31.2
