table_id,row_id,_b_sex_citizenship_ethnicity_and_race_b_full_path,_b_sex_citizenship_ethnicity_and_race_b_level_1,_b_sex_citizenship_ethnicity_and_race_b_level_2,_b_sex_citizenship_ethnicity_and_race_b_level_3,_b_sex_citizenship_ethnicity_and_race_b_level_4,_b_sex_citizenship_ethnicity_and_race_b_level_5,_b_sex_citizenship_ethnicity_and_race_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
6075,r001,All individuals,All individuals,,,,,1,697813,100.0,414478,100.0,283335,100.0,65681,100.0,29661,100.0
6075,r002,All individuals -> Male,All individuals,Male,,,,2,359913,51.6,202148,48.8,157765,55.7,38239,58.2,17255,58.2
6075,r003,All individuals -> Female,All individuals,Female,,,,2,337900,48.4,212330,51.2,125570,44.3,27442,41.8,12406,41.8
6075,r004,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,,2,487051,69.8,314305,75.8,172746,61.0,29890,45.5,na,na
6075,r005,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,62679,9.0,43750,10.6,18929,6.7,2027,3.1,na,na
6075,r006,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,
6075,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,2042,0.3,1284,0.3,758,0.3,72,0.1,na,na
6075,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,53094,7.6,35075,8.5,18019,6.4,5696,8.7,na,na
6075,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,41916,6.0,30842,7.4,11074,3.9,1081,1.6,na,na
6075,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,778,0.1,578,0.1,200,0.1,52,0.1,na,na
6075,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,284055,40.7,175090,42.2,108965,38.5,17123,26.1,na,na
6075,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,17579,2.5,11069,2.7,6510,2.3,555,0.8,na,na
6075,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,3,24908,3.6,16617,4.0,8291,2.9,3284,5.0,na,na
6075,r014,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,,2,210762,30.2,100173,24.2,110589,39.0,35791,54.5,na,na
6075,r015,All individuals -> Male,All individuals,Male,,,,2,,,,,,,,,,
6075,r016,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,,,3,229052,32.8,141840,34.2,87212,30.8,15579,23.7,na,na
6075,r017,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,27185,3.9,18073,4.4,9112,3.2,968,1.5,na,na
6075,r018,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,
6075,r019,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,815,0.1,512,0.1,303,0.1,25,0.05,na,na
6075,r020,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,27332,3.9,18080,4.4,9252,3.3,3124,4.8,na,na
6075,r021,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,15774,2.3,11397,2.7,4377,1.5,417,0.6,na,na
6075,r022,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,329,0.05,249,0.1,80,0.05,22,0.05,na,na
6075,r023,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,137625,19.7,81117,19.6,56508,19.9,8987,13.7,na,na
6075,r024,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,7930,1.1,4830,1.2,3100,1.1,258,0.4,na,na
6075,r025,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,12062,1.7,7582,1.8,4480,1.6,1778,2.7,na,na
6075,r026,All individuals -> Male -> Temporary visa holders,All individuals,Male,Temporary visa holders,,,3,130861,18.8,60308,14.6,70553,24.9,22660,34.5,na,na
6075,r027,All individuals -> Female,All individuals,Female,,,,2,,,,,,,,,,
6075,r028,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,,,3,257999,37.0,172465,41.6,85534,30.2,14311,21.8,na,na
6075,r029,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,35494,5.1,25677,6.2,9817,3.5,1059,1.6,na,na
6075,r030,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,
6075,r031,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,1227,0.2,772,0.2,455,0.2,47,0.1,na,na
6075,r032,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,25762,3.7,16995,4.1,8767,3.1,2572,3.9,na,na
6075,r033,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,26142,3.7,19445,4.7,6697,2.4,664,1.0,na,na
6075,r034,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,449,0.1,329,0.1,120,0.05,30,0.05,na,na
6075,r035,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,146430,21.0,93973,22.7,52457,18.5,8136,12.4,na,na
6075,r036,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,9649,1.4,6239,1.5,3410,1.2,297,0.5,na,na
6075,r037,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,12846,1.8,9035,2.2,3811,1.3,1506,2.3,na,na
6075,r038,All individuals -> Female -> Temporary visa holders,All individuals,Female,Temporary visa holders,,,3,79901,11.5,39865,9.6,40036,14.1,13131,20.0,na,na
