table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_dod_number,field_dod_percent,field_doe_number,field_doe_percent,field_hhs_nih_number,field_hhs_nih_percent,field_hhs_other_hhs_number,field_hhs_other_hhs_percent,field_nasa_number,field_nasa_percent,field_nsf_number,field_nsf_percent,field_usda_number,field_usda_percent,field_other_number,field_other_percent
6084,r001,All surveyed fields,All surveyed fields,,,1,33374,2369,7.1,2163,6.5,20096,60.2,916,2.7,696,2.1,3599,10.8,856,2.6,2679,8.0
6084,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,20150,1122,5.6,1424,7.1,11128,55.2,562,2.8,577,2.9,2801,13.9,791,3.9,1745,8.7
6084,r003,All surveyed fields -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science,Agricultural and veterinary sciences,3,721,32,4.4,19,2.6,217,30.1,17,2.4,3,0.4,61,8.5,319,44.2,53,7.4
6084,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,12084,382,3.2,221,1.8,9191,76.1,349,2.9,47,0.4,786,6.5,302,2.5,806,6.7
6084,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,407,155,38.1,13,3.2,30,7.4,3,0.7,4,1.0,157,38.6,4,1.0,41,10.1
6084,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,927,54,5.8,72,7.8,26,2.8,11,1.2,160,17.3,325,35.1,26,2.8,253,27.3
6084,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,319,54,16.9,27,8.5,61,19.1,3,0.9,1,0.3,155,48.6,0,0.0,18,5.6
6084,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields,Science,Multidisciplinary and interdisciplinary studies,3,328,27,8.2,11,3.4,171,52.1,13,4.0,9,2.7,63,19.2,7,2.1,27,8.2
6084,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,397,9,2.3,28,7.1,12,3.0,15,3.8,17,4.3,95,23.9,96,24.2,125,31.5
6084,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,3936,379,9.6,1030,26.2,856,21.7,109,2.8,314,8.0,956,24.3,12,0.3,280,7.1
6084,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,705,23,3.3,1,0.1,474,67.2,31,4.4,1,0.1,96,13.6,5,0.7,74,10.5
6084,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,326,7,2.1,2,0.6,90,27.6,11,3.4,21,6.4,107,32.8,20,6.1,68,20.9
6084,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,4234,968,22.9,731,17.3,1091,25.8,76,1.8,110,2.6,749,17.7,57,1.3,452,10.7
6084,r014,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,117,54,46.2,12,10.3,4,3.4,1,0.9,19,16.2,13,11.1,0,0.0,14,12.0
6084,r015,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",3,976,92,9.4,20,2.0,693,71.0,33,3.4,6,0.6,66,6.8,6,0.6,60,6.1
6084,r016,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,519,78,15.0,160,30.8,104,20.0,17,3.3,6,1.2,94,18.1,5,1.0,55,10.6
6084,r017,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,377,57,15.1,76,20.2,14,3.7,0,0.0,19,5.0,108,28.6,9,2.4,94,24.9
6084,r018,"All surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All surveyed fields,Engineering,"Electrical, electronics, communications and computer engineering",3,739,306,41.4,80,10.8,86,11.6,4,0.5,12,1.6,174,23.5,2,0.3,75,10.1
6084,r019,"All surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,65,18,27.7,14,21.5,8,12.3,2,3.1,3,4.6,15,23.1,2,3.1,3,4.6
6084,r020,All surveyed fields -> Engineering -> Mechanical engineering,All surveyed fields,Engineering,Mechanical engineering,3,575,146,25.4,118,20.5,107,18.6,5,0.9,27,4.7,111,19.3,2,0.3,59,10.3
6084,r021,"All surveyed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All surveyed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,328,88,26.8,105,32.0,11,3.4,4,1.2,6,1.8,78,23.8,0,0.0,36,11.0
