table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_fellowships_number,field_fellowships_percent,field_research_grants_number,field_research_grants_percent,field_traineeships_number,field_traineeships_percent,field_other_types_of_support_other_number,field_other_types_of_support_other_percent
6086,r001,All surveyed fields,All surveyed fields,,,1,65681,6910,10.5,40342,61.4,3338,5.1,15091,23.0
6086,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,38741,3849,9.9,25032,64.6,1457,3.8,8403,21.7
6086,r003,All surveyed fields -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science,Agricultural and veterinary sciences,3,1678,161,9.6,971,57.9,99,5.9,447,26.6
6086,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,21902,1957,8.9,14439,65.9,940,4.3,4566,20.8
6086,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,823,88,10.7,552,67.1,18,2.2,165,20.0
6086,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,1790,212,11.8,1221,68.2,20,1.1,337,18.8
6086,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,1076,184,17.1,398,37.0,74,6.9,420,39.0
6086,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields,Science,Multidisciplinary and interdisciplinary studies,3,832,74,8.9,483,58.1,43,5.2,232,27.9
6086,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,845,71,8.4,572,67.7,31,3.7,171,20.2
6086,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,6937,685,9.9,4947,71.3,79,1.1,1226,17.7
6086,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,1312,178,13.6,743,56.6,95,7.2,296,22.6
6086,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,1546,239,15.5,706,45.7,58,3.8,543,35.1
6086,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,8462,714,8.4,6209,73.4,96,1.1,1443,17.1
6086,r014,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,233,16,6.9,152,65.2,1,0.4,64,27.5
6086,r015,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",3,1696,157,9.3,1226,72.3,48,2.8,265,15.6
6086,r016,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,1157,125,10.8,811,70.1,12,1.0,209,18.1
6086,r017,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,1006,75,7.5,767,76.2,11,1.1,153,15.2
6086,r018,"All surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All surveyed fields,Engineering,"Electrical, electronics, communications and computer engineering",3,1302,104,8.0,992,76.2,7,0.5,199,15.3
6086,r019,"All surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,194,6,3.1,159,82.0,1,0.5,28,14.4
6086,r020,All surveyed fields -> Engineering -> Mechanical engineering,All surveyed fields,Engineering,Mechanical engineering,3,1149,139,12.1,806,70.1,13,1.1,191,16.6
6086,r021,"All surveyed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All surveyed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,630,32,5.1,490,77.8,0,0.0,108,17.1
6086,r022,All surveyed fields -> Engineering -> Other engineering,All surveyed fields,Engineering,Other engineering,3,1095,60,5.5,806,73.6,3,0.3,226,20.6
6086,r023,All surveyed fields -> Health,All surveyed fields,Health,,2,18478,2347,12.7,9101,49.3,1785,9.7,5245,28.4
6086,r024,All surveyed fields -> Health -> Clinical medicine<sup>a</sup>,All surveyed fields,Health,Clinical medicine<sup>a</sup>,3,16287,2040,12.5,7935,48.7,1585,9.7,4727,29.0
6086,r025,All surveyed fields -> Health -> Other health,All surveyed fields,Health,Other health,3,2191,307,14.0,1166,53.2,200,9.1,518,23.6
