table_id,row_id,main_cbsa_or_county_names_state_commuting_zone_id,mean,standard_error_of_mean,robust_mean,shift
6205,r001,"Kokomo, Logansport, Peru, IN 176",0.1608,0.0139,0.1334,Yes
6205,r002,"Fredericksburg, Kerrville, TX 561",0.1636,0.0234,0.1176,Yes
6205,r003,"Santa Fe, Española, Los Alamos, Las Vegas, NM 400",0.1429,0.0143,0.1148,Yes
6205,r004,"Wallowa, OR 487",0.2955,0.0939,0.1111,Yes
6205,r005,"San Jose, Sunnyvale, Santa Cruz, Salinas, CA 70",0.1134,0.0061,0.1013,Yes
6205,r006,"Flagstaff, AZ 33",0.1702,0.0361,0.0993,Yes
6205,r007,"Fairbanks, AK 21",0.1186,0.0107,0.0977,Yes
6205,r008,"Austin, Round Rock, TX 534",0.1157,0.0092,0.0977,Yes
6205,r009,"Casper, WY 622",0.1261,0.0145,0.0976,Yes
6205,r010,"Accomack, Northampton, VA 581",0.1805,0.043,0.0961,No
6205,r011,"San Francisco, Oakland, Napa, Santa Rosa, Vallejo, CA 58",0.102,0.0037,0.0947,Yes
6205,r012,"Las Vegas, Henderson, Paradise, Pahrump, NV 386",0.1055,0.0057,0.0943,Yes
6205,r013,"Blacksburg, Christiansburg, Radford, VA 593",0.1443,0.0257,0.0937,No
6205,r014,"Los Angeles, Long Beach, Anaheim, Riverside, San Bernardino, Ontario, Oxnard, Thousand Oaks, Ventura, CA 69",0.0984,0.0028,0.0928,No
6205,r015,"Bozeman, Helena, MT 349",0.1217,0.0148,0.0926,Yes
6205,r016,"Washington, Arlington, Alexandria, DC, VA, MD, WV 93",0.0976,0.0037,0.0903,Yes
6205,r017,"Columbus, OH 451",0.1078,0.0096,0.089,No
6205,r018,"Glenwood Springs, Edwards, Breckenridge, CO 83",0.1093,0.0104,0.089,Yes
6205,r019,"Traverse City, MI 287",0.1229,0.0174,0.0889,No
6205,r020,"Wilmington, Myrtle Beach, NC, SC 422",0.1106,0.0111,0.0888,Yes
6205,r021,"Miami, Fort Lauderdale, West Palm Beach, FL 98",0.0942,0.0029,0.0885,No
6205,r022,"Portland, Vancouver, Hillsboro, OR, WA 475",0.0959,0.0041,0.0878,No
6205,r023,"Boston, Cambridge, Newton, MA, NH; Manchester, Nashua, NH; Concord, NH; Portland, South Portland, ME 281",0.1001,0.0064,0.0877,No
6205,r024,"Asheville, Wilmington, Brevard, NC 423",0.1189,0.0159,0.0876,No
6205,r025,"Denver, Aurora, Boulder, Fort Collins, CO 74",0.0958,0.0043,0.0873,No
6205,r026,"Philadelphia, Camden, Wilmington, PA, NJ, DE, MD 92",0.0979,0.0056,0.0869,No
6205,r027,"Virginia Beach, Norfolk, Newport News, VA, NC; Kill Devil Hills, NC 419",0.1313,0.0226,0.0868,No
6205,r028,"Pueblo, Colorado Springs, CO 80",0.1033,0.0088,0.086,No
6205,r029,"Grand Rapids, Wyoming, Holland, Ionia, MI 285",0.1029,0.0088,0.0856,No
6205,r030,"Dallas, Fort Worth, Arlington, Corsicana, TX 564",0.0952,0.0049,0.0855,No
6205,r031,"Urban Honolulu, Hilo, Kahului, Wailuku, Lahaina, Kapaa, HI 135",0.1014,0.0082,0.0853,No
6205,r032,"Minneapolis, St. Paul, Bloomington, MN, WI 301",0.0937,0.0044,0.0851,No
6205,r033,"San Diego, Carlsbad, El Centro, CA 64",0.0952,0.0053,0.0848,No
6205,r034,"Durham, Chapel Hill, Raleigh, Henderson, NC 427",0.1006,0.0083,0.0842,No
6205,r035,"St. George, Cedar City, UT 571",0.1202,0.0183,0.0842,Yes
6205,r036,"Atlanta, Sandy Springs, Roswell, GA 115",0.0911,0.0035,0.0842,No
6205,r037,"Santa Maria, Santa Barbara, San Luis Obispo, Paso Robles, Arroyo Grande, CA 73",0.113,0.015,0.0836,No
6205,r038,"Seattle, Tacoma, Bellevue, Bremerton, Silverdale, Olympia, Tumwater, Bellingham, WA 602",0.0912,0.0039,0.0835,No
6205,r039,"Salt Lake City, Provo, Orem, Ogden, Clearfield, UT 574",0.0976,0.0072,0.0835,No
6205,r040,"Wenatchee, WA 600",0.1133,0.0158,0.0823,No
6205,r041,"Charlotte, Concord, Gastonia, Shelby, Albemarle, NC, SC 424",0.0898,0.0038,0.0822,No
6205,r042,"Tucson, Sierra Vista, Douglas, Nogales, AZ 32",0.0993,0.009,0.0816,No
6205,r043,"Charlottesville, VA 582",0.1063,0.0126,0.0814,No
6205,r044,"Anchorage, AK 18",0.1095,0.0145,0.0811,No
6205,r045,"Laredo, Zapata, TX 560",0.1325,0.0262,0.0809,No
6205,r046,"Deltona, Daytona Beach, Ormond Beach, Palatka, FL 105",0.1006,0.01,0.0809,No
6205,r047,"Des Moines, West Des Moines, IA 189",0.1008,0.0102,0.0808,No
6205,r048,"New York, Newark, Jersey City, Kingston, NY, NJ, PA 411",0.086,0.003,0.08,No
6205,r049,"Detroit, Warren, Dearborn, Ann Arbor, Jackson, Adrian, MI 296",0.0879,0.004,0.08,No
6205,r050,"Medford, Grants Pass, OR 483",0.1096,0.0151,0.0799,No
6205,r051,"Trenton, NJ; Allentown, Bethlehem, Easton, PA, NJ (includes parts of New York, Newark, Jersey City, NY, NJ, PA) 391",0.0871,0.0037,0.0799,No
