table_id,row_id,region_full_path,region_level_1,region_level_2,region_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
6212,r001,Midwest,Midwest,,1,5.62,12.37,18.92,83.74,348.58,514.79,107.46,570.56,563.02,653.6,1512.8
6212,r002,Midwest -> Illinois,Midwest,Illinois,2,NA,11.15,1.23,42.26,317.74,396.56,38.52,385.85,257.64,269.73,674.05
6212,r003,Midwest -> Indiana,Midwest,Indiana,2,NA,NA,NA,NA,1.63,2.55,13.54,10.92,36.13,22.23,40.27
6212,r004,Midwest -> Iowa,Midwest,Iowa,2,1.37,NA,NA,1.25,NA,0.02,5.15,2.36,33.1,3.55,30.41
6212,r005,Midwest -> Kansas,Midwest,Kansas,2,NA,NA,NA,NA,0.95,7.56,1.78,53.06,0.84,21.0,2.4
6212,r006,Midwest -> Michigan,Midwest,Michigan,2,NA,NA,NA,NA,3.99,0.28,1.65,35.48,52.01,167.85,16.8
6212,r007,Midwest -> Minnesota,Midwest,Minnesota,2,NA,1.12,11.39,25.14,8.08,3.1,2.28,28.91,76.49,49.04,267.76
6212,r008,Midwest -> Missouri,Midwest,Missouri,2,NA,NA,1.4,2.71,7.54,1.66,6.67,7.9,45.25,28.99,34.34
6212,r009,Midwest -> Nebraska,Midwest,Nebraska,2,1.5,NA,1.2,NA,0.74,72.94,NA,30.1,0.01,0.95,1.33
6212,r010,Midwest -> North Dakota,Midwest,North Dakota,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6212,r011,Midwest -> Ohio,Midwest,Ohio,2,0.25,NA,3.7,10.0,4.21,27.01,27.0,8.36,48.11,64.43,423.35
6212,r012,Midwest -> South Dakota,Midwest,South Dakota,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6212,r013,Midwest -> Wisconsin,Midwest,Wisconsin,2,2.5,0.1,NA,2.38,3.7,3.11,10.87,7.62,13.44,25.83,22.09
6212,r014,Northeast,Northeast,,1,100.5,255.97,214.33,483.48,733.73,1162.97,1941.26,2320.76,4388.45,5271.26,5928.71
6212,r015,Northeast -> Connecticut,Northeast,Connecticut,2,NA,0.5,0.59,10.05,0.95,8.68,20.63,87.64,53.47,72.03,66.09
6212,r016,Northeast -> Maine,Northeast,Maine,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,0.25
6212,r017,Northeast -> Massachusetts,Northeast,Massachusetts,2,40.29,56.52,87.34,182.77,190.58,383.25,686.73,884.13,1519.2,1481.11,2728.12
6212,r018,Northeast -> New Hampshire,Northeast,New Hampshire,2,1.02,NA,1.62,1.71,NA,0.01,3.85,0.03,2.73,1.91,1.69
6212,r019,Northeast -> New Jersey,Northeast,New Jersey,2,NA,84.32,28.19,38.74,38.5,2.47,27.8,14.92,58.87,40.96,134.26
6212,r020,Northeast -> New York,Northeast,New York,2,40.57,111.56,80.06,205.39,478.5,734.45,1060.34,1190.19,2637.9,2543.01,2805.82
6212,r021,Northeast -> Pennsylvania,Northeast,Pennsylvania,2,18.62,3.07,16.53,44.82,23.32,34.11,141.9,141.37,114.17,1128.29,190.51
6212,r022,Northeast -> Rhode Island,Northeast,Rhode Island,2,NA,NA,NA,NA,NA,NA,0.01,NA,0.11,NA,NA
6212,r023,Northeast -> Vermont,Northeast,Vermont,2,NA,NA,NA,NA,1.88,NA,NA,2.48,2.0,0.35,1.97
6212,r024,South,South,,1,131.27,175.55,101.15,235.59,479.54,353.33,452.97,715.72,1025.1,2237.87,1698.39
6212,r025,South -> Alabama,South,Alabama,2,NA,NA,NA,NA,NA,NA,0.17,0.3,1.26,2.4,4.9
6212,r026,South -> Arkansas,South,Arkansas,2,NA,NA,NA,1.3,NA,0.3,0.54,2.28,0.21,16.92,NA
6212,r027,South -> Delaware,South,Delaware,2,NA,NA,0.08,9.0,0.02,0.9,4.77,4.55,28.95,9.37,27.25
6212,r028,South -> District of Columbia,South,District of Columbia,2,NA,NA,1.01,2.33,8.2,29.6,12.2,34.69,19.11,60.39,215.3
6212,r029,South -> Florida,South,Florida,2,10.0,NA,6.79,2.12,22.91,8.02,51.75,46.63,182.38,248.96,237.6
6212,r030,South -> Georgia,South,Georgia,2,23.92,34.37,24.73,49.6,89.2,8.7,11.59,45.17,69.36,547.68,122.63
6212,r031,South -> Kentucky,South,Kentucky,2,NA,NA,0.1,1.01,0.33,1.18,5.66,1.08,69.58,114.97,7.21
6212,r032,South -> Louisiana,South,Louisiana,2,NA,0.5,NA,NA,NA,3.86,NA,NA,1.15,14.9,NA
6212,r033,South -> Maryland,South,Maryland,2,11.33,0.22,1.05,2.85,44.94,13.1,12.75,25.95,65.93,56.02,57.34
6212,r034,South -> Mississippi,South,Mississippi,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6212,r035,South -> North Carolina,South,North Carolina,2,6.38,21.67,3.42,12.13,26.9,35.95,35.67,21.73,146.6,190.4,52.83
6212,r036,South -> Oklahoma,South,Oklahoma,2,NA,NA,NA,NA,1.4,10.0,0.05,1.85,NA,NA,1.0
6212,r037,South -> South Carolina,South,South Carolina,2,NA,NA,NA,0.28,0.14,0.22,5.42,6.03,14.01,14.1,NA
6212,r038,South -> Tennessee,South,Tennessee,2,4.5,5.71,5.07,10.86,26.3,8.37,42.63,7.32,30.53,78.36,55.55
6212,r039,South -> Texas,South,Texas,2,20.04,59.86,33.8,23.93,98.91,172.58,164.77,423.81,280.57,718.19,790.08
6212,r040,South -> Virginia,South,Virginia,2,55.1,53.22,25.1,120.18,160.29,60.55,105.0,94.33,115.46,165.21,126.7
6212,r041,South -> West Virginia,South,West Virginia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6212,r042,West,West,,1,360.74,930.11,957.58,1792.05,6678.18,6669.44,12023.68,6137.93,13133.65,13125.04,18459.48
6212,r043,West -> Alaska,West,Alaska,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37
6212,r044,West -> Arizona,West,Arizona,2,NA,NA,0.02,20.67,NA,37.75,7.62,9.64,67.69,22.74,85.72
6212,r045,West -> California,West,California,2,245.4,636.4,762.27,1446.74,5358.44,6335.31,10797.2,5499.49,12299.95,11645.28,16719.53
6212,r046,West -> Colorado,West,Colorado,2,90.0,268.75,178.53,268.96,1207.05,146.87,959.23,102.71,139.88,155.49,701.91
6212,r047,West -> Hawaii,West,Hawaii,2,NA,NA,NA,NA,NA,NA,0.08,NA,NA,54.61,NA
6212,r048,West -> Idaho,West,Idaho,2,NA,NA,0.4,NA,NA,NA,0.01,0.3,NA,NA,0.91
6212,r049,West -> Montana,West,Montana,2,NA,NA,NA,NA,NA,NA,3.5,22.0,0.1,NA,0.08
6212,r050,West -> Nevada,West,Nevada,2,NA,NA,NA,0.04,NA,2.54,5.71,2.02,86.5,202.05,41.5
6212,r051,West -> New Mexico,West,New Mexico,2,NA,4.6,NA,0.43,0.08,9.49,0.02,31.52,8.64,20.2,20.5
6212,r052,West -> Oregon,West,Oregon,2,NA,5.26,8.81,8.23,11.69,8.7,48.58,23.55,82.61,63.0,37.22
6212,r053,West -> Utah,West,Utah,2,3.0,NA,1.25,0.11,3.87,25.22,43.25,135.41,144.33,299.74,292.9
6212,r054,West -> Washington,West,Washington,2,22.34,15.1,6.3,46.87,97.05,103.56,158.48,311.29,293.74,661.62,556.34
6212,r055,West -> Wyoming,West,Wyoming,2,NA,NA,NA,NA,NA,NA,NA,NA,10.21,0.31,0.5
6212,r056,United States,United States,,1,598.13,1374.0,1291.98,2594.86,8240.13,8700.53,14525.38,9745.15,19110.42,21287.96,27599.43
