table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6248,r001,World,World,,,,1,3406829,3808291,4238871,4495366,4863257,5476675,5923813,5515989,6281367,7007796,7132815,7382920,7719493,7577690,7836128,8443668,9142475,9220040
6248,r002,World -> North America,World,North America,,,2,1176378,1220952,1283585,1343229,1450805,1515863,1540119,1492324,1648153,1752332,1817755,1907556,1982823,2075154,2145937,2255915,2416098,2548477
6248,r003,World -> North America -> Canada,World,North America,Canada,,3,61696,69031,73846,79299,85502,92073,88842,79476,93719,105631,109030,108638,106558,96457,95704,101256,105579,106698
6248,r004,World -> North America -> Mexico,World,North America,Mexico,,3,62089,55365,56930,61333,70649,73515,75045,56251,70341,76568,86124,89773,94050,95152,90220,96697,101316,105611
6248,r005,World -> North America -> United States,World,North America,United States,,3,1052593,1096557,1152809,1202597,1294654,1350275,1376232,1356596,1484094,1570133,1622602,1709144,1782215,1883545,1960012,2057962,2209203,2336168
6248,r006,World -> Central and South America,World,Central and South America,,,2,67788,72766,90967,111403,133005,169657,211527,194792,243337,280463,265521,267392,243270,197445,176494,208738,195417,184303
6248,r007,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,6267,7835,10004,12410,15021,19113,24593,23805,28101,31891,32433,32643,25079,26010,24401,28542,24428,21210
6248,r008,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,42151,45782,58509,72081,87687,114204,143195,124659,169438,196121,173052,173671,160541,111958,107586,130061,115770,113737
6248,r009,World -> Central and South America -> Chile,World,Central and South America,Chile,,3,2624,3124,3819,4894,5249,5685,6151,5918,6919,8628,9574,9692,8345,7843,8086,8361,8780,7902
6248,r010,World -> Central and South America -> Colombia,World,Central and South America,Colombia,,3,5057,4944,6077,7515,8489,10771,12304,11938,14483,15904,17635,17970,17925,14429,13705,14432,15283,14471
