table_id,row_id,time_period,all_doctoral_scientists_and_engineers_level_1,all_doctoral_scientists_and_engineers_level_2,all_doctoral_scientists_and_engineers_level_3,all_doctoral_scientists_and_engineers_hierarchy_depth,value
6341,r001,Total,All doctoral scientists and engineers,Total,,2,856050
6341,r002,Total,All doctoral scientists and engineers,SE,,2,1500
6341,r003,Total,Not working in 2015,Total,Number,3,48750
6341,r004,Total,Not working in 2015,Total,SE,3,950
6341,r005,Total,Not working in 2015,Employed in 2017,Number,3,15000
6341,r006,Total,Not working in 2015,Employed in 2017,SE,3,600
6341,r007,Total,Not working in 2015,Unemployed in 2017,Number,3,4200
6341,r008,Total,Not working in 2015,Unemployed in 2017,SE,3,350
6341,r009,Total,Not working in 2015,Not in labor force in 2017,Number,3,29550
6341,r010,Total,Not working in 2015,Not in labor force in 2017,SE,3,750
6341,r011,Total,Not working in 2015,Employed in 2019,Number,3,17150
6341,r012,Total,Not working in 2015,Employed in 2019,SE,3,700
6341,r013,Total,Not working in 2015,Unemployed in 2019,Number,3,2700
6341,r014,Total,Not working in 2015,Unemployed in 2019,SE,3,325
6341,r015,Total,Not working in 2015,Not in labor force in 2019,Number,3,28850
6341,r016,Total,Not working in 2015,Not in labor force in 2019,SE,3,750
6341,r017,Total,Working in 2015,Total,Number,3,807300
6341,r018,Total,Working in 2015,Total,SE,3,1700
6341,r019,Total,Working in 2015,Employed in 2017,Number,3,777450
6341,r020,Total,Working in 2015,Employed in 2017,SE,3,1950
6341,r021,Total,Working in 2015,Unemployed in 2017,Number,3,9500
6341,r022,Total,Working in 2015,Unemployed in 2017,SE,3,625
6341,r023,Total,Working in 2015,Not in labor force in 2017,Number,3,20400
6341,r024,Total,Working in 2015,Not in labor force in 2017,SE,3,725
6341,r025,Total,Working in 2015,Employed in 2019,Number,3,756450
6341,r026,Total,Working in 2015,Employed in 2019,SE,3,1900
6341,r027,Total,Working in 2015,Unemployed in 2019,Number,3,8500
6341,r028,Total,Working in 2015,Unemployed in 2019,SE,3,675
6341,r029,Total,Working in 2015,Not in labor force in 2019,Number,3,42350
6341,r030,Total,Working in 2015,Not in labor force in 2019,SE,3,1000
6341,r031,Total -> Gender -> Male,All doctoral scientists and engineers,Total,,2,556750
