table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70
6343,r001,Department,Department,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6343,r002,Department -> Department of Agriculture,Department,Department of Agriculture,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r003,Department -> Department of Agriculture -> Agricultural Cooperative Service,Department,Department of Agriculture,Agricultural Cooperative Service,,3,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r004,Department -> Department of Agriculture -> Agricultural Marketing Service,Department,Department of Agriculture,Agricultural Marketing Service,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r005,Department -> Department of Agriculture -> Agricultural Research Service,Department,Department of Agriculture,Agricultural Research Service,,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r006,Department -> Department of Agriculture -> Animal and Plant Health Inspection Service,Department,Department of Agriculture,Animal and Plant Health Inspection Service,,3,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r007,Department -> Department of Agriculture -> Economic Research Service,Department,Department of Agriculture,Economic Research Service,,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r008,Department -> Department of Agriculture -> Economics and Statistics Service,Department,Department of Agriculture,Economics and Statistics Service,,3,N,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r009,"Department -> Department of Agriculture -> Economics, Statistics, and Cooperative Service",Department,Department of Agriculture,"Economics, Statistics, and Cooperative Service",,3,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r010,"Department -> Department of Agriculture -> Economics, Statistics, and Cooperative Service -> Economic Research Service",Department,Department of Agriculture,"Economics, Statistics, and Cooperative Service",Economic Research Service,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r011,"Department -> Department of Agriculture -> Economics, Statistics, and Cooperative Service -> Farmer Cooperative Service",Department,Department of Agriculture,"Economics, Statistics, and Cooperative Service",Farmer Cooperative Service,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r012,"Department -> Department of Agriculture -> Economics, Statistics, and Cooperative Service -> Statistical Reporting Service",Department,Department of Agriculture,"Economics, Statistics, and Cooperative Service",Statistical Reporting Service,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r013,Department -> Department of Agriculture -> Food Safety and Inspection Service,Department,Department of Agriculture,Food Safety and Inspection Service,,3,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,Z,Z,Z,Z,Z,Z,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r014,Department -> Department of Agriculture -> Foreign Agricultural Service,Department,Department of Agriculture,Foreign Agricultural Service,,3,N,N,N,N,N,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r015,Department -> Department of Agriculture -> Forest Service,Department,Department of Agriculture,Forest Service,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r016,"Department -> Department of Agriculture -> Grain Inspection, Packers, and Stockyards Administration",Department,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",,3,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N
6343,r017,Department -> Department of Agriculture -> Human Nutrition Information Service,Department,Department of Agriculture,Human Nutrition Information Service,,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r018,Department -> Department of Agriculture -> National Agricultural Statistics Service,Department,Department of Agriculture,National Agricultural Statistics Service,,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r019,"Department -> Department of Agriculture -> National Institute of Food and Agriculture (formerly Cooperative State Research, Education, and Extension Service)",Department,Department of Agriculture,"National Institute of Food and Agriculture (formerly Cooperative State Research, Education, and Extension Service)",,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r020,Department -> Department of Agriculture -> Office of International Cooperation and Development,Department,Department of Agriculture,Office of International Cooperation and Development,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r021,Department -> Department of Agriculture -> Office of Transportation,Department,Department of Agriculture,Office of Transportation,,3,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r022,Department -> Department of Agriculture -> Rural Business-Cooperative Service,Department,Department of Agriculture,Rural Business-Cooperative Service,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r023,Department -> Department of Agriculture -> Science and Education Administration,Department,Department of Agriculture,Science and Education Administration,,3,T,T,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r024,Department -> Department of Agriculture -> Science and Education Administration -> Agricultural Research Service,Department,Department of Agriculture,Science and Education Administration,Agricultural Research Service,4,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r025,Department -> Department of Agriculture -> Science and Education Administration -> Cooperative State Research Service,Department,Department of Agriculture,Science and Education Administration,Cooperative State Research Service,4,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r026,Department -> Department of Agriculture -> Science and Education Administration -> National Agricultural Library,Department,Department of Agriculture,Science and Education Administration,National Agricultural Library,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r027,Department -> Department of Commerce,Department,Department of Commerce,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r028,Department -> Department of Commerce -> Economic Development Administration,Department,Department of Commerce,Economic Development Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O
6343,r029,Department -> Department of Commerce -> Environmental Science Services Administration,Department,Department of Commerce,Environmental Science Services Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M
6343,r030,Department -> Department of Commerce -> Maritime Administration,Department,Department of Commerce,Maritime Administration,,3,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
