table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_agricultural_sciences,field_biological_sciences_excluding_environmental_biology_,field_environmental_biology,field_medical_sciences,field_other_life_sciences
6358,r001,All agencies,All agencies,,,,,1,42524844.3,1412605.2,20165399.3,901919.9,16182200.3,3862719.5
6358,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
6358,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1992333.7,1249682.5,270755.7,446674.2,24561.5,659.9
6358,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,3476.3,3476.3,0.0,0.0,0.0,0.0
6358,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1177016.3,914375.2,81995.3,159762.6,20883.2,0.0
6358,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,19082.1,19082.1,0.0,0.0,0.0,0.0
6358,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,200758.7,28549.6,14206.3,157343.0,0.0,659.9
6358,r008,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,589200.3,281399.3,174554.1,129568.6,3678.4,0.0
6358,r009,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,2800.0,2800.0,0.0,0.0,0.0,0.0
6358,r010,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,89999.5,8396.0,48354.3,15589.7,5131.0,12528.5
6358,r011,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,35938.4,0.0,35938.4,0.0,0.0,0.0
6358,r012,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,54061.1,8396.0,12415.9,15589.7,5131.0,12528.5
6358,r013,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,1084723.0,2295.6,222487.0,29807.2,780552.7,49580.5
6358,r014,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,328148.3,0.0,132513.6,29807.2,165827.4,0.0
6358,r015,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,160122.0,0.0,0.0,0.0,160122.0,0.0
6358,r016,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,25192.5,0.0,6572.2,0.0,56.8,18563.5
6358,r017,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,318455.8,0.0,5771.4,0.0,307741.5,4943.0
6358,r018,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,112077.5,0.0,21505.4,0.0,69083.9,21488.2
6358,r019,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,140726.9,2295.6,56124.5,0.0,77721.0,4585.8
6358,r020,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,509108.0,34750.2,387794.3,31742.1,51754.7,3066.6
6358,r021,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,37004.8,34750.2,2254.5,0.0,0.0,0.0
6358,r022,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,547.0,0.0,400.0,147.0,0.0,0.0
6358,r023,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,547.0,0.0,400.0,147.0,0.0,0.0
6358,r024,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,471556.2,0.0,385139.8,31595.1,51754.7,3066.6
6358,r025,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,35569503.7,0.0,18369528.9,0.0,13535760.8,3664213.9
6358,r026,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,172573.6,0.0,0.0,0.0,171307.5,1266.1
6358,r027,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,277307.1,0.0,72146.7,0.0,96673.5,108487.0
6358,r028,All agencies -> Departments -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Departments,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,4,223561.9,0.0,0.0,0.0,223561.9,0.0
6358,r029,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,463951.7,0.0,463951.7,0.0,0.0,0.0
6358,r030,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,18864.7,0.0,0.0,0.0,18864.7,0.0
6358,r031,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,34413244.6,0.0,17833430.5,0.0,13025353.3,3554460.8
6358,r032,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,71061.2,0.0,71061.2,0.0,0.0,0.0
6358,r033,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,1055.4,0.0,1055.4,0.0,0.0,0.0
6358,r034,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,70005.8,0.0,70005.8,0.0,0.0,0.0
6358,r035,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,212676.1,32650.0,89060.5,90965.7,0.0,0.0
6358,r036,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,13724.0,0.0,0.0,13724.0,0.0,0.0
6358,r037,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,4526.1,0.0,3319.2,1206.9,0.0,0.0
6358,r038,All agencies -> Departments -> Department of the Interior -> U.S. Fish and Wildlife Service,All agencies,Departments,Department of the Interior,U.S. Fish and Wildlife Service,,4,32650.0,32650.0,0.0,0.0,0.0,0.0
6358,r039,All agencies -> Departments -> Department of the Interior -> U.S. Geological Survey,All agencies,Departments,Department of the Interior,U.S. Geological Survey,,4,161776.0,0.0,85741.3,76034.7,0.0,0.0
6358,r040,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,11948.3,150.0,4473.5,0.0,6491.3,833.5
6358,r041,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,11948.3,150.0,4473.5,0.0,6491.3,833.5
6358,r042,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,28000.0,0.0,0.0,0.0,28000.0,0.0
6358,r043,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,7923.9,0.0,0.0,0.0,7923.9,0.0
6358,r044,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,7923.9,0.0,0.0,0.0,7923.9,0.0
6358,r045,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,1230832.2,0.0,0.0,0.0,1230832.2,0.0
6358,r046,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,
6358,r047,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,125314.9,84094.6,0.0,0.0,41220.3,0.0
6358,r048,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,162744.7,586.4,112491.9,45760.5,241.8,3664.1
6358,r049,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,125229.5,0.0,0.0,0.0,0.0,125229.5
6358,r050,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,751761.6,0.0,585530.0,166231.5,0.0,0.0
6358,r051,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,,,3,469730.1,0.0,0.0,0.0,469730.1,0.0
6358,r052,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,81954.0,0.0,3862.0,75149.0,0.0,2943.0
