table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
6372,r001,All agencies,All agencies,,,,1,1611672.7,12932.4,11799.8,1586940.5
6372,r002,All agencies -> Departments,All agencies,Departments,,,2,,,,
6372,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,3,0.05,0.05,0.0,0.0
6372,r004,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,4,0.05,0.05,0.0,0.0
6372,r005,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,3,28971.6,2290.9,2905.3,23775.4
6372,r006,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,276.2,0.0,276.2,0.0
6372,r007,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,4,2.6,0.0,0.0,2.6
6372,r008,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,4,1629.9,0.0,338.0,1291.8
6372,r009,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,4,18752.7,0.0,0.0,18752.7
6372,r010,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,4,1547.8,0.0,0.0,1547.8
6372,r011,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,4,6762.3,2290.9,2291.1,2180.4
6372,r012,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,3,1502287.7,0.0,0.0,1502287.7
6372,r013,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,4,1502287.7,0.0,0.0,1502287.7
6372,r014,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,3,43240.3,0.0,0.0,43240.3
6372,r015,All agencies -> Other agencies,All agencies,Other agencies,,,2,,,,
6372,r016,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,3,37173.1,10641.5,8894.5,17637.1
