table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_anthropology,field_economics,field_political_science,field_sociology,field_other_social_sciences
6385,r001,All agencies,All agencies,,,,,1,697896.4,1056.8,163821.7,7916.0,132467.9,392634.0
6385,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
6385,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,132333.4,0.0,117042.7,0.0,13297.7,1993.0
6385,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1366.6,0.0,1366.6,0.0,0.0,0.0
6385,r005,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,81718.0,0.0,81718.0,0.0,0.0,0.0
6385,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,26744.3,0.0,18770.1,0.0,5981.2,1993.0
6385,r007,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,22504.6,0.0,15188.1,0.0,7316.5,0.0
6385,r008,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,46690.2,0.0,18791.4,1866.0,12979.3,13053.6
6385,r009,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,482.4,0.0,482.4,0.0,0.0,0.0
6385,r010,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,14833.8,0.0,933.0,1866.0,10877.0,1157.8
6385,r011,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,31374.1,0.0,17376.0,0.0,2102.3,11895.8
6385,r012,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,40971.3,0.0,0.0,0.0,173.9,40797.3
6385,r013,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,235.0,0.0,0.0,0.0,0.0,235.0
6385,r014,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,368.1,0.0,0.0,0.0,0.0,368.1
6385,r015,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,40194.2,0.0,0.0,0.0,0.0,40194.2
6385,r016,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,173.9,0.0,0.0,0.0,173.9,0.0
6385,r017,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,135827.0,0.0,0.0,0.0,0.0,135827.0
6385,r018,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,77.9,0.0,77.9,0.0,0.0,0.0
6385,r019,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,77.9,0.0,77.9,0.0,0.0,0.0
6385,r020,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,177955.2,36.1,9956.5,0.0,0.0,167962.6
6385,r021,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,1574.4,0.0,0.0,0.0,0.0,1574.4
6385,r022,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,70814.9,0.0,0.0,0.0,0.0,70814.9
6385,r023,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,20813.1,36.1,9956.5,0.0,0.0,10820.5
6385,r024,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,312.0,0.0,0.0,0.0,0.0,312.0
6385,r025,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,1188.7,0.0,0.0,0.0,0.0,1188.7
6385,r026,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,66796.3,0.0,0.0,0.0,0.0,66796.3
6385,r027,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,16455.8,0.0,0.0,0.0,0.0,16455.8
6385,r028,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,16455.8,0.0,0.0,0.0,0.0,16455.8
6385,r029,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,8517.0,174.1,5764.6,0.0,2046.0,532.3
6385,r030,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,7984.7,174.1,5764.6,0.0,2046.0,0.0
6385,r031,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,532.3,0.0,0.0,0.0,0.0,532.3
6385,r032,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,51380.4,846.6,0.0,0.0,32231.0,18302.8
6385,r033,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,1804.0,0.0,0.0,0.0,1804.0,0.0
6385,r034,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,49576.4,846.6,0.0,0.0,30427.0,18302.8
6385,r035,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,4748.3,0.0,2745.6,0.0,0.0,2002.7
6385,r036,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,2745.6,0.0,2745.6,0.0,0.0,0.0
6385,r037,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,2002.7,0.0,0.0,0.0,0.0,2002.7
6385,r038,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,2000.0,0.0,0.0,0.0,2000.0,0.0
6385,r039,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,1738.1,0.0,0.0,0.0,0.0,1738.1
6385,r040,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,1738.1,0.0,0.0,0.0,0.0,1738.1
6385,r041,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,
6385,r042,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,9579.7,0.0,404.7,6050.0,0.0,3125.0
6385,r043,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,,,3,684.3,0.0,684.3,0.0,0.0,0.0
6385,r044,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,2379.7,0.0,2379.7,0.0,0.0,0.0
6385,r045,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,3,5974.3,0.0,5974.3,0.0,0.0,0.0
6385,r046,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,2470.9,0.0,0.0,0.0,0.0,2470.9
6385,r047,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,,3,69740.0,0.0,0.0,0.0,69740.0,0.0
6385,r048,All agencies -> Other agencies -> U.S. Agency for Global Media,All agencies,Other agencies,U.S. Agency for Global Media,,,3,4828.7,0.0,0.0,0.0,0.0,4828.7
