table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
6463,r001,All locations,All locations,,,1,135995.4,122985.2,127927.2,125846.3,113002.0,115507.6,125737.3,138170.3,162959.1
6463,r002,All locations -> Alabama,All locations,Alabama,,2,5159.1,4716.4,4483.7,4538.0,4354.3,8662.5,5173.7,5414.5,3070.4
6463,r003,All locations -> Alaska,All locations,Alaska,,2,159.1,185.5,136.9,208.0,211.9,280.0,299.8,334.2,278.9
6463,r004,All locations -> Arizona,All locations,Arizona,,2,2405.2,2369.3,1606.0,1643.7,1549.4,1198.8,1737.0,2001.2,1938.8
6463,r005,All locations -> Arkansas,All locations,Arkansas,,2,183.8,167.3,190.9,105.6,307.5,170.0,206.2,179.0,501.3
6463,r006,All locations -> California,All locations,California,,2,18036.3,16180.8,15798.7,15280.6,15756.5,15886.7,17236.9,19158.6,22464.3
6463,r007,All locations -> Colorado,All locations,Colorado,,2,3744.7,3394.0,3611.4,3506.4,4183.1,3395.6,4916.8,5267.9,5024.2
6463,r008,All locations -> Connecticut,All locations,Connecticut,,2,2231.1,2516.6,2287.0,2292.8,2365.9,2349.3,2568.2,2673.2,2566.2
6463,r009,All locations -> Delaware,All locations,Delaware,,2,108.7,112.3,130.1,108.1,142.0,168.6,161.6,163.1,221.6
6463,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,3339.3,3908.1,3980.1,4221.7,4204.5,4867.4,6157.7,6228.2,16314.7
6463,r011,All locations -> Florida,All locations,Florida,,2,2355.8,2282.0,2447.6,2932.7,2781.5,2879.5,3178.5,3892.0,4061.1
6463,r012,All locations -> Georgia,All locations,Georgia,,2,1133.3,1130.0,1253.1,1182.4,1301.3,1284.7,1349.8,1503.9,1912.8
6463,r013,All locations -> Hawaii,All locations,Hawaii,,2,382.5,348.0,326.5,305.4,283.8,275.4,441.3,411.9,393.9
6463,r014,All locations -> Idaho,All locations,Idaho,,2,446.9,380.8,597.9,532.6,568.4,679.1,824.2,919.9,840.4
6463,r015,All locations -> Illinois,All locations,Illinois,,2,2399.5,2327.5,2368.6,2482.7,3922.1,2552.9,2911.1,2998.3,3209.0
6463,r016,All locations -> Indiana,All locations,Indiana,,2,838.3,692.6,771.2,678.3,719.1,689.8,781.3,894.1,1104.1
6463,r017,All locations -> Iowa,All locations,Iowa,,2,613.3,560.5,512.2,567.0,496.2,520.0,525.0,517.8,702.1
6463,r018,All locations -> Kansas,All locations,Kansas,,2,231.6,234.3,187.1,193.7,187.9,211.6,232.8,282.6,352.3
6463,r019,All locations -> Kentucky,All locations,Kentucky,,2,308.1,306.8,296.7,296.7,272.6,289.5,302.8,313.4,354.3
6463,r020,All locations -> Louisiana,All locations,Louisiana,,2,313.8,278.0,284.5,253.7,278.5,397.2,321.1,432.1,436.6
6463,r021,All locations -> Maine,All locations,Maine,,2,247.8,169.9,131.1,138.0,137.5,158.0,188.4,189.0,185.1
6463,r022,All locations -> Maryland,All locations,Maryland,,2,15597.8,15605.9,16890.5,16750.6,16640.3,15416.8,17779.2,16992.3,22736.2
6463,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,6279.3,5690.8,6268.5,6055.0,5532.6,5238.4,6036.0,6837.8,8850.3
6463,r024,All locations -> Michigan,All locations,Michigan,,2,2206.4,1826.1,1852.7,1799.0,1795.9,1491.4,1630.5,2053.7,1924.8
