table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_obligations_2020,field_obligations_2021_preliminary_,field_outlays_2020,field_outlays_2021_preliminary_
6469,r001,All agencies,All agencies,,,,,1,173552.9,185408.1,149705.6,173169.3
6469,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,
6469,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,3433.5,2769.7,2534.2,2698.4
6469,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,7.0,7.0,7.0,7.0
6469,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,2203.9,1607.0,1330.0,1436.0
6469,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,39.8,41.9,39.5,41.5
6469,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,81.7,87.0,81.7,87.0
6469,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,351.4,276.6,326.4,376.7
6469,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,9.0,9.5,9.0,9.5
6469,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,737.9,737.9,737.9,737.9
6469,r011,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,2.8,2.8,2.8,2.8
6469,r012,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1980.9,2432.7,1807.8,2025.8
6469,r013,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,877.8,1276.1,773.9,937.1
6469,r014,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,984.3,1024.9,915.1,957.0
6469,r015,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7.7,11.2,7.7,11.2
6469,r016,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,111.1,120.5,111.1,120.5
6469,r017,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,67006.8,69456.0,56339.3,60791.4
6469,r018,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,3664.3,3608.2,3465.8,3505.4
6469,r019,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,2885.9,2718.0,2016.5,2521.4
6469,r020,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,11923.9,11539.8,9242.6,9887.6
6469,r021,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,10786.4,12222.1,10867.8,11542.5
6469,r022,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,19158.5,18840.9,15071.9,14556.5
6469,r023,All agencies -> Departments -> Department of Defense -> U.S. Space Force,All agencies,Departments,Department of Defense,U.S. Space Force,,4,4385.7,5038.9,4337.8,4962.7
6469,r024,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,14202.1,15488.1,11336.9,13815.2
6469,r025,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,240.1,379.2,227.2,260.4
6469,r026,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,15778.0,17241.2,12600.0,16385.8
6469,r027,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,438.0,427.0,269.8,365.0
6469,r028,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,139.8,133.8,142.1,134.4
6469,r029,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,2149.5,2015.3,1501.7,1643.7
6469,r030,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,22.2,29.3,31.4,20.9
