table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_fte_r_d_employeesa_total,field_fte_r_d_employeesa_full_time_r_d_employees,field_fte_r_d_employeesa_full_time_employees_working_on_r_d_part_time,field_fte_r_d_employeesa_part_time_employees_working_on_r_d,field_fte_r_d_scientists_and_engineersb_total,field_fte_r_d_scientists_and_engineersb_full_time_r_d_employees,field_fte_r_d_scientists_and_engineersb_full_time_employees_working_on_r_d_part_time,field_fte_r_d_scientists_and_engineersb_part_time_employees_working_on_r_d
6533,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['1,677', '']","['1,384', '']","['277', '']","['17', '']","['1,147', '']","['989', '']","['150', '']","['8', '']"
6533,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['878', '']","['749', '']","['121', '']","['9', '']","['611', '']","['544', '']","['63', 'i']","['4', '']"
6533,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['19', '']","['16', '']","['3', '']","['*', '']","['11', '']","['10', '']","['1', 'i']","['*', 'i']"
6533,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['5', '']","['3', '']","['1', '']","['*', '']","['3', '']","['2', '']","['*', '']","['*', '']"
6533,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['6', '']","['4', '']","['1', '']","['*', '']","['3', '']","['3', '']","['1', '']","['*', 'i']"
6533,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2', '']","['1', '']","['1', '']","['*', '']","['1', '']","['1', '']","['*', '']","['*', '']"
6533,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['4', '']","['4', '']","['1', '']","['*', '']","['3', '']","['3', '']","['*', '']","['*', '']"
6533,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['3', 'i']","['2', 'i']","['1', 'i']","['*', 'i']","['2', 'i']","['1', 'i']","['1', 'i']","['*', 'i']"
6533,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['6', '']","['6', '']","['*', '']","['*', '']","['1', '']","['1', '']","['*', '']","['*', '']"
6533,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['181', '']","['172', '']","['8', '']","['1', '']","['124', '']","['119', '']","['4', '']","['1', '']"
6533,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['11', '']","['10', '']","['1', '']","['*', '']","['6', '']","['6', '']","['*', '']","['*', '']"
6533,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['5', '']","['4', '']","['*', '']","['*', '']","['4', '']","['3', '']","['*', '']","['*', '']"
6533,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['7', '']","['6', '']","['1', 'i']","['*', '']","['4', '']","['4', '']","['*', 'i']","['*', '']"
6533,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['138', '']","['132', '']","['5', '']","['1', '']","['94', '']","['91', '']","['3', '']","['*', '']"
6533,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['11', '']","['10', '']","['1', '']","['*', '']","['8', '']","['8', '']","['*', 'i']","['*', '']"
6533,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['10', '']","['8', '']","['1', '']","['*', '']","['7', '']","['6', '']","['*', '']","['*', '']"
6533,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['19', '']","['14', '']","['5', '']","['*', '']","['9', '']","['8', '']","['2', '']","['*', '']"
6533,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['5', 'i']","['4', 'i']","['1', '']","['*', 'i']","['3', 'i']","['2', 'i']","['1', 'i']","['*', 'i']"
6533,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['7', '']","['2', '']","['5', '']","['*', '']","['2', '']","['1', '']","['1', '']","['0', '']"
6533,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['24', '']","['11', '']","['12', '']","['*', '']","['11', '']","['7', '']","['5', '']","['*', 'i']"
6533,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['82', '']","['57', '']","['24', '']","['2', '']","['57', '']","['41', '']","['15', '']","['1', '']"
6533,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['11', '']","['10', '']","['1', '']","['*', '']","['7', '']","['7', '']","['*', '']","['*', '']"
6533,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['12', '']","['10', '']","['2', '']","['*', '']","['9', '']","['8', '']","['1', 'i']","['*', 'i']"
6533,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['7', '']","['6', '']","['1', '']","['*', '']","['5', '']","['4', '']","['*', '']","['*', 'i']"
6533,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['53', '']","['31', '']","['21', '']","['1', '']","['35', '']","['21', 'i']","['13', '']","['1', '']"
6533,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['252', '']","['227', '']","['23', '']","['2', '']","['202', '']","['186', '']","['16', 'i']","['1', 'i']"
6533,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['40', '']","['38', '']","['1', 'i']","['*', '']","['30', '']","['29', '']","['1', 'i']","['*', 'i']"
6533,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['88', 'i']","['79', '']","['9', 'i']","['*', 'i']","['76', 'i']","['70', '']","['6', 'i']","['*', 'i']"
