table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_d,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
6545,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['428,968', '']","['17,058', '']","['29,106', '']","['441,016', '']","['12,048', '&nbsp;']","['2.8', '&nbsp;']"
6545,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['248,109', '']","['11,368', '']","['17,674', '']","['254,415', '']","['6,306', '&nbsp;']","['2.5', '&nbsp;']"
6545,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['3,937', '']","['169', '']","['432', '']","['4,200', '']","['263', '&nbsp;']","['6.7', '&nbsp;']"
6545,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['971', '']","['43', '']","['160', '']","['1,088', '']","['117', '&nbsp;']","['12.1', '&nbsp;']"
6545,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['873', '']","['14', '']","['85', '']","['945', '']","['72', '&nbsp;']","['8.2', '&nbsp;']"
6545,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['180', '']","['2', '']","['7', '']","['185', '']","['5', '&nbsp;']","['2.8', '&nbsp;']"
6545,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,064', '']","['8', 'i']","['65', 'i']","['1,120', 'i']","['57', 'i']","['5.3', '&nbsp;']"
6545,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['420', 'i']","['5', '']","['11', 'i']","['425', 'i']","['6', 'i']","['1.3', '&nbsp;']"
6545,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,203', '']","['41', '']","['125', '']","['1287', '']","['84', '&nbsp;']","['7.0', '&nbsp;']"
6545,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['87,288', '']","['3,475', '']","['5,634', '']","['89,448', '']","['2,160', '&nbsp;']","['2.5', '&nbsp;']"
6545,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,198', '']","['152', '']","['358', '']","['2,404', '']","['207', '&nbsp;']","['9.4', '&nbsp;']"
6545,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,092', '']","['62', '']","['225', '']","['1,255', '']","['163', 'i']","['15.0', '&nbsp;']"
6545,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,501', '']","['105', '']","['57', '']","['1453', '']","['-48', '&nbsp;']","['-3.2', '&nbsp;']"
6545,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['78,652', '']","['3,028', '']","['4,476', '']","['80,100', '']","['1,448', '&nbsp;']","['1.8', '&nbsp;']"
6545,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,596', '']","['86', '']","['170', '']","['2,681', '']","['85', '&nbsp;']","['3.3', '&nbsp;']"
6545,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,249', '']","['43', '']","['347', 'i']","['1554', 'i']","['305', 'i']","['24.4', '&nbsp;']"
6545,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,770', '']","['83', '']","['393', '']","['3,080', '']","['310', '&nbsp;']","['11.2', '&nbsp;']"
6545,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,473', 'i']","['59', 'i']","['69', '']","['1,483', 'i']","['10', 'i']","['0.7', '&nbsp;']"
6545,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['649', '']","['27', '']","['89', '']","['711', '']","['62', '&nbsp;']","['9.6', '&nbsp;']"
6545,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,632', '']","['40', '']","['204', '']","['2,796', '']","['165', '&nbsp;']","['6.3', '&nbsp;']"
6545,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['13,930', '']","['556', '']","['953', '']","['14,327', '']","['397', '&nbsp;']","['2.9', '&nbsp;']"
6545,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,913', '']","['35', '']","['58', '']","['1,935', '']","['23', '&nbsp;']","['1.2', '&nbsp;']"
6545,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3,854', '']","['308', '']","['419', '']","['3,965', '']","['111', '&nbsp;']","['2.9', '&nbsp;']"
6545,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,096', '']","['46', '']","['85', '']","['1,134', 'i']","['39', '&nbsp;']","['3.5', '&nbsp;']"
6545,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['7,067', '']","['166', '']","['391', '']","['7,292', '']","['226', '&nbsp;']","['3.2', '&nbsp;']"
6545,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['75,570', '']","['5,066', '']","['5,765', '']","['76,269', '']","['699', 'i']","['0.9', '&nbsp;']"
6545,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['11,495', '']","['556', '']","['780', '']","['11,719', '']","['224', '&nbsp;']","['1.9', '&nbsp;']"
6545,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['31,975', 'i']","['2,613', 'i']","['2,698', 'i']","['32,060', 'i']","['85', 'i']","['0.3', '&nbsp;']"
6545,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['10,912', '']","['229', '']","['899', '']","['11,582', '']","['670', 'i']","['6.1', '&nbsp;']"
6545,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['3,117', '']","['68', '']","['222', 'i']","['3,271', 'i']","['154', 'i']","['5.0', '&nbsp;']"
6545,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['3,400', '']","['68', '']","['448', 'i']","['3,780', '']","['380', 'i']","['11.2', '&nbsp;']"
6545,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['4,395', '']","['93', '']","['228', '']","['4,530', '']","['135', '&nbsp;']","['3.1', '&nbsp;']"
6545,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['21,188', '']","['1,668', '']","['1,388', '']","['20,908', '']","['-280', '&nbsp;']","['-1.3', '&nbsp;']"
6545,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,886', '']","['118', '']","['477', '']","['5,245', '']","['359', '&nbsp;']","['7.3', '&nbsp;']"
6545,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['31,505', '']","['990', '']","['2,066', '']","['32,581', '']","['1,076', '&nbsp;']","['3.4', '&nbsp;']"
6545,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['20,883', '']","['861', '']","['1,454', '']","['21,477', '']","['593', '&nbsp;']","['2.8', '&nbsp;']"
6545,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['8,900', '']","['107', '']","['486 - 495', '']","['9,281 - 9,287', '']","['382 - 387', '&nbsp;']","['D', '&nbsp;']"
6545,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['8,341', '']","['100', '']","['438', '']","['8,679', '']","['338', '&nbsp;']","['4.0', '&nbsp;']"
6545,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['559', '']","['7', '']","['48 - 57', '']","['603 - 608', '']","['44 - 48', '&nbsp;']","['D', '&nbsp;']"
6545,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['25', '']","['0', '']","['1', '']","['25', '']","['1', '&nbsp;']","['2.1', '&nbsp;']"
6545,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,697', '']","['23', '']","['117 - 127', 'i']","['1,790 - 1,799', 'i']","['93 - 101', 'i']","['D', '&nbsp;']"
6545,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['407', '']","['8', '']","['48', '']","['447', '']","['40', '&nbsp;']","['9.9', '&nbsp;']"
6545,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['18,352', '']","['664', '']","['1089', '']","['18777', '']","['425', '&nbsp;']","['2.3', '&nbsp;']"
6545,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['15,812', '']","['620', '']","['954', '']","['16,146', '']","['334', 'i']","['2.1', '&nbsp;']"
