table_id,row_id,core_based_statistical_area_cbsa_full_path,core_based_statistical_area_cbsa_level_1,core_based_statistical_area_cbsa_level_2,core_based_statistical_area_cbsa_hierarchy_depth,field_cbsa_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others
6555,r001,All locations,All locations,,1,"['&nbsp;', '&nbsp;']","['    492,956 ', '   ']","['    428,968 ', '   ']","['    63,989 ', '&nbsp;']"
6555,r002,"All locations -> San Jose-Sunnyvale-Santa Clara, CA ",All locations,"San Jose-Sunnyvale-Santa Clara, CA ",2,"['41940', '&nbsp;']","['    75,055 ', '   ']","['    70,610 ', '   ']","['    4,445 ', '&nbsp;']"
6555,r003,"All locations -> San Francisco-Oakland-Berkeley, CA ",All locations,"San Francisco-Oakland-Berkeley, CA ",2,"['41860', '&nbsp;']","['    58,258 ', '   ']","['    56,280 ', '   ']","['    1,977 ', '&nbsp;']"
6555,r004,"All locations -> Seattle-Tacoma-Bellevue, WA ",All locations,"Seattle-Tacoma-Bellevue, WA ",2,"['42660', '&nbsp;']","['    36,265 ', '   ']","['    34,861 ', '   ']","['    1,404 ', '&nbsp;']"
6555,r005,"All locations -> New York-Newark-Jersey City, NY-NJ-PA ",All locations,"New York-Newark-Jersey City, NY-NJ-PA ",2,"['35620', '&nbsp;']","['    32,146 ', '   ']","['    28,458 ', '   ']","['    3,688 ', ' i']"
6555,r006,"All locations -> Boston-Cambridge-Newton, MA-NH ",All locations,"Boston-Cambridge-Newton, MA-NH ",2,"['14460', '&nbsp;']","['    28,368 ', '   ']","['    23,938 ', '   ']","['    4,430 ', '&nbsp;']"
6555,r007,"All locations -> Los Angeles-Long Beach-Anaheim, CA ",All locations,"Los Angeles-Long Beach-Anaheim, CA ",2,"['31080', '&nbsp;']","['    17,180 ', ' i ']","['    13,837 ', ' i ']","['    3,343 ', ' i']"
6555,r008,"All locations -> Detroit-Warren-Dearborn, MI ",All locations,"Detroit-Warren-Dearborn, MI ",2,"['19820', '&nbsp;']","['    16,206 ', '   ']","['    14,852 ', '   ']","['    1,354 ', '&nbsp;']"
6555,r009,"All locations -> Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",All locations,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2,"['37980', '&nbsp;']","['    13,995 ', '   ']","['    11,676 ', '   ']","['    2,318 ', '&nbsp;']"
6555,r010,"All locations -> San Diego-Chula Vista-Carlsbad, CA ",All locations,"San Diego-Chula Vista-Carlsbad, CA ",2,"['41740', '&nbsp;']","['    13,410 ', '   ']","['    11,183 ', '   ']","['    2,227 ', ' i']"
6555,r011,"All locations -> Chicago-Naperville-Elgin, IL-IN-WI ",All locations,"Chicago-Naperville-Elgin, IL-IN-WI ",2,"['16980', '&nbsp;']","['    11,718 ', '   ']","['    11,069 ', '   ']","['    648 ', '&nbsp;']"
6555,r012,"All locations -> Austin-Round Rock-Georgetown, TX ",All locations,"Austin-Round Rock-Georgetown, TX ",2,"['12420', '&nbsp;']","['    8,966 ', ' i ']","['    8,004 ', ' i ']","['    962 ', '&nbsp;']"
6555,r013,"All locations -> Dallas-Fort Worth-Arlington, TX ",All locations,"Dallas-Fort Worth-Arlington, TX ",2,"['19100', '&nbsp;']","['    7,835 ', ' i ']","['    6,566 ', '   ']","['    1,269 ', ' i']"
6555,r014,"All locations -> Portland-Vancouver-Hillsboro, OR-WA ",All locations,"Portland-Vancouver-Hillsboro, OR-WA ",2,"['38900', '&nbsp;']","['    7,517 ', '   ']","['    7,325 ', '   ']","['    192 ', '&nbsp;']"
6555,r015,"All locations -> Minneapolis-St. Paul-Bloomington, MN-WI ",All locations,"Minneapolis-St. Paul-Bloomington, MN-WI ",2,"['33460', '&nbsp;']","['    7,276 ', '   ']","['    6,794 ', '   ']","['    482 ', '&nbsp;']"
6555,r016,"All locations -> Washington-Arlington-Alexandria, DC-VA-MD-WV ",All locations,"Washington-Arlington-Alexandria, DC-VA-MD-WV ",2,"['47900', '&nbsp;']","['    7,272 ', '   ']","['    5,016 ', '   ']","['    2,256 ', '&nbsp;']"
6555,r017,"All locations -> Indianapolis-Carmel-Anderson, IN ",All locations,"Indianapolis-Carmel-Anderson, IN ",2,"['26900', '&nbsp;']","['    5,513 ', '   ']","['    4,628 ', '   ']","['    885 ', '&nbsp;']"
6555,r018,"All locations -> Durham-Chapel Hill, NC ",All locations,"Durham-Chapel Hill, NC ",2,"['20500', '&nbsp;']","['    5,378 ', ' i ']","['    3,560 ', '   ']","['    1,818 ', ' i']"
6555,r019,"All locations -> Houston-The Woodlands-Sugar Land, TX ",All locations,"Houston-The Woodlands-Sugar Land, TX ",2,"['26420', '&nbsp;']","['    5,370 ', '   ']","['    4,788 ', '   ']","['    582 ', '&nbsp;']"
6555,r020,"All locations -> St. Louis, MO-IL ",All locations,"St. Louis, MO-IL ",2,"['41180', '&nbsp;']","['    5,358 ', '   ']","['    3,213 ', '   ']","['    2,145 ', ' i']"
6555,r021,"All locations -> Phoenix-Mesa-Chandler, AZ ",All locations,"Phoenix-Mesa-Chandler, AZ ",2,"['38060', '&nbsp;']","['    4,333 ', ' i ']","['    3,534 ', ' i ']","['    798 ', ' i']"
6555,r022,"All locations -> Cincinnati, OH-KY-IN ",All locations,"Cincinnati, OH-KY-IN ",2,"['17140', '&nbsp;']","['    4,091 ', '   ']","['    2,801 ', '   ']","['    1,290 ', ' i']"
6555,r023,"All locations -> Atlanta-Sandy Springs-Alpharetta, GA ",All locations,"Atlanta-Sandy Springs-Alpharetta, GA ",2,"['12060', '&nbsp;']","['    3,934 ', '   ']","['    3,109 ', '   ']","['    826 ', ' i']"
6555,r024,"All locations -> Norwich-New London, CT ",All locations,"Norwich-New London, CT ",2,"['35980', '&nbsp;']","['    3,877 ', '   ']","['    2,960 ', '   ']","['    917 ', '&nbsp;']"
6555,r025,"All locations -> Raleigh-Cary, NC ",All locations,"Raleigh-Cary, NC ",2,"['39580', '&nbsp;']","['    3,677 ', '   ']","['    2,208 ', '   ']","['    1,469 ', ' i']"
6555,r026,"All locations -> Trenton-Princeton, NJ ",All locations,"Trenton-Princeton, NJ ",2,"['45940', '&nbsp;']","['    2,699 ', '   ']","['    1,271 ', '   ']","['    1,427 ', '&nbsp;']"
6555,r027,"All locations -> Kansas City, MO-KS ",All locations,"Kansas City, MO-KS ",2,"['28140', '&nbsp;']","['    2,617 ', '   ']","['    1,744 ', '   ']","['    874 ', ' i']"
6555,r028,"All locations -> Oxnard-Thousand Oaks-Ventura, CA ",All locations,"Oxnard-Thousand Oaks-Ventura, CA ",2,"['37100', '&nbsp;']","['    2,616 ', '   ']","['    2,222 ', '   ']","['    394 ', ' i']"
6555,r029,"All locations -> Denver-Aurora-Lakewood, CO ",All locations,"Denver-Aurora-Lakewood, CO ",2,"['19740', '&nbsp;']","['    2,600 ', '   ']","['    2,413 ', '   ']","['    187 ', '&nbsp;']"
6555,r030,"All locations -> Boise City, ID ",All locations,"Boise City, ID ",2,"['14260', '&nbsp;']","['    2,485 ', '   ']","['    2,417 ', '   ']","['    69 ', '&nbsp;']"
6555,r031,"All locations -> Milwaukee-Waukesha, WI ",All locations,"Milwaukee-Waukesha, WI ",2,"['33340', '&nbsp;']","['    2,347 ', '   ']","['    2,271 ', '   ']","['    76 ', '&nbsp;']"
6555,r032,"All locations -> Tampa-St. Petersburg-Clearwater, FL ",All locations,"Tampa-St. Petersburg-Clearwater, FL ",2,"['45300', '&nbsp;']","['    2,241 ', '   ']","['    1,601 ', '   ']","['    640 ', ' i']"
6555,r033,"All locations -> Baltimore-Columbia-Towson, MD ",All locations,"Baltimore-Columbia-Towson, MD ",2,"['12580', '&nbsp;']","['    2,210 ', '   ']","['    1,614 ', '   ']","['    596 ', '&nbsp;']"
6555,r034,"All locations -> Madison, WI ",All locations,"Madison, WI ",2,"['31540', '&nbsp;']","['    2,158 ', '   ']","['    1,573 ', '   ']","['    585 ', ' i']"
6555,r035,"All locations -> Miami-Fort Lauderdale-Pompano Beach, FL ",All locations,"Miami-Fort Lauderdale-Pompano Beach, FL ",2,"['33100', '&nbsp;']","['    2,131 ', '   ']","['    1,871 ', '   ']","['    259 ', ' i']"
6555,r036,"All locations -> Columbus, OH ",All locations,"Columbus, OH ",2,"['18140', '&nbsp;']","['    2,127 ', ' i ']","['    882 ', '   ']","['    1,245 ', ' i']"
6555,r037,"All locations -> Sacramento-Roseville-Folsom, CA ",All locations,"Sacramento-Roseville-Folsom, CA ",2,"['40900', '&nbsp;']","['    2,110 ', ' i ']","['    1,935 ', ' i ']","['    175 ', '&nbsp;']"
6555,r038,"All locations -> Manchester-Nashua, NH ",All locations,"Manchester-Nashua, NH ",2,"['31700', '&nbsp;']","['    1,903 ', '   ']","['    504 ', '   ']","['    1,399 ', '&nbsp;']"
6555,r039,"All locations -> Boulder, CO ",All locations,"Boulder, CO ",2,"['14500', '&nbsp;']","['    1,645 ', '   ']","['    1,513 ', '   ']","['    131 ', '&nbsp;']"
6555,r040,"All locations -> Cleveland-Elyria, OH ",All locations,"Cleveland-Elyria, OH ",2,"['17460', '&nbsp;']","['    1,638 ', '   ']","['    1,409 ', '   ']","['    229 ', '&nbsp;']"
6555,r041,"All locations -> Providence-Warwick, RI-MA ",All locations,"Providence-Warwick, RI-MA ",2,"['39300', '&nbsp;']","['    1,626 ', ' i ']","['    1,560 ', ' i ']","['    66 ', '&nbsp;']"
6555,r042,"All locations -> Tucson, AZ ",All locations,"Tucson, AZ ",2,"['46060', '&nbsp;']","['    1,624 ', ' i ']","['    640 ', ' i ']","['    984 ', ' i']"
6555,r043,"All locations -> Bridgeport-Stamford-Norwalk, CT ",All locations,"Bridgeport-Stamford-Norwalk, CT ",2,"['14860', '&nbsp;']","['    1,619 ', '   ']","['    1,383 ', '   ']","['    236 ', '&nbsp;']"
6555,r044,"All locations -> Pittsburgh, PA ",All locations,"Pittsburgh, PA ",2,"['38300', '&nbsp;']","['    1,606 ', '   ']","['    1,497 ', '   ']","['    109 ', ' i']"
6555,r045,"All locations -> Worcester, MA-CT ",All locations,"Worcester, MA-CT ",2,"['49340', '&nbsp;']","['    1,579 ', '   ']","['    1,126 ', '   ']","['    453 ', '&nbsp;']"
6555,r046,"All locations -> Huntsville, AL ",All locations,"Huntsville, AL ",2,"['26620', '&nbsp;']","['    1,505 ', '   ']","['    354 ', '   ']","['    1,151 ', '&nbsp;']"
6555,r047,"All locations -> Salt Lake City, UT ",All locations,"Salt Lake City, UT ",2,"['41620', '&nbsp;']","['    1,288 ', '   ']","['    1,097 ', '   ']","['    191 ', ' i']"
6555,r048,"All locations -> Charlotte-Concord-Gastonia, NC-SC ",All locations,"Charlotte-Concord-Gastonia, NC-SC ",2,"['16740', '&nbsp;']","['    1,284 ', ' i ']","['    1,147 ', ' i ']","['    137 ', ' i']"
6555,r049,"All locations -> Kalamazoo-Portage, MI ",All locations,"Kalamazoo-Portage, MI ",2,"['28020', '&nbsp;']","['    1,164 ', '   ']","['    849 ', '   ']","['    315 ', '&nbsp;']"
6555,r050,"All locations -> Cedar Rapids, IA ",All locations,"Cedar Rapids, IA ",2,"['16300', '&nbsp;']","['    1,113 ', ' i ']","['    367 ', ' i ']","['    746 ', ' i']"
6555,r051,"All locations -> New Haven-Milford, CT ",All locations,"New Haven-Milford, CT ",2,"['35300', '&nbsp;']","['    1,102 ', '   ']","['    1,077 ', '   ']","['    25 ', '&nbsp;']"
6555,r052,"All locations -> Albany-Schenectady-Troy, NY ",All locations,"Albany-Schenectady-Troy, NY ",2,"['10580', '&nbsp;']","['    1,036 ', '   ']","['    777 ', '   ']","['    259 ', ' i']"
6555,r053,"All locations -> Provo-Orem, UT ",All locations,"Provo-Orem, UT ",2,"['39340', '&nbsp;']","['    1,033 ', '   ']","['    941 ', '   ']","['    92 ', '&nbsp;']"
6555,r054,"All locations -> Orlando-Kissimmee-Sanford, FL ",All locations,"Orlando-Kissimmee-Sanford, FL ",2,"['36740', '&nbsp;']","['    1,031 ', ' i ']","['    772 ', ' i ']","['    259 ', ' i']"
6555,r055,"All locations -> Rochester, NY ",All locations,"Rochester, NY ",2,"['40380', '&nbsp;']","['    965 ', '   ']","['    874 ', '   ']","['    91 ', ' i']"
6555,r056,"All locations -> Akron, OH ",All locations,"Akron, OH ",2,"['10420', '&nbsp;']","['    892 ', '   ']","['    683 ', '   ']","['    209 ', ' i']"
