table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
6584,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['21,941', '']","['2,313', 'i']","['4,883', '']","['14,745', '']"
6584,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['16,023', 'i']","['1,590', 'i']","['2,391', 'i']","['12,042', 'i']"
6584,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['*', 'i']","['*', 'i']","['0', '']","['*', 'i']"
6584,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['0', '']","['0', '']","['0', '']","['0', '']"
6584,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['7', 'i']","['0', '']","['4', 'i']","['3', '']"
6584,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['0', '']","['0', '']","['0', '']","['0', '']"
6584,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', 'i']","['*', 'i']","['0', '']","['0', '']"
6584,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0', '']","['0', '']","['0', '']","['0', '']"
6584,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['*', 'i']","['0', '']","['*', 'i']","['0', '']"
6584,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['289', '']","['13', '']","['57', '']","['219', '']"
6584,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2', 'i']","['*', 'i']","['*', 'i']","['2', '']"
6584,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
6584,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['0 - 8', 'i']","['0', '']","['0 - 8', 'i']","['0', '']"
6584,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['269', '']","['12', '']","['42', '']","['214', '']"
6584,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
6584,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['11 - 20', '']","['*', '']","['6 - 16', '']","['4', '']"
6584,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['*', 'i']","['0', '']","['0', '']","['*', 'i']"
6584,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['2', 'i']","['0', '']","['1', 'i']","['1', 'i']"
6584,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['2', '']","['0 - 2', 'i']","['0 - 2', '']","['1', '']"
6584,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['4', '']","['*', 'i']","['2', 'i']","['2', 'i']"
6584,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['193', '']","['5', '']","['14', 'i']","['173', '']"
6584,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1', 'i']","['*', '']","['*', 'i']","['*', 'i']"
